trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	OiA	oia	0.4	10.4	0	0	0.4	100.4	0.4	140.4	0.4	160.4	0.4	180.4					-2	138	-2	178																																																													-2	178	-2	178																																													-2	138	-2	138													-2	178	-2	178
2	auE	aue			0.5	0.5					-2	158.4	-2	178.4			0.5	120.5	0.5	138.5	0.5	178.5																																																																																																																									-2	158	-2	158	-2	176	-2	176
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.09999999999999964	10.5																																																																																																																																																			
3	iiO	iio			0.4	0.9	0.4	100.80000000000001	0.4	140.8	0.4	158.8	0.4	178.8					-2	136.5	-2	176.5																																																									-2	138	-2	138	-2	176	-2	176																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000036	10.9																																																																																																																																																			
4	ooI	ooi			0.4	1.3							-2	176.8	0.4	100.4	0.4	120.9	0.4	136.9	0.4	176.9																																																																																																													-2	136	-2	136													-2	174	-2	174
4	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000036	11.3																																																																																																																																																			
6	IIo	iiO	0.4	11.700000000000001	0	1.3	-2	98.80000000000001	-2	138.8	-2	156.8	-2	174.8	0.4	100.80000000000001	0.4	121.30000000000001	0.4	137.3	0.4	177.3																																																																																																																																
9	iyO	iuo			0.4	1.7000000000000002	0.4	99.20000000000002	0.4	139.20000000000002	0.4	157.20000000000002	0.4	175.20000000000002					-2	135.3	-2	175.3																																																											-2	136	-2	174	-2	174																																																																
11	IEI	iei	0.4	12.100000000000001	0	1.7000000000000002					-2	155.20000000000002	-2	173.20000000000002	0.4	101.20000000000002	0.4	121.70000000000002	0.4	135.70000000000002	0.4	175.70000000000002																																																																																																																																
12	eA	ea			0.5	2.2			0.5	139.70000000000002	0.5	155.70000000000002	0.5	173.70000000000002							-2	173.70000000000002																																													-2	158	-2	158													-2	172	-2	172																																																																
12	Apriori	Id(Bk)Syl1>>Id(Bk)	0.09999999999999787	12.2																																																																																																																																																			
13	oEI	Oei	0.4	12.6	0	2.2	-2	97.20000000000002	-2	137.70000000000002	-2	153.70000000000002	-2	171.70000000000002	0.4	101.60000000000002	0.4	122.10000000000002	0.4	136.10000000000002	0.4	174.10000000000002																																																																																																																																
14	OAO	oao	0.4	13.0	0	2.2	0.4	97.60000000000002	0.4	138.10000000000002	0.4	154.10000000000002	0.4	172.10000000000002					-2	134.10000000000002	-2	172.10000000000002																																																																																																																																
