trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	uEo	yeo	0.5	20.5	0	0			-2	138	-2	158	-2	178			0.5	120.5	0.5	140.5	0.5	180.5																											-2	138			-2	138									-2	138	-2	138	-2	158	-2	158									-2	138	-2	138	-2	178	-2	178																																																																
2	Aei	aei	0.5	21.0	0	0			0.5	138.5	0.5	158.5	0.5	178.5							-2	178.5																																																																																																																									-2	158	-2	158	-2	178	-2	178
3	yyy	yuu			0.5	0.5			0.5	139.0	0.5	159.0	0.5	179.0							-2	176.5																													-2	138	-2	136													-2	156	-2	156													-2	176	-2	176																																																																
4	Oyy	Ouu			0.5	1.0			0.5	139.5	0.5	159.5	0.5	179.5							-2	174.5													-2	98	-2	98													-2	136	-2	134													-2	154	-2	154													-2	174	-2	174																																																																
5	aEu	aeu			0.5	1.5					-2	157.5	-2	177.5			0.5	121.0	0.5	141.0	0.5	175.0																																													-2	152	-2	152													-2	172	-2	172																																																									-2	156	-2	156	-2	176	-2	176
5	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5	21.5																																																																																																																																																			
6	Ia	ia	0.4	21.9	0	1.5							-2	175.5	0.4	100.4	0.4	121.4	0.4	141.4	0.4	175.4																																																													-2	170	-2	170																																																																
7	Oiy	oiu	0.4	22.299999999999997	0	1.5	0.4	100.4	0.4	139.9	0.4	157.9	0.4	175.9					-2	139.4	-2	173.4																																																													-2	168	-2	168																																													-2	138	-2	138													-2	174	-2	174
