trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	oao	Oao	1.6842105263157894	1.6842105263157894	0	0	-2	98	-2	138	-2	158	-2	178					1.6842105263157894	141.68421052631578	1.6842105263157894	181.68421052631578											-2	98	-2	98	-2	98											-2	138	-2	138	-2	138											-2	138	-2	158	-2	158											-2	138	-2	178	-2	178																																																																
2	iOA	ioa			1.0909090909090908	1.0909090909090908	1.0909090909090908	99.0909090909091	1.0909090909090908	139.0909090909091	1.0909090909090908	159.0909090909091	1.0909090909090908	179.0909090909091					-2	139.68421052631578	-2	179.68421052631578																																																									-2	138	-2	136	-2	176	-2	176																																																																
3	eO	eo			1.3333333333333333	2.424242424242424	1.3333333333333333	100.42424242424242	1.3333333333333333	140.42424242424244	1.3333333333333333	160.42424242424244	1.3333333333333333	180.42424242424244					-2	137.68421052631578	-2	177.68421052631578																																									-2	138	-2	136	-2	156	-2	156									-2	136	-2	134	-2	174	-2	174																																																																
4	Euo	euo	1.3333333333333333	3.0175438596491224	0	2.424242424242424					-2	158.42424242424244	-2	178.42424242424244			1.3333333333333333	121.33333333333333	1.3333333333333333	139.01754385964912	1.3333333333333333	179.01754385964912																																											-2	134	-2	154	-2	154											-2	132	-2	172	-2	172																																																																
5	iOO	ioo			1.0909090909090908	3.5151515151515147	1.0909090909090908	101.51515151515152	1.0909090909090908	141.51515151515153	1.0909090909090908	159.51515151515153	1.0909090909090908	179.51515151515153					-2	137.01754385964912	-2	177.01754385964912																																																									-2	134	-2	130	-2	170	-2	170																																																																
6	ao	Ao	1.7647058823529411	4.7822497420020635	0	3.5151515151515147			-2	139.51515151515153	-2	157.51515151515153	-2	177.51515151515153							1.7647058823529411	178.78224974200205																									-2	138	-2	136	-2	136	-2	136									-2	136	-2	132	-2	152	-2	152									-2	132	-2	128	-2	168	-2	168																																																																
8	oa	Oa	1.6	6.382249742002063	0	3.5151515151515147	-2	99.51515151515152	-2	137.51515151515153	-2	155.51515151515153	-2	175.51515151515153					1.6	138.61754385964912	1.6	180.38224974200205													-2	96	-2	96													-2	134	-2	134													-2	150	-2	150													-2	166	-2	166																																																																
9	eyy	euu			1.1111111111111112	4.626262626262626			1.1111111111111112	138.62626262626264	1.1111111111111112	156.62626262626264	1.1111111111111112	176.62626262626264							-2	178.38224974200205																																													-2	148	-2	148													-2	164	-2	164																																																																
10	OiA	Oia			1.2	5.8262626262626265			1.2	139.82626262626263	1.2	157.82626262626263	1.2	177.82626262626263							-2	176.38224974200205															-2	94															-2	132															-2	146													-2	162	-2	162																																																																
