trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
2	oa	OA	0.4	0.4	0.4	0.4	-2	98	-2	138	-2	158	-2	178					0.4	140.4	0.4	180.4																																																																																																																																
3	OO	oo	0.2857142857142857	0.6857142857142857	0.2857142857142857	0.6857142857142857	0.2857142857142857	98.28571428571429	0.2857142857142857	138.28571428571428	0.2857142857142857	158.28571428571428	0.2857142857142857	178.28571428571428					-2	138.4	-2	178.4																																																																																																																																
6	eAA	Eaa	0.3333333333333333	1.019047619047619	0.3333333333333333	1.019047619047619			0.3333333333333333	138.61904761904762	0.3333333333333333	158.61904761904762	0.3333333333333333	178.61904761904762			-2	118	-2	136.4	-2	176.4																																																																																																																																
7	IoI	ioi	0.2857142857142857	1.3047619047619046	0.2857142857142857	1.3047619047619046							-2	176.61904761904762	0.2857142857142857	100.28571428571429	0.2857142857142857	118.28571428571429	0.2857142857142857	136.68571428571428	0.2857142857142857	176.68571428571428																																																									-2	138	-2	138	-2	178	-2	178																																													-2	138	-2	138													-2	178	-2	178
9	EoI	Eoi			0.3333333333333333	1.6380952380952378							-2	174.61904761904762	0.3333333333333333	100.61904761904762	0.3333333333333333	118.61904761904762	0.3333333333333333	137.01904761904763	0.3333333333333333	177.01904761904763																																																																																															-2	118													-2	136	-2	136													-2	176	-2	176
12	eye	EuE	0.3333333333333333	1.6380952380952378	0.3333333333333333	1.971428571428571			0.3333333333333333	138.95238095238096	0.3333333333333333	158.95238095238096	0.3333333333333333	174.95238095238096			-2	116.61904761904762	-2	135.01904761904763	-2	175.01904761904763																																																																																																																																
13	iO	io			0.3333333333333333	2.3047619047619046	0.3333333333333333	98.61904761904762	0.3333333333333333	139.2857142857143	0.3333333333333333	159.2857142857143	0.3333333333333333	175.2857142857143					-2	133.01904761904763	-2	173.01904761904763																																																									-2	136	-2	136	-2	176	-2	176																																																																
14	IIu	iiu	0.2857142857142857	1.9238095238095236	0.2857142857142857	2.59047619047619							-2	173.2857142857143	0.2857142857142857	100.90476190476191	0.2857142857142857	116.90476190476191	0.2857142857142857	133.3047619047619	0.2857142857142857	173.3047619047619																																																													-2	174	-2	174																																																																
15	oaa	OAA	0.4	2.3238095238095235	0.4	2.99047619047619	-2	96.61904761904762	-2	137.2857142857143	-2	157.2857142857143	-2	171.2857142857143					0.4	133.7047619047619	0.4	173.7047619047619																																																																																																																																
16	yO	uo	0.2857142857142857	2.609523809523809	0.2857142857142857	3.2761904761904757	0.2857142857142857	96.90476190476191	0.2857142857142857	137.57142857142858	0.2857142857142857	157.57142857142858	0.2857142857142857	171.57142857142858					-2	131.7047619047619	-2	171.7047619047619																																																																																																																																
18	Aii	aii	0.3333333333333333	2.9428571428571426	0.3333333333333333	3.609523809523809			0.3333333333333333	137.90476190476193	0.3333333333333333	157.90476190476193	0.3333333333333333	171.90476190476193							-2	169.7047619047619																																																																																																																													-2	174	-2	174
19	iee	IEE	0.4	3.3428571428571425	0.4	4.0095238095238095					0.4	158.30476190476193	0.4	172.30476190476193	-2	98.90476190476191	-2	114.90476190476191	-2	129.7047619047619	-2	167.7047619047619																																																																																																																																
20	II	ii	0.2857142857142857	3.628571428571428	0.2857142857142857	4.295238095238095							-2	170.30476190476193	0.2857142857142857	99.1904761904762	0.2857142857142857	115.1904761904762	0.2857142857142857	129.9904761904762	0.2857142857142857	167.9904761904762																																																																																																																																
21	uIE	yie	0.2857142857142857	3.9142857142857137	0.2857142857142857	4.580952380952381			-2	135.90476190476193	-2	156.30476190476193	-2	168.30476190476193	0.2857142857142857	99.4761904761905	0.2857142857142857	115.4761904761905	0.2857142857142857	130.27619047619046	0.2857142857142857	168.27619047619046																																																																																																																																
24	uao	yAO	0.4	4.314285714285714	0.4	4.980952380952381	-2	94.90476190476191	-2	133.90476190476193	-2	154.30476190476193	-2	166.30476190476193					0.4	130.67619047619047	0.4	168.67619047619047																																																																																																																																
26	aoE	AOe	0.3333333333333333	4.647619047619047	0.3333333333333333	5.314285714285714	-2	92.90476190476191	-2	131.90476190476193	-2	152.30476190476193	-2	164.30476190476193			0.3333333333333333	115.80952380952382	0.3333333333333333	131.0095238095238	0.3333333333333333	169.0095238095238																																																																																																																																
29	iO	io			0.3333333333333333	5.647619047619047	0.3333333333333333	93.23809523809524	0.3333333333333333	132.23809523809527	0.3333333333333333	152.63809523809527	0.3333333333333333	164.63809523809527					-2	129.0095238095238	-2	167.0095238095238																																																									-2	134	-2	134	-2	172	-2	172																																																																
31	Ay	au	0.3333333333333333	4.98095238095238	0.3333333333333333	5.98095238095238			0.3333333333333333	132.5714285714286	0.3333333333333333	152.97142857142862	0.3333333333333333	164.97142857142862							-2	165.0095238095238																																																																																																																																
33	AOe	aoE	0.2857142857142857	5.266666666666666	0.2857142857142857	6.266666666666666	0.2857142857142857	93.52380952380953	0.2857142857142857	132.8571428571429	0.2857142857142857	153.2571428571429	0.2857142857142857	165.2571428571429			-2	113.80952380952382	-2	127.00952380952381	-2	163.0095238095238																																																																																																																																
35	Ioa	iOA	0.2857142857142857	5.552380952380951	0.2857142857142857	6.552380952380951	-2	91.52380952380953	-2	130.8571428571429	-2	151.2571428571429	-2	163.2571428571429	0.2857142857142857	99.76190476190479	0.2857142857142857	114.09523809523812	0.2857142857142857	127.2952380952381	0.2857142857142857	163.2952380952381																																																																																																																																
