trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
2	EEa	eeA	0.4	0.4	0	0			-2	138	-2	158	-2	178			0.4	120.4	0.4	140.4	0.4	180.4																																																																																																																																
4	yyO	uuo	0.3333333333333333	0.7333333333333334	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	138.33333333333334	0.3333333333333333	158.33333333333334	0.3333333333333333	178.33333333333334					-2	138.4	-2	178.4																																																																																																																																
5	aEE	Aee	0.4	1.1333333333333333	0	0			-2	136.33333333333334	-2	156.33333333333334	-2	176.33333333333334			0.4	120.80000000000001	0.4	138.8	0.4	178.8																																																																																																																																
6	AAi	aai	0.4	1.5333333333333332	0	0			0.4	136.73333333333335	0.4	156.73333333333335	0.4	176.73333333333335							-2	176.8																																																																																																																													-2	178	-2	178
7	iiA	iia			0.4	0.4			0.4	137.13333333333335	0.4	157.13333333333335	0.4	177.13333333333335							-2	174.8																																																													-2	178	-2	178																																																																
8	uE	ye	0.4	1.9333333333333331	0	0.4			-2	135.13333333333335	-2	155.13333333333335	-2	175.13333333333335			0.4	121.20000000000002	0.4	139.20000000000002	0.4	175.20000000000002																																																																																																																																
9	uEo	yeO	0.4	2.333333333333333	0	0.4	-2	98.33333333333333	-2	133.13333333333335	-2	153.13333333333335	-2	173.13333333333335			0.4	121.60000000000002	0.4	139.60000000000002	0.4	175.60000000000002																																																																																																																																
11	OAA	oaa	0.3333333333333333	2.6666666666666665	0	0.4	0.3333333333333333	98.66666666666666	0.3333333333333333	133.4666666666667	0.3333333333333333	153.4666666666667	0.3333333333333333	173.4666666666667					-2	137.60000000000002	-2	173.60000000000002																																																																																																																																
12	oIo	OiO	0.3333333333333333	3.0	0	0.4	-2	96.66666666666666	-2	131.4666666666667	-2	151.4666666666667	-2	171.4666666666667	0.3333333333333333	100.33333333333333	0.3333333333333333	121.93333333333335	0.3333333333333333	137.93333333333337	0.3333333333333333	173.93333333333337																																																																																																																																
13	yO	uo	0.3333333333333333	3.3333333333333335	0	0.4	0.3333333333333333	96.99999999999999	0.3333333333333333	131.80000000000004	0.3333333333333333	151.80000000000004	0.3333333333333333	171.80000000000004					-2	135.93333333333337	-2	171.93333333333337																																																																																																																																
