trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
1	eOO	Eoo	0.3333333333333333	0.3333333333333333	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	180.33333333333334			-2	118	-2	138	-2	178																																																																																																																																
2	oEa	OeA	0.4	0.7333333333333334	0	0	-2	98.33333333333333	-2	138.33333333333334	-2	158.33333333333334	-2	178.33333333333334			0.4	118.4	0.4	138.4	0.4	178.4																																																																																																																																
4	ye	uE	0.4	1.1333333333333333	0	0			0.4	138.73333333333335	0.4	158.73333333333335	0.4	178.73333333333335			-2	116.4	-2	136.4	-2	176.4																																																																																																																																
5	uII	yii	0.3333333333333333	1.4666666666666666	0	0			-2	136.73333333333335	-2	156.73333333333335	-2	176.73333333333335	0.3333333333333333	100.33333333333333	0.3333333333333333	116.73333333333333	0.3333333333333333	136.73333333333335	0.3333333333333333	176.73333333333335																																																																																																																																
6	Aiy	aiu	0.4	1.8666666666666667	0	0			0.4	137.13333333333335	0.4	157.13333333333335	0.4	177.13333333333335							-2	174.73333333333335																																																													-2	178	-2	178																																																													-2	178	-2	178
7	uoa	yOA	0.5	2.3666666666666667	0	0	-2	96.33333333333333	-2	135.13333333333335	-2	155.13333333333335	-2	175.13333333333335					0.5	137.23333333333335	0.5	175.23333333333335																																																																																																																																
10	aau	AAy	0.6666666666666666	3.033333333333333	0	0			-2	133.13333333333335	-2	153.13333333333335	-2	173.13333333333335							0.6666666666666666	175.9																																																																																																																																
12	eyi	Eui	0.4	3.433333333333333	0	0			0.4	133.53333333333336	0.4	153.53333333333336	0.4	173.53333333333336			-2	114.73333333333333	-2	135.23333333333335	-2	173.9																																																																																															-2	118															-2	138													-2	176	-2	176
13	Iuu	iuu	0.3333333333333333	3.7666666666666666	0	0							-2	171.53333333333336	0.3333333333333333	100.66666666666666	0.3333333333333333	115.06666666666666	0.3333333333333333	135.5666666666667	0.3333333333333333	174.23333333333335																																																													-2	176	-2	176																																																																
