trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	eOA	Eoa	0.3333333333333333	20.333333333333332	0	0	0.3333333333333333	100.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	160.33333333333334	0.3333333333333333	180.33333333333334			-2	118	-2	138	-2	178																																																																																																																																
2	IEE	iEE	0.3333333333333333	20.666666666666664	0	0							-2	178.33333333333334	0.3333333333333333	100.33333333333333	0.3333333333333333	118.33333333333333	0.3333333333333333	138.33333333333334	0.3333333333333333	178.33333333333334																																																					-2	118	-2	118	-2	138	-2	138	-2	178	-2	178																																																																
4	IE	iE	0.3333333333333333	20.999999999999996	0	0							-2	176.33333333333334	0.3333333333333333	100.66666666666666	0.3333333333333333	118.66666666666666	0.3333333333333333	138.66666666666669	0.3333333333333333	178.66666666666669																																																					-2	116	-2	116	-2	136	-2	136	-2	176	-2	176																																																																
5	iee	iEE			0.5	0.5					0.5	160.83333333333334	0.5	176.83333333333334			-2	116.66666666666666	-2	136.66666666666669	-2	176.66666666666669																																																					-2	114	-2	114	-2	134	-2	134	-2	174	-2	174																																																																
6	ooo	OOO	0.5	21.499999999999996	0	0.5	-2	98.33333333333333	-2	138.33333333333334	-2	158.83333333333334	-2	174.83333333333334					0.5	137.16666666666669	0.5	177.16666666666669																																																																																																																																
7	uuI	uui			0.3333333333333333	0.8333333333333333							-2	172.83333333333334	0.3333333333333333	100.99999999999999	0.3333333333333333	116.99999999999999	0.3333333333333333	137.50000000000003	0.3333333333333333	177.50000000000003																																																																																																																													-2	178	-2	178
8	eeA	EEa	0.4	21.899999999999995	0	0.8333333333333333			0.4	138.73333333333335	0.4	159.23333333333335	0.4	173.23333333333335			-2	114.99999999999999	-2	135.50000000000003	-2	175.50000000000003																																																																																																																																
12	aau	AAy	0.6666666666666666	22.566666666666663	0	0.8333333333333333			-2	136.73333333333335	-2	157.23333333333335	-2	171.23333333333335							0.6666666666666666	176.16666666666669																																																																																																																																
