trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		65.23		94.63		121.47		148.47		50.0		50.0		64.2		93.56		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.94		52.64		55.82		57.91		50.0		50.0		50.0		50.0		53.97		55.02		61.58		64.82		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.87		52.4		53.74		54.7		50.0		50.0		50.0		50.0		55.33		57.230000000000004		61.22		64.3
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	Eoo	eOO	2	12	0	0	-2	63.230000000000004	-2	92.63	-2	119.47	-2	146.47			2	52.0	2	66.2	2	95.56																																																																																																																																
2	EEI	eei	2	14	0	0					-2	117.47	-2	144.47	2	52.0	2	54.0	2	68.2	2	97.56																																																																																																																																
3	Iau	iAy	2	16	0	0			-2	90.63	-2	115.47	-2	142.47	2	54.0	2	56.0	2	70.2	2	99.56																																																																																																																																
4	Iau	iau	2	18	0	0							-2	140.47	2	56.0	2	58.0	2	72.2	2	101.56																																																													-2	59.58	-2	62.81999999999999																																																																
5	Iu	iy	2	20	0	0			-2	88.63	-2	113.47	-2	138.47	2	58.0	2	60.0	2	74.2	2	103.56																																																																																																																																
6	Ea	ea	2	22	0	0					-2	111.47	-2	136.47			2	62.0	2	76.2	2	105.56																																													-2	53.82	-2	55.91													-2	57.58	-2	60.81999999999999																																																																
7	uoa	yOA	2	24	0	0	-2	61.230000000000004	-2	86.63	-2	109.47	-2	134.47					2	78.2	2	107.56																																																																																																																																
8	IoI	iOi	2	26	0	0	-2	59.230000000000004	-2	84.63	-2	107.47	-2	132.47	2	60.0	2	64.0	2	80.2	2	109.56																																																																																																																																
9	uI	yi	2	28	0	0			-2	82.63	-2	105.47	-2	130.47	2	62.0	2	66.0	2	82.2	2	111.56																																																																																																																																
10	Eoa	eOA	2	30	0	0	-2	57.230000000000004	-2	80.63	-2	103.47	-2	128.47			2	68.0	2	84.2	2	113.56																																																																																																																																
12	uEo	yeO	2	32	0	0	-2	55.230000000000004	-2	78.63	-2	101.47	-2	126.47			2	70.0	2	86.2	2	115.56																																																																																																																																
13	ao	AO	2	34	0	0	-2	53.230000000000004	-2	76.63	-2	99.47	-2	124.47					2	88.2	2	117.56																																																																																																																																
14	IIE	iie	2	36	0	0					-2	97.47	-2	122.47	2	64.0	2	72.0	2	90.2	2	119.56																																																																																																																																
16	Eaa	eaa	2	38	0	0					-2	95.47	-2	120.47			2	74.0	2	92.2	2	121.56																																													-2	51.82	-2	53.91													-2	55.58	-2	58.81999999999999																																																																
18	oua	OyA	2	40	0	0	-2	51.230000000000004	-2	74.63	-2	93.47	-2	118.47					2	94.2	2	123.56																																																																																																																																
20	OeO	oeo	2	42	0	0	2	53.230000000000004	2	76.63	2	95.47	2	120.47					-2	92.2	-2	121.56																																									-2	49.94	-2	50.64	-2	49.82	-2	51.91									-2	51.97	-2	53.02	-2	53.58	-2	56.81999999999999																																									-2	49.87	-2	50.4	-2	51.74	-2	52.7									-2	53.33	-2	55.230000000000004	-2	59.22	-2	62.3
