trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		63.28		89.7		102.77		130.01999999999998		54.84		68.87		83.45		112.18		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.94		52.54		53.64		55.04		57.08		59.53		50.0		50.0		50.0		50.0		50.0		50.0		50.9		51.55		50.0		50.0		50.0		50.0		50.0		50.0		52.78		54.019999999999996		50.0		50.0		50.0		50.0		50.0		50.0		54.45		56.35		50.0		50.0		50.0		50.0		50.0		50.0		58.08		61.21
1	aoI	AOi	1.3333333333333333	1.3333333333333333	0	0	-2	61.28	-2	87.7	-2	100.77	-2	128.01999999999998	1.3333333333333333	56.17333333333334	1.3333333333333333	70.20333333333333	1.3333333333333333	84.78333333333333	1.3333333333333333	113.51333333333334																																																																																																																																
2	aI	ai			1.0	1.0							-2	126.01999999999998	1.0	57.17333333333334	1.0	71.20333333333333	1.0	85.78333333333333	1.0	114.51333333333334																																																																																																																													-2	56.08	-2	59.21
4	IoE	iOe	1.3333333333333333	2.6666666666666665	0	1.0	-2	59.28	-2	85.7	-2	98.77	-2	124.01999999999998	1.3333333333333333	58.506666666666675	1.3333333333333333	72.53666666666666	1.3333333333333333	87.11666666666666	1.3333333333333333	115.84666666666666																																																																																																																																
5	IoE	iOe	1.3333333333333333	4.0	0	1.0	-2	57.28	-2	83.7	-2	96.77	-2	122.01999999999998	1.3333333333333333	59.84000000000001	1.3333333333333333	73.86999999999999	1.3333333333333333	88.44999999999999	1.3333333333333333	117.17999999999999																																																																																																																																
6	aEu	Aey	1.2	5.2	0	1.0			-2	81.7	-2	94.77	-2	120.01999999999998			1.2	75.07	1.2	89.64999999999999	1.2	118.38																																																																																																																																
7	yeA	uEa	1.2	6.4	0	1.0			1.2	82.9	1.2	95.97	1.2	121.21999999999998			-2	73.07	-2	87.64999999999999	-2	116.38																																																																																																																																
9	IIu	Iiu			3.6666666666666665	4.666666666666666							-2	119.21999999999998	3.6666666666666665	63.506666666666675	3.6666666666666665	76.73666666666666	3.6666666666666665	91.31666666666666	3.6666666666666665	120.04666666666667																																																													-2	55.08	-2	57.53													-2	48.9	-2	49.55													-2	50.78	-2	52.019999999999996													-2	52.45	-2	54.35													-2	54.08	-2	57.21
11	Eao	eAO	1.6	8.0	0	4.666666666666666	-2	55.28	-2	80.9	-2	93.97	-2	117.21999999999998			1.6	78.33666666666666	1.6	92.91666666666666	1.6	121.64666666666666																																																																																																																																
13	OeA	oEa	1.0	9.0	0	4.666666666666666	1.0	56.28	1.0	81.9	1.0	94.97	1.0	118.21999999999998			-2	76.33666666666666	-2	90.91666666666666	-2	119.64666666666666																																																																																																																																
