trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		55.16		66.19		90.11		114.36		50.0		55.57		79.61		127.14		50.0		50.0		50.0		50.0		51.06		51.95		53.3		55.84		50.0		50.0		50.0		50.0		53.27		55.79		59.879999999999995		67.64		50.0		50.0		50.0		50.0		55.99		58.71		68.34		76.81		50.0		50.0		50.0		50.0		58.89		61.730000000000004		76.99		85.11		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.03		51.72		52.21		53.27		50.0		50.0		50.0		50.0		53.67		55.03		57.88		60.17		50.0		50.0		50.0		50.0		59.46		62.28		69.41		73.95
1	Oey	oeu	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	55.49333333333333	0.3333333333333333	66.52333333333333	0.3333333333333333	90.44333333333333	0.3333333333333333	114.69333333333333					-2	77.61	-2	125.14																																													-2	66.34	-2	74.81													-2	74.99	-2	83.11																																									-2	51.67	-2	53.03	-2	55.88	-2	58.17									-2	57.46	-2	60.28	-2	67.41	-2	71.95
2	yee	uee	0.4	0.7333333333333334	0.4	0.7333333333333334			0.4	66.92333333333333	0.4	90.84333333333333	0.4	115.09333333333333							-2	123.14																																																																																																																									-2	55.46	-2	58.28	-2	65.41	-2	69.95
3	AAy	aau	0.4	1.1333333333333333	0.4	1.1333333333333333			0.4	67.32333333333334	0.4	91.24333333333334	0.4	115.49333333333334							-2	121.14																																																																																																																																
4	OOA	Ooa			0.4	1.5333333333333332	0.4	55.89333333333333	0.4	67.72333333333334	0.4	91.64333333333335	0.4	115.89333333333335					-2	75.61	-2	119.14									-2	49.06	-2	49.95	-2	51.3	-2	53.84									-2	51.27	-2	53.79	-2	57.879999999999995	-2	65.64									-2	53.99	-2	56.71	-2	64.34	-2	72.81									-2	56.89	-2	59.730000000000004	-2	72.99	-2	81.11																																																																
5	iyO	iuo			0.4	1.9333333333333331	0.4	56.29333333333333	0.4	68.12333333333335	0.4	92.04333333333335	0.4	116.29333333333335					-2	73.61	-2	117.14																																																											-2	57.730000000000004	-2	70.99	-2	79.11																																																																
6	oa	Oa	0.5	1.6333333333333333	0.5	2.433333333333333	-2	54.29333333333333	-2	66.12333333333335	-2	90.04333333333335	-2	114.29333333333335					0.5	74.11	0.5	117.64													-2	49.3	-2	51.84													-2	55.879999999999995	-2	63.64													-2	62.34	-2	70.81													-2	68.99	-2	77.11																																																																
7	eye	eue			0.5	2.933333333333333			0.5	66.62333333333335	0.5	90.54333333333335	0.5	114.79333333333335							-2	115.64																																													-2	60.34	-2	68.81													-2	66.99	-2	75.11																																																									-2	53.46	-2	56.28	-2	63.41	-2	67.95
8	auE	aue			0.5	3.433333333333333					-2	88.54333333333335	-2	112.79333333333335			0.5	56.07	0.5	74.61	0.5	116.14																																																																																																																									-2	51.46	-2	54.28	-2	61.41	-2	65.95
9	OOy	Oou			0.4	3.833333333333333	0.4	54.69333333333333	0.4	67.02333333333335	0.4	88.94333333333336	0.4	113.19333333333336					-2	72.61	-2	114.14									-2	47.06	-2	47.95	-2	47.3	-2	49.84									-2	49.27	-2	51.79	-2	53.879999999999995	-2	61.64									-2	51.99	-2	54.71	-2	58.34	-2	66.81									-2	54.89	-2	55.730000000000004	-2	64.99	-2	73.11																																																																
