trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		80.12		138.88		191.72		245.12		50.0		50.0		79.1		138.95999999999998		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.82		55.08		61.46		65.26		50.0		50.0		50.0		50.0		57.4		59.52		73.28		79.42		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.36		54.64		57.5		59.46		50.0		50.0		50.0		50.0		61.54		65.82		73.2		79.48
1	uaa	yAA	2.0	2.0	0	0			-2	136.88	-2	189.72	-2	243.12							2.0	140.95999999999998																																																																																																																																
2	Ioo	ioo	1.6666666666666667	3.666666666666667	0	0							-2	241.12	1.6666666666666667	51.666666666666664	1.6666666666666667	51.666666666666664	1.6666666666666667	80.76666666666667	1.6666666666666667	142.62666666666664																																																									-2	55.4	-2	57.52	-2	71.28	-2	77.42																																																																
3	Ia	ia	1.0	4.666666666666667	0	0							-2	239.12	1.0	52.666666666666664	1.0	52.666666666666664	1.0	81.76666666666667	1.0	143.62666666666664																																																													-2	69.28	-2	75.42																																																																
4	aIa	AiA	1.0	5.666666666666667	0	0			-2	134.88	-2	187.72	-2	237.12	1.0	53.666666666666664	1.0	53.666666666666664	1.0	82.76666666666667	1.0	144.62666666666664																																																																																																																																
5	ouI	Oyi	1.3333333333333333	7.0	0	0	-2	78.12	-2	132.88	-2	185.72	-2	235.12	1.3333333333333333	55.0	1.3333333333333333	55.0	1.3333333333333333	84.1	1.3333333333333333	145.95999999999998																																																																																																																																
6	EaI	eai	2.6666666666666665	9.666666666666666	0	0					-2	183.72	-2	233.12	2.6666666666666665	57.666666666666664	2.6666666666666665	57.666666666666664	2.6666666666666665	86.76666666666667	2.6666666666666665	148.62666666666664																																													-2	59.46	-2	63.260000000000005													-2	67.28	-2	73.42																																																													-2	71.2	-2	77.48
7	IEu	iey	1.0	10.666666666666666	0	0			-2	130.88	-2	181.72	-2	231.12	1.0	58.666666666666664	1.0	58.666666666666664	1.0	87.76666666666667	1.0	149.62666666666664																																																																																																																																
10	uuE	yye	1.2	11.866666666666665	0	0			-2	128.88	-2	179.72	-2	229.12			1.2	59.86666666666667	1.2	88.96666666666667	1.2	150.82666666666663																																																																																																																																
11	uIu	uiu			1.6666666666666667	1.6666666666666667							-2	227.12	1.6666666666666667	60.33333333333333	1.6666666666666667	61.53333333333333	1.6666666666666667	90.63333333333334	1.6666666666666667	152.49333333333328																																																													-2	65.28	-2	71.42																																																													-2	69.2	-2	75.48
