trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		112.84		137.72		151.0		178.31		104.44		118.79		133.4		163.19		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		102.08		102.61		103.88		105.04		107.44		109.94		100.0		100.0		100.0		100.0		100.0		100.0		100.87		101.47		100.0		100.0		100.0		100.0		100.0		100.0		102.63		103.85		100.0		100.0		100.0		100.0		100.0		100.0		104.45		106.28		100.0		100.0		100.0		100.0		100.0		100.0		108.32		111.41
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
3	ouI	Oyi	0.4	20.4	0	0	-2	110.84	-2	135.72	-2	149.0	-2	176.31	0.4	104.84	0.4	119.19000000000001	0.4	133.8	0.4	163.59																																																																																																																																
4	oua	OyA	0.6666666666666666	21.066666666666666	0	0	-2	108.84	-2	133.72	-2	147.0	-2	174.31					0.6666666666666666	134.46666666666667	0.6666666666666666	164.25666666666666																																																																																																																																
6	Iu	iy	0.4	21.466666666666665	0	0			-2	131.72	-2	145.0	-2	172.31	0.4	105.24000000000001	0.4	119.59000000000002	0.4	134.86666666666667	0.4	164.65666666666667																																																																																																																																
9	oo	OO	0.6666666666666666	22.133333333333333	0	0	-2	106.84	-2	129.72	-2	143.0	-2	170.31					0.6666666666666666	135.53333333333333	0.6666666666666666	165.32333333333332																																																																																																																																
10	uuE	yye	0.5	22.633333333333333	0	0			-2	127.72	-2	141.0	-2	168.31			0.5	120.09000000000002	0.5	136.03333333333333	0.5	165.82333333333332																																																																																																																																
11	uEE	yee	0.5	23.133333333333333	0	0			-2	125.72	-2	139.0	-2	166.31			0.5	120.59000000000002	0.5	136.53333333333333	0.5	166.32333333333332																																																																																																																																
12	uI	ui			0.4	0.4							-2	164.31	0.4	105.64000000000001	0.4	120.99000000000002	0.4	136.93333333333334	0.4	166.72333333333333																																																																																																																													-2	106.32	-2	109.41
13	OAi	oai	0.4	23.53333333333333	0	0.4	0.4	107.24000000000001	0.4	126.12	0.4	139.4	0.4	164.71					-2	134.93333333333334	-2	164.72333333333333																																																																																																															-2	104.28													-2	104.32	-2	107.41
15	aIE	Aie	0.4	23.93333333333333	0	0.4			-2	124.12	-2	137.4	-2	162.71	0.4	106.04000000000002	0.4	121.39000000000003	0.4	135.33333333333334	0.4	165.12333333333333																																																																																																																																
16	iie	IiE	0.6666666666666666	24.599999999999998	0	0.4					0.6666666666666666	138.06666666666666	0.6666666666666666	163.37666666666667	-2	104.04000000000002	-2	119.39000000000003	-2	133.33333333333334	-2	163.12333333333333																																																					-2	100.08	-2	100.61	-2	101.88	-2	103.04	-2	105.44	-2	107.94													-2	98.87	-2	99.47													-2	100.63	-2	101.85													-2	102.45	-2	102.28													-2	102.32	-2	105.41
19	iAe	iaE			0.5	0.9			0.5	124.62	0.5	138.56666666666666	0.5	163.87666666666667			-2	117.39000000000003	-2	131.33333333333334	-2	161.12333333333333																																																							-2	98.61			-2	101.04	-2	103.44	-2	105.94																																																																
21	aIE	Aie	0.4	24.999999999999996	0	0.9			-2	122.62	-2	136.56666666666666	-2	161.87666666666667	0.4	104.44000000000003	0.4	117.79000000000003	0.4	131.73333333333335	0.4	161.52333333333334																																																																																																																																
25	Iu	iu	0.4	25.399999999999995	0	0.9							-2	159.87666666666667	0.4	104.84000000000003	0.4	118.19000000000004	0.4	132.13333333333335	0.4	161.92333333333335																																																													-2	101.44	-2	103.94																																																																
26	AOA	aoa	0.4	25.799999999999994	0	0.9	0.4	107.64000000000001	0.4	123.02000000000001	0.4	136.96666666666667	0.4	160.27666666666667					-2	130.13333333333335	-2	159.92333333333335																																																																																																																																
27	Euo	eyO	0.5	26.299999999999994	0	0.9	-2	105.64000000000001	-2	121.02000000000001	-2	134.96666666666667	-2	158.27666666666667			0.5	118.69000000000004	0.5	130.63333333333335	0.5	160.42333333333335																																																																																																																																
28	iyO	Iuo	0.4	26.699999999999992	0	0.9	0.4	106.04000000000002	0.4	121.42000000000002	0.4	135.36666666666667	0.4	158.67666666666668	-2	102.84000000000003	-2	116.69000000000004	-2	128.63333333333335	-2	158.42333333333335																																																																																																																																
29	yi	ui	0.5	27.199999999999992	0	0.9			0.5	121.92000000000002	0.5	135.86666666666667	0.5	159.17666666666668							-2	156.42333333333335																																																																																																																													-2	100.32	-2	103.41
30	uo	yO	0.6666666666666666	27.86666666666666	0	0.9	-2	104.04000000000002	-2	119.92000000000002	-2	133.86666666666667	-2	157.17666666666668					0.6666666666666666	129.3	0.6666666666666666	157.09																																																																																																																																
31	oIa	OiA	0.4	28.26666666666666	0	0.9	-2	102.04000000000002	-2	117.92000000000002	-2	131.86666666666667	-2	155.17666666666668	0.4	103.24000000000004	0.4	117.09000000000005	0.4	129.70000000000002	0.4	157.49																																																																																																																																
32	AOe	aoE	0.4	28.666666666666657	0	0.9	0.4	102.44000000000003	0.4	118.32000000000002	0.4	132.26666666666668	0.4	155.57666666666668			-2	115.09000000000005	-2	127.70000000000002	-2	155.49																																																																																																																																
33	uIo	yiO	0.4	29.066666666666656	0	0.9	-2	100.44000000000003	-2	116.32000000000002	-2	130.26666666666668	-2	153.57666666666668	0.4	103.64000000000004	0.4	115.49000000000005	0.4	128.10000000000002	0.4	155.89000000000001																																																																																																																																
34	eiA	Eia	0.5	29.566666666666656	0	0.9			0.5	116.82000000000002	0.5	130.76666666666668	0.5	154.07666666666668			-2	113.49000000000005	-2	126.10000000000002	-2	153.89000000000001																																																													-2	99.44	-2	101.94																													-2	98.63	-2	99.85													-2	100.45	-2	100.28													-2	98.32	-2	101.41
