trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.51		193.54		219.47		247.2		150.0		150.0		164.74		194.65		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.99		152.79		155.6		157.91		150.0		150.0		150.0		150.0		154.15		155.28		161.82		165.07999999999998		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.86		152.61		154.0		155.09		150.0		150.0		150.0		150.0		155.61		157.78		161.74		164.87
1	Eua	eyA	2	2	2	2			-2	191.54	-2	217.47	-2	245.2			2	152.0	2	166.74	2	196.65																																																																																																																																
2	au	Ay	2	4	2	4			-2	189.54	-2	215.47	-2	243.2							2	198.65																																																																																																																																
3	aIa	AiA	2	6	2	6			-2	187.54	-2	213.47	-2	241.2	2	152.0	2	154.0	2	168.74	2	200.65																																																																																																																																
4	EIu	eiy	2	8	2	8			-2	185.54	-2	211.47	-2	239.2	2	154.0	2	156.0	2	170.74	2	202.65																																																																																																																																
5	IoI	iOi	2	10	2	10	-2	162.51	-2	183.54	-2	209.47	-2	237.2	2	156.0	2	158.0	2	172.74	2	204.65																																																																																																																																
6	aIE	aie			2	12					-2	207.47	-2	235.2	2	158.0	2	160.0	2	174.74	2	206.65																																																																																																																											-2	155.78	-2	159.74	-2	162.87
7	uII	yii	2	12	2	14			-2	181.54	-2	205.47	-2	233.2	2	160.0	2	162.0	2	176.74	2	208.65																																																																																																																																
8	aEu	Aey	2	14	2	16			-2	179.54	-2	203.47	-2	231.2			2	164.0	2	178.74	2	210.65																																																																																																																																
9	oaE	oae			2	18					-2	201.47	-2	229.2			2	166.0	2	180.74	2	212.65																																																																																																											-2	150.61			-2	153.09									-2	153.61	-2	153.78	-2	157.74	-2	160.87
10	IEu	iey	2	16	2	20			-2	177.54	-2	199.47	-2	227.2	2	162.0	2	168.0	2	182.74	2	214.65																																																																																																																																
11	aE	ae			2	22					-2	197.47	-2	225.2			2	170.0	2	184.74	2	216.65																																																																																																																									-2	151.61	-2	151.78	-2	155.74	-2	158.87
13	uua	yyA	2	18	2	24			-2	175.54	-2	195.47	-2	223.2							2	218.65																																																																																																																																
14	oaI	OAi	2	20	2	26	-2	160.51	-2	173.54	-2	193.47	-2	221.2	2	164.0	2	172.0	2	186.74	2	220.65																																																																																																																																
15	Iua	iua	2	22	2	28							-2	219.2	2	166.0	2	174.0	2	188.74	2	222.65																																																													-2	159.82	-2	163.07999999999998																																																																
23	yey	ueu	2	24	2	30			2	175.54	2	195.47	2	221.2							-2	220.65																																													-2	153.6	-2	155.91													-2	157.82	-2	161.07999999999998																																																									-2	149.61	-2	149.78	-2	153.74	-2	156.87
24	iiA	iia			2	32			2	177.54	2	197.47	2	223.2							-2	218.65																																																													-2	155.82	-2	159.07999999999998																																																																
25	auI	Ayi	2	26	2	34			-2	175.54	-2	195.47	-2	221.2	2	168.0	2	176.0	2	190.74	2	220.65																																																																																																																																
26	eAi	eai			2	36			2	177.54	2	197.47	2	223.2							-2	218.65																																													-2	151.6	-2	153.91													-2	153.82	-2	157.07999999999998																																																													-2	151.74	-2	154.87
29	uIu	uiu			2	38							-2	221.2	2	170.0	2	178.0	2	192.74	2	220.65																																																													-2	151.82	-2	155.07999999999998																																																													-2	149.74	-2	152.87
30	oEa	oea			2	40					-2	195.47	-2	219.2			2	180.0	2	194.74	2	222.65																																													-2	149.6	-2	151.91													-2	149.82	-2	153.07999999999998																																									-2	149.86	-2	148.61	-2	152.0	-2	151.09									-2	147.61	-2	147.78	-2	147.74	-2	150.87
32	eeA	eea			2	42			2	179.54	2	197.47	2	221.2							-2	220.65																																													-2	147.6	-2	149.91													-2	147.82	-2	151.07999999999998																																																																
34	Euu	euu	2	28	2	44					-2	195.47	-2	219.2			2	182.0	2	196.74	2	222.65																																													-2	145.6	-2	147.91													-2	145.82	-2	149.07999999999998																																																																
35	aaa	AAA	2	30	2	46			-2	177.54	-2	193.47	-2	217.2							2	224.65																																																																																																																																
36	Ay	au	2	32	2	48			2	179.54	2	195.47	2	219.2							-2	222.65																																																																																																																																
37	eAe	eae			2	50			2	181.54	2	197.47	2	221.2							-2	220.65																																													-2	143.6	-2	145.91													-2	143.82	-2	147.07999999999998																																																									-2	145.61	-2	145.78	-2	145.74	-2	148.87
39	OOA	ooa	2	34	2	52	2	162.51	2	183.54	2	199.47	2	223.2					-2	194.74	-2	218.65																																																																																																																																
40	Ia	ia	2	36	2	54							-2	221.2	2	172.0	2	184.0	2	196.74	2	220.65																																																													-2	141.82	-2	145.07999999999998																																																																
41	Eua	eua	2	38	2	56					-2	197.47	-2	219.2			2	186.0	2	198.74	2	222.65																																													-2	141.6	-2	143.91													-2	139.82	-2	143.07999999999998																																																																
43	AO	ao	2	40	2	58	2	164.51	2	185.54	2	199.47	2	221.2					-2	196.74	-2	220.65																																																																																																																																
44	uIa	yiA	2	42	2	60			-2	183.54	-2	197.47	-2	219.2	2	174.0	2	188.0	2	198.74	2	222.65																																																																																																																																
46	AiO	aio	2	44	2	62	2	166.51	2	185.54	2	199.47	2	221.2					-2	196.74	-2	220.65																																																									-2	152.15	-2	153.28	-2	137.82	-2	141.07999999999998																																																													-2	143.74	-2	146.87
47	oIo	OiO	2	46	2	64	-2	164.51	-2	183.54	-2	197.47	-2	219.2	2	176.0	2	190.0	2	198.74	2	222.65																																																																																																																																
