trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		163.17000000000002		189.16		201.58		228.51		154.85		169.03		184.11		213.4		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.89		152.42		153.65		154.77		157.39		159.68		150.0		150.0		150.0		150.0		150.0		150.0		151.02		151.7		150.0		150.0		150.0		150.0		150.0		150.0		152.9		154.24		150.0		150.0		150.0		150.0		150.0		150.0		154.96		156.87		150.0		150.0		150.0		150.0		150.0		150.0		158.68		161.84
1	auI	Ayi	2	2	0	0			-2	187.16	-2	199.58	-2	226.51	2	156.85	2	171.03	2	186.11	2	215.4																																																																																																																																
4	IEu	iEu	2	4	0	0							-2	224.51	2	158.85	2	173.03	2	188.11	2	217.4																																																					-2	149.89	-2	150.42	-2	151.65	-2	152.77	-2	155.39	-2	157.68																																																																
5	auu	Ayy	2	6	0	0			-2	185.16	-2	197.58	-2	222.51							2	219.4																																																																																																																																
6	Ia	ia	2	8	0	0							-2	220.51	2	160.85	2	175.03	2	190.11	2	221.4																																																													-2	153.39	-2	155.68																																																																
7	eOA	Eoa	2	10	0	0	2	165.17000000000002	2	187.16	2	199.58	2	222.51			-2	173.03	-2	188.11	-2	219.4																																																																																																																																
8	uou	yOy	2	12	0	0	-2	163.17000000000002	-2	185.16	-2	197.58	-2	220.51					2	190.11	2	221.4																																																																																																																																
9	oao	OAO	2	14	0	0	-2	161.17000000000002	-2	183.16	-2	195.58	-2	218.51					2	192.11	2	223.4																																																																																																																																
11	yOO	uoo	2	16	0	0	2	163.17000000000002	2	185.16	2	197.58	2	220.51					-2	190.11	-2	221.4																																																																																																																																
12	uou	yOy	2	18	0	0	-2	161.17000000000002	-2	183.16	-2	195.58	-2	218.51					2	192.11	2	223.4																																																																																																																																
