trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.36		166.55		190.9		214.53		150.0		155.72		179.9		226.92000000000002		150.0		150.0		150.0		150.0		151.12		151.94		153.17		155.74		150.0		150.0		150.0		150.0		153.5		156.34		159.73		168.16		150.0		150.0		150.0		150.0		156.13		159.29		168.78		177.71		150.0		150.0		150.0		150.0		158.87		161.69		176.98		185.1		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.28		152.12		152.49		153.66		150.0		150.0		150.0		150.0		154.28		155.9		158.47		160.71		150.0		150.0		150.0		150.0		159.64		162.67		169.07		173.45
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	Oyi	oui	2	32	0	0	2	157.36	2	168.55	2	192.9	2	216.53					-2	177.9	-2	224.92000000000002																																																																																																															-2	158.71													-2	167.07	-2	171.45
2	AAe	Aae			2	2			2	170.55	2	194.9	2	218.53							-2	222.92000000000002																													-2	157.73	-2	166.16													-2	166.78	-2	175.71													-2	174.98	-2	183.1																																																									-2	157.64	-2	160.67	-2	165.07	-2	169.45
3	AeO	aeo	2	34	0	2	2	159.36	2	172.55	2	196.9	2	220.53					-2	175.9	-2	220.92000000000002																																									-2	154.13	-2	157.29	-2	164.78	-2	173.71									-2	156.87	-2	159.69	-2	172.98	-2	181.1																																																									-2	155.64	-2	158.67	-2	163.07	-2	167.45
4	eAi	eai			2	4			2	174.55	2	198.9	2	222.53							-2	218.92000000000002																																													-2	162.78	-2	171.71													-2	170.98	-2	179.1																																																													-2	161.07	-2	165.45
6	aIo	Aio	2	36	0	4			-2	172.55	-2	196.9	-2	220.53	2	152.0	2	157.72	2	177.9	2	220.92000000000002																											-2	154.34			-2	164.16											-2	155.29			-2	169.71									-2	154.87	-2	157.69	-2	168.98	-2	177.1																																																																
7	uII	yii	2	38	0	4			-2	170.55	-2	194.9	-2	218.53	2	154.0	2	159.72	2	179.9	2	222.92000000000002																																																																																																																																
8	AAe	Aae			2	6			2	172.55	2	196.9	2	220.53							-2	220.92000000000002																													-2	155.73	-2	162.16													-2	160.78	-2	167.71													-2	166.98	-2	175.1																																																									-2	153.64	-2	156.67	-2	159.07	-2	163.45
9	aIE	Aie	2	40	0	6			-2	170.55	-2	194.9	-2	218.53	2	156.0	2	161.72	2	181.9	2	222.92000000000002																																																																																																																																
