trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.6		167.01		190.24		213.93		150.0		155.21		180.05		227.76		150.0		150.0		150.0		150.0		151.14		152.11		153.41		156.31		150.0		150.0		150.0		150.0		153.64		156.57		160.43		169.07		150.0		150.0		150.0		150.0		156.28		159.44		168.57999999999998		177.59		150.0		150.0		150.0		150.0		159.31		162.28		177.06		185.54		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.14		151.84		152.21		153.3		150.0		150.0		150.0		150.0		153.97		155.6		157.86		160.31		150.0		150.0		150.0		150.0		159.41		162.59		169.07		173.76
1	yyO	yuo			3.6666666666666665	3.6666666666666665	3.6666666666666665	159.26666666666665	3.6666666666666665	170.67666666666665	3.6666666666666665	193.90666666666667	3.6666666666666665	217.59666666666666					-2	178.05	-2	225.76																											-2	154.57	-2	158.43	-2	167.07											-2	157.44	-2	166.57999999999998	-2	175.59											-2	160.28	-2	175.06	-2	183.54																																																																
2	AOO	aoo	0.5714285714285714	0.5714285714285714	0.5714285714285714	4.238095238095238	0.5714285714285714	159.83809523809524	0.5714285714285714	171.24809523809523	0.5714285714285714	194.47809523809525	0.5714285714285714	218.16809523809525					-2	176.05	-2	223.76																																																																																																																																
3	yey	ueu	3.0	3.571428571428571	3.0	7.238095238095238			3.0	174.24809523809523	3.0	197.47809523809525	3.0	221.16809523809525							-2	221.76																																													-2	164.57999999999998	-2	173.59													-2	173.06	-2	181.54																																																									-2	157.41	-2	160.59	-2	167.07	-2	171.76
4	iiA	iia			1.2	8.438095238095238			1.2	175.44809523809522	1.2	198.67809523809524	1.2	222.36809523809524							-2	219.76																																																													-2	171.06	-2	179.54																																																																
5	AAA	aaa	0.3333333333333333	3.9047619047619047	0.3333333333333333	8.771428571428572			0.3333333333333333	175.78142857142856	0.3333333333333333	199.01142857142858	0.3333333333333333	222.70142857142858							-2	217.76																																																																																																																																
6	aaI	aai			1.0	9.771428571428572							-2	220.70142857142858	1.0	151.0	1.0	156.21	1.0	177.05	1.0	218.76																																																																																																																													-2	165.07	-2	169.76
7	OyO	ouo	0.5714285714285714	4.476190476190476	0.5714285714285714	10.342857142857143	0.5714285714285714	160.40952380952382	0.5714285714285714	176.35285714285715	0.5714285714285714	199.58285714285716	0.5714285714285714	221.27285714285716					-2	175.05	-2	216.76																																																																																																																																
8	EIa	eia	1.4285714285714286	5.904761904761905	1.4285714285714286	11.771428571428572					-2	197.58285714285716	-2	219.27285714285716	1.4285714285714286	152.42857142857142	1.4285714285714286	157.63857142857142	1.4285714285714286	176.47857142857143	1.4285714285714286	218.1885714285714																																															-2	171.59													-2	169.06	-2	177.54																																																																
9	IoE	ioe	4.0	9.904761904761905	4.0	15.771428571428572					-2	195.58285714285716	-2	217.27285714285716	4.0	156.42857142857142	4.0	161.63857142857142	4.0	180.47857142857143	4.0	222.1885714285714																																																									-2	157.31	-2	158.28	-2	167.06	-2	175.54																																									-2	151.97	-2	153.6	-2	155.86	-2	158.31									-2	155.41	-2	158.59	-2	163.07	-2	167.76
10	iO	io			2.0	17.771428571428572	2.0	162.40952380952382	2.0	178.35285714285715	2.0	197.58285714285716	2.0	219.27285714285716					-2	178.47857142857143	-2	220.1885714285714																																																									-2	155.31	-2	156.28	-2	165.06	-2	173.54																																																																
11	aEa	aea			4.0	21.771428571428572					-2	195.58285714285716	-2	217.27285714285716			4.0	165.63857142857142	4.0	182.47857142857143	4.0	224.1885714285714																																													-2	162.57999999999998	-2	169.59													-2	163.06	-2	171.54																																																									-2	153.41	-2	156.59	-2	161.07	-2	165.76
12	eiO	Eio	3.7142857142857144	13.61904761904762	3.7142857142857144	25.485714285714288	3.7142857142857144	166.12380952380954	3.7142857142857144	182.06714285714287	3.7142857142857144	199.2971428571429	3.7142857142857144	220.98714285714289			-2	163.63857142857142	-2	180.47857142857143	-2	222.1885714285714																																																									-2	153.31	-2	154.28	-2	161.06	-2	169.54																													-2	150.21	-2	151.3													-2	153.86	-2	156.31													-2	159.07	-2	163.76
13	yee	uee	1.6666666666666667	15.285714285714286	1.6666666666666667	27.152380952380955			1.6666666666666667	183.73380952380953	1.6666666666666667	200.96380952380954	1.6666666666666667	222.65380952380954							-2	220.1885714285714																																																																																																																									-2	151.41	-2	154.59	-2	157.07	-2	161.76
14	EIE	eie	0.5714285714285714	15.857142857142858	0.5714285714285714	27.72380952380953					-2	198.96380952380954	-2	220.65380952380954	0.5714285714285714	157.0	0.5714285714285714	164.21	0.5714285714285714	181.05	0.5714285714285714	220.76																																																																																																																																
15	auI	Aui	3.142857142857143	19.0	3.142857142857143	30.86666666666667			-2	181.73380952380953	-2	196.96380952380954	-2	218.65380952380954	3.142857142857143	160.14285714285714	3.142857142857143	167.35285714285715	3.142857142857143	184.19285714285715	3.142857142857143	223.90285714285713																													-2	156.43	-2	165.07													-2	160.57999999999998	-2	167.59													-2	159.06	-2	167.54																																																													-2	155.07	-2	159.76
16	Aie	aie	1.3333333333333333	20.333333333333332	1.3333333333333333	32.2			1.3333333333333333	183.06714285714287	1.3333333333333333	198.2971428571429	1.3333333333333333	219.98714285714289							-2	221.90285714285713																																																																																																																											-2	152.59	-2	153.07	-2	157.76
17	Aye	aue	1.6666666666666667	22.0	1.6666666666666667	33.86666666666667			1.6666666666666667	184.73380952380953	1.6666666666666667	199.96380952380954	1.6666666666666667	221.65380952380954							-2	219.90285714285713																																																																																																																									-2	149.41	-2	150.59	-2	151.07	-2	155.76
18	iyy	iuu			1.2	35.06666666666667			1.2	185.93380952380951	1.2	201.16380952380953	1.2	222.85380952380953							-2	217.90285714285713																																																													-2	157.06	-2	165.54																																																																
19	oao	Oao	6.4	28.4	6.4	41.46666666666667	-2	164.12380952380954	-2	183.93380952380951	-2	199.16380952380953	-2	220.85380952380953					6.4	190.59285714285716	6.4	224.30285714285714											-2	150.11	-2	151.41	-2	154.31											-2	152.57	-2	154.43	-2	163.07											-2	155.44	-2	158.57999999999998	-2	165.59											-2	152.28	-2	155.06	-2	163.54																																																																
21	eee	Eee	6.0	34.4	6.0	47.46666666666667					6.0	205.16380952380953	6.0	226.85380952380953			-2	165.35285714285715	-2	188.59285714285716	-2	222.30285714285714																																																																																									-2	149.14	-2	149.84	-2	148.21	-2	149.3									-2	149.97	-2	151.6	-2	151.86	-2	154.31									-2	147.41	-2	148.59	-2	149.07	-2	153.76
22	uoI	uoi			1.6666666666666667	49.13333333333333							-2	224.85380952380953	1.6666666666666667	161.8095238095238	1.6666666666666667	167.0195238095238	1.6666666666666667	190.2595238095238	1.6666666666666667	223.9695238095238																																																																																																													-2	149.86	-2	152.31													-2	147.07	-2	151.76
23	eiO	Eio	3.7142857142857144	38.114285714285714	3.7142857142857144	52.84761904761905	3.7142857142857144	167.83809523809526	3.7142857142857144	187.64809523809524	3.7142857142857144	208.87809523809526	3.7142857142857144	228.56809523809525			-2	165.0195238095238	-2	188.2595238095238	-2	221.9695238095238																																																									-2	151.31	-2	150.28	-2	153.06	-2	161.54																													-2	146.21	-2	147.3													-2	147.86	-2	150.31													-2	145.07	-2	149.76
24	ouE	Oue	5.333333333333333	43.44761904761905	5.333333333333333	58.180952380952384	-2	165.83809523809526	-2	185.64809523809524	-2	206.87809523809526	-2	226.56809523809525			5.333333333333333	170.35285714285715	5.333333333333333	193.59285714285716	5.333333333333333	227.30285714285714													-2	149.41	-2	152.31													-2	152.43	-2	161.07													-2	156.57999999999998	-2	163.59													-2	151.06	-2	159.54																																																									-2	145.41	-2	146.59	-2	143.07	-2	147.76
25	Eau	eau	2.0	45.44761904761905	2.0	60.180952380952384					-2	204.87809523809526	-2	224.56809523809525			2.0	172.35285714285715	2.0	195.59285714285716	2.0	229.30285714285714																																													-2	154.57999999999998	-2	161.59													-2	149.06	-2	157.54																																																																
26	iA	ia			1.2	61.38095238095239			1.2	186.84809523809523	1.2	206.07809523809524	1.2	225.76809523809524							-2	227.30285714285714																																																													-2	147.06	-2	155.54																																																																
27	OA	oa	0.5714285714285714	46.01904761904762	0.5714285714285714	61.952380952380956	0.5714285714285714	166.40952380952385	0.5714285714285714	187.4195238095238	0.5714285714285714	206.64952380952383	0.5714285714285714	226.33952380952383					-2	193.59285714285716	-2	225.30285714285714																																																																																																																																
29	yy	uu	0.3333333333333333	46.352380952380955	0.3333333333333333	62.28571428571429			0.3333333333333333	187.75285714285715	0.3333333333333333	206.98285714285717	0.3333333333333333	226.67285714285717							-2	223.30285714285714																																																																																																																																
31	oIa	oia			2.3333333333333335	64.61904761904762							-2	224.67285714285717	2.3333333333333335	164.14285714285714	2.3333333333333335	174.6861904761905	2.3333333333333335	195.9261904761905	2.3333333333333335	225.63619047619048																																																													-2	145.06	-2	153.54																																													-2	145.86	-2	148.31													-2	141.07	-2	145.76
