trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.92		167.26		191.18		215.45999999999998		150.0		155.54		179.22		226.04		150.0		150.0		150.0		150.0		151.14		152.35		153.7		156.69		150.0		150.0		150.0		150.0		153.73		156.78		160.76		169.37		150.0		150.0		150.0		150.0		156.46		159.67		168.52		177.92000000000002		150.0		150.0		150.0		150.0		159.42		162.35		177.06		185.84		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.15		151.92		152.32		153.54		150.0		150.0		150.0		150.0		153.95		155.52		157.76		160.15		150.0		150.0		150.0		150.0		159.97		163.06		169.52		174.15
1	eei	Eei	7.5	7.5	0	0					7.5	198.68	7.5	222.95999999999998			-2	153.54	-2	177.22	-2	224.04																																																																																									-2	149.15	-2	149.92	-2	150.32	-2	151.54									-2	151.95	-2	153.52	-2	155.76	-2	158.15									-2	157.97	-2	161.06	-2	167.52	-2	172.15
3	IEE	iee	0.6666666666666666	8.166666666666666	0	0					-2	196.68	-2	220.95999999999998	0.6666666666666666	150.66666666666666	0.6666666666666666	154.20666666666665	0.6666666666666666	177.88666666666666	0.6666666666666666	224.70666666666665																																																																																																																																
4	yy	yu			2.8	2.8			2.8	170.06	2.8	199.48000000000002	2.8	223.76							-2	222.70666666666665																													-2	158.76	-2	167.37													-2	166.52	-2	175.92000000000002													-2	175.06	-2	183.84																																																																
6	ouI	Oui	4.666666666666667	12.833333333333332	0	2.8	-2	153.92	-2	168.06	-2	197.48000000000002	-2	221.76	4.666666666666667	155.33333333333331	4.666666666666667	158.8733333333333	4.666666666666667	182.5533333333333	4.666666666666667	227.3733333333333													-2	151.7	-2	154.69													-2	156.76	-2	165.37													-2	164.52	-2	173.92000000000002													-2	173.06	-2	181.84																																																													-2	165.52	-2	170.15
7	iAi	iai			2.0	4.8			2.0	170.06	2.0	199.48000000000002	2.0	223.76							-2	225.3733333333333																																																													-2	171.06	-2	179.84																																																													-2	163.52	-2	168.15
8	eO	eo			3.3333333333333335	8.133333333333333	3.3333333333333335	157.25333333333333	3.3333333333333335	173.39333333333335	3.3333333333333335	202.81333333333336	3.3333333333333335	227.09333333333333					-2	180.5533333333333	-2	223.3733333333333																																									-2	154.46	-2	157.67	-2	162.52	-2	171.92000000000002									-2	157.42	-2	160.35	-2	169.06	-2	177.84																																																																
10	oaE	oae			3.2	11.333333333333332					-2	200.81333333333336	-2	225.09333333333333			3.2	162.0733333333333	3.2	183.7533333333333	3.2	226.5733333333333																																																																																																											-2	151.52			-2	156.15									-2	155.97	-2	159.06	-2	161.52	-2	166.15
11	aEo	Aeo	5.2	18.03333333333333	0	11.333333333333332			-2	171.39333333333335	-2	198.81333333333336	-2	223.09333333333333			5.2	167.27333333333328	5.2	188.9533333333333	5.2	231.77333333333328																											-2	154.78			-2	163.37									-2	152.46	-2	155.67	-2	160.52	-2	169.92000000000002									-2	155.42	-2	158.35	-2	167.06	-2	175.84																																																																
12	eeA	Eea	7.6	25.633333333333333	0	11.333333333333332			7.6	178.99333333333334	7.6	206.41333333333336	7.6	230.69333333333333			-2	165.27333333333328	-2	186.9533333333333	-2	229.77333333333328																																													-2	158.52	-2	167.92000000000002													-2	165.06	-2	173.84																									-2	147.15	-2	147.92	-2	148.32	-2	149.54									-2	149.95	-2	149.52	-2	153.76	-2	154.15									-2	153.97	-2	157.06	-2	159.52	-2	164.15
13	uIu	yiu	2.3333333333333335	27.966666666666665	0	11.333333333333332			-2	176.99333333333334	-2	204.41333333333336	-2	228.69333333333333	2.3333333333333335	157.66666666666666	2.3333333333333335	167.60666666666663	2.3333333333333335	189.28666666666663	2.3333333333333335	232.10666666666663																															-2	161.37															-2	165.92000000000002													-2	163.06	-2	171.84																																																																
14	au	Au	6.0	33.96666666666667	0	11.333333333333332			-2	174.99333333333334	-2	202.41333333333336	-2	226.69333333333333							6.0	238.10666666666663																													-2	154.76	-2	159.37													-2	156.52	-2	163.92000000000002													-2	161.06	-2	169.84																																																																
15	OAe	oae	2.6666666666666665	36.63333333333333	0	11.333333333333332	2.6666666666666665	159.92	2.6666666666666665	177.66	2.6666666666666665	205.08	2.6666666666666665	229.35999999999999					-2	187.28666666666663	-2	236.10666666666663																																																																																																											-2	147.52			-2	152.15									-2	151.97	-2	155.06	-2	157.52	-2	162.15
16	AyA	aua	0.4	37.03333333333333	0	11.333333333333332			0.4	178.06	0.4	205.48000000000002	0.4	229.76							-2	234.10666666666663																																																																																																																																
17	eyO	Euo	1.0	38.03333333333333	0	11.333333333333332	1.0	160.92	1.0	179.06	1.0	206.48000000000002	1.0	230.76			-2	165.60666666666663	-2	185.28666666666663	-2	232.10666666666663																																																																																																																																
18	yOO	uoo	0.6666666666666666	38.699999999999996	0	11.333333333333332	0.6666666666666666	161.58666666666664	0.6666666666666666	179.72666666666666	0.6666666666666666	207.14666666666668	0.6666666666666666	231.42666666666665					-2	183.28666666666663	-2	230.10666666666663																																																																																																																																
19	ao	Ao	10.0	48.699999999999996	0	11.333333333333332			-2	177.72666666666666	-2	205.14666666666668	-2	229.42666666666665							10.0	240.10666666666663																									-2	151.73	-2	152.78	-2	152.76	-2	157.37									-2	150.46	-2	153.67	-2	154.52	-2	161.92000000000002									-2	153.42	-2	156.35	-2	159.06	-2	167.84																																																																
20	eOO	eoo			3.3333333333333335	14.666666666666666	3.3333333333333335	164.92	3.3333333333333335	181.06	3.3333333333333335	208.48000000000002	3.3333333333333335	232.76					-2	181.28666666666663	-2	238.10666666666663																																									-2	148.46	-2	151.67	-2	152.52	-2	159.92000000000002									-2	151.42	-2	154.35	-2	157.06	-2	165.84																																																																
22	ei	Ei	4.5	53.199999999999996	0	14.666666666666666					4.5	212.98000000000002	4.5	237.26			-2	163.60666666666663	-2	179.28666666666663	-2	236.10666666666663																																																																																													-2	146.32	-2	147.54													-2	151.76	-2	150.15													-2	155.52	-2	160.15
23	eAe	eae			3.6	18.266666666666666			3.6	184.66	3.6	216.58	3.6	240.85999999999999							-2	234.10666666666663																																													-2	150.52	-2	157.92000000000002													-2	155.06	-2	163.84																																																									-2	149.97	-2	153.06	-2	153.52	-2	158.15
25	uE	ye	1.2	54.4	0	18.266666666666666			-2	182.66	-2	214.58	-2	238.85999999999999			1.2	164.80666666666662	1.2	180.48666666666662	1.2	235.30666666666662																																																																																																																																
26	aaI	Aai	3.6666666666666665	58.06666666666666	0	18.266666666666666			-2	180.66	-2	212.58	-2	236.85999999999999	3.6666666666666665	161.33333333333331	3.6666666666666665	168.47333333333327	3.6666666666666665	184.15333333333328	3.6666666666666665	238.97333333333327																													-2	150.76	-2	155.37													-2	148.52	-2	155.92000000000002													-2	153.06	-2	161.84																																																													-2	151.52	-2	156.15
27	Aye	aue	2.0	60.06666666666666	0	18.266666666666666			2.0	182.66	2.0	214.58	2.0	238.85999999999999							-2	236.97333333333327																																																																																																																									-2	147.97	-2	151.06	-2	149.52	-2	154.15
