trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.36		193.42		219.99		246.92000000000002		150.0		150.0		165.18		194.35		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.06		152.75		155.78		157.73		150.0		150.0		150.0		150.0		153.98		155.17		161.69		165.03		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.86		152.53		153.65		154.57		150.0		150.0		150.0		150.0		155.42		157.36		161.12		164.13
1	uEE	uee			1.2	1.2					-2	217.99	-2	244.92000000000002			1.2	151.2	1.2	166.38	1.2	195.54999999999998																																																																																																																									-2	153.42	-2	155.36	-2	159.12	-2	162.13
3	ooE	OOe	0.8888888888888888	0.8888888888888888	0.8888888888888888	2.0888888888888886	-2	162.36	-2	191.42	-2	215.99	-2	242.92000000000002			0.8888888888888888	152.08888888888887	0.8888888888888888	167.26888888888888	0.8888888888888888	196.43888888888887																																																																																																																																
6	oII	Oii	0.8	1.6888888888888889	0.8	2.8888888888888884	-2	160.36	-2	189.42	-2	213.99	-2	240.92000000000002	0.8	150.8	0.8	152.88888888888889	0.8	168.0688888888889	0.8	197.23888888888888																																																																																																																																
8	oIa	OiA	0.8	2.488888888888889	0.8	3.688888888888888	-2	158.36	-2	187.42	-2	211.99	-2	238.92000000000002	0.8	151.60000000000002	0.8	153.6888888888889	0.8	168.8688888888889	0.8	198.0388888888889																																																																																																																																
9	oI	Oi	0.8	3.2888888888888888	0.8	4.488888888888888	-2	156.36	-2	185.42	-2	209.99	-2	236.92000000000002	0.8	152.40000000000003	0.8	154.4888888888889	0.8	169.66888888888892	0.8	198.8388888888889																																																																																																																																
10	IoI	ioi	1.2	4.488888888888889	1.2	5.688888888888888							-2	234.92000000000002	1.2	153.60000000000002	1.2	155.6888888888889	1.2	170.8688888888889	1.2	200.0388888888889																																																									-2	151.98	-2	153.17	-2	159.69	-2	163.03																																													-2	151.65	-2	152.57													-2	157.12	-2	160.13
12	ooI	OOi	0.8	5.288888888888889	0.8	6.488888888888888	-2	154.36	-2	183.42	-2	207.99	-2	232.92000000000002	0.8	154.40000000000003	0.8	156.4888888888889	0.8	171.66888888888892	0.8	200.8388888888889																																																																																																																																
13	aEo	aeo			1.5555555555555556	8.044444444444444					-2	205.99	-2	230.92000000000002			1.5555555555555556	158.04444444444445	1.5555555555555556	173.22444444444446	1.5555555555555556	202.39444444444445																																									-2	150.06	-2	150.75	-2	153.78	-2	155.73									-2	149.98	-2	151.17	-2	157.69	-2	161.03																																																									-2	151.42	-2	153.36	-2	155.12	-2	158.13
14	aEu	Aey	0.75	6.038888888888889	0.75	8.794444444444444			-2	181.42	-2	203.99	-2	228.92000000000002			0.75	158.79444444444445	0.75	173.97444444444446	0.75	203.14444444444445																																																																																																																																
15	oEI	Oei	0.8	6.838888888888889	0.8	9.594444444444445	-2	152.36	-2	179.42	-2	201.99	-2	226.92000000000002	0.8	155.20000000000005	0.8	159.59444444444446	0.8	174.77444444444447	0.8	203.94444444444446																																																																																																																																
16	uoa	yOA	1.0	7.838888888888889	1.0	10.594444444444445	-2	150.36	-2	177.42	-2	199.99	-2	224.92000000000002					1.0	175.77444444444447	1.0	204.94444444444446																																																																																																																																
17	oEI	Oei	0.8	8.63888888888889	0.8	11.394444444444446	-2	148.36	-2	175.42	-2	197.99	-2	222.92000000000002	0.8	156.00000000000006	0.8	160.39444444444447	0.8	176.57444444444448	0.8	205.74444444444447																																																																																																																																
18	oaI	oai			0.8888888888888888	12.283333333333335							-2	220.92000000000002	0.8888888888888888	156.88888888888894	0.8888888888888888	161.28333333333336	0.8888888888888888	177.46333333333337	0.8888888888888888	206.63333333333335																																																																																																															-2	150.57													-2	153.12	-2	156.13
19	Ioo	iOO	0.8	9.43888888888889	0.8	13.083333333333336	-2	146.36	-2	173.42	-2	195.99	-2	218.92000000000002	0.8	157.68888888888895	0.8	162.08333333333337	0.8	178.26333333333338	0.8	207.43333333333337																																																																																																																																
20	oao	OAO	1.0	10.43888888888889	1.0	14.083333333333336	-2	144.36	-2	171.42	-2	193.99	-2	216.92000000000002					1.0	179.26333333333338	1.0	208.43333333333337																																																																																																																																
21	Eu	ey	0.75	11.18888888888889	0.75	14.833333333333336			-2	169.42	-2	191.99	-2	214.92000000000002			0.75	162.83333333333337	0.75	180.01333333333338	0.75	209.18333333333337																																																																																																																																
22	IEa	ieA	0.6666666666666666	11.855555555555556	0.6666666666666666	15.500000000000002			-2	167.42	-2	189.99	-2	212.92000000000002	0.6666666666666666	158.3555555555556	0.6666666666666666	163.50000000000003	0.6666666666666666	180.68000000000004	0.6666666666666666	209.85000000000002																																																																																																																																
23	aEa	aea			1.4285714285714286	16.92857142857143					-2	187.99	-2	210.92000000000002			1.4285714285714286	164.92857142857144	1.4285714285714286	182.10857142857145	1.4285714285714286	211.27857142857144																																													-2	151.78	-2	153.73													-2	155.69	-2	159.03																																																									-2	149.42	-2	151.36	-2	151.12	-2	154.13
24	yAe	uae	1.0	12.855555555555556	1.0	17.92857142857143			1.0	168.42	1.0	188.99	1.0	211.92000000000002							-2	209.27857142857144																																																																																																																									-2	147.42	-2	149.36	-2	149.12	-2	152.13
27	ao	AO	1.0	13.855555555555556	1.0	18.92857142857143	-2	142.36	-2	166.42	-2	186.99	-2	209.92000000000002					1.0	183.10857142857145	1.0	210.27857142857144																																																																																																																																
28	oau	OAy	1.0	14.855555555555556	1.0	19.92857142857143	-2	140.36	-2	164.42	-2	184.99	-2	207.92000000000002					1.0	184.10857142857145	1.0	211.27857142857144																																																																																																																																
30	eeO	eeo			1.3333333333333333	21.261904761904763	1.3333333333333333	141.69333333333336	1.3333333333333333	165.75333333333333	1.3333333333333333	186.32333333333335	1.3333333333333333	209.25333333333336					-2	182.10857142857145	-2	209.27857142857144																																									-2	148.06	-2	148.75	-2	149.78	-2	151.73									-2	147.98	-2	149.17	-2	153.69	-2	157.03																																																																
32	Eua	eyA	0.75	15.605555555555556	0.75	22.011904761904763			-2	163.75333333333333	-2	184.32333333333335	-2	207.25333333333336			0.75	165.67857142857144	0.75	182.85857142857145	0.75	210.02857142857144																																																																																																																																
36	uI	ui			0.75	22.761904761904763							-2	205.25333333333336	0.75	159.1055555555556	0.75	166.42857142857144	0.75	183.60857142857145	0.75	210.77857142857144																																																																																																																													-2	147.12	-2	150.13
39	Aiy	aiu	1.0	16.605555555555554	1.0	23.761904761904763			1.0	164.75333333333333	1.0	185.32333333333335	1.0	206.25333333333336							-2	208.77857142857144																																																													-2	151.69	-2	155.03																																																													-2	145.12	-2	148.13
40	eOA	eoa			1.3333333333333333	25.095238095238095	1.3333333333333333	143.0266666666667	1.3333333333333333	166.08666666666667	1.3333333333333333	186.6566666666667	1.3333333333333333	207.5866666666667					-2	181.60857142857145	-2	206.77857142857144																																									-2	146.06	-2	146.75	-2	147.78	-2	149.73									-2	145.98	-2	147.17	-2	149.69	-2	153.03																																																																
42	Euo	euo	1.2307692307692308	17.836324786324784	1.2307692307692308	26.326007326007325					-2	184.6566666666667	-2	205.5866666666667			1.2307692307692308	167.65934065934067	1.2307692307692308	182.83934065934068	1.2307692307692308	208.00934065934067																																											-2	144.75	-2	145.78	-2	147.73											-2	145.17	-2	147.69	-2	151.03																																																																
43	Ai	ai	0.75	18.586324786324784	0.75	27.076007326007325			0.75	166.83666666666667	0.75	185.4066666666667	0.75	206.3366666666667							-2	206.00934065934067																																																																																																																													-2	143.12	-2	146.13
