trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		178.82		234.88		288.9		343.78		150.0		150.0		180.62		240.78		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		154.18		155.32		162.2		166.58		150.0		150.0		150.0		150.0		158.2		160.38		173.64		180.38		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		154.48		155.98		158.4		160.38		150.0		150.0		150.0		150.0		162.42		167.26		173.94		180.86
1	oau	OAy	2	2	2	2	-2	176.82	-2	232.88	-2	286.9	-2	341.78					2	182.62	2	242.78																																																																																																																																
2	uaa	yAA	2	4	2	4			-2	230.88	-2	284.9	-2	339.78							2	244.78																																																																																																																																
3	uIa	uia			2	6							-2	337.78	2	152.0	2	152.0	2	184.62	2	246.78																																																													-2	171.64	-2	178.38																																																													-2	171.94	-2	178.86
4	oaI	OAi	2	6	2	8	-2	174.82	-2	228.88	-2	282.9	-2	335.78	2	154.0	2	154.0	2	186.62	2	248.78																																																																																																																																
5	aIu	aiu			2	10							-2	333.78	2	156.0	2	156.0	2	188.62	2	250.78																																																													-2	169.64	-2	176.38																																																													-2	169.94	-2	176.86
6	EoI	eoi	2	8	2	12					-2	280.9	-2	331.78	2	158.0	2	158.0	2	190.62	2	252.78																																									-2	152.18	-2	153.32	-2	160.2	-2	164.58									-2	156.2	-2	158.38	-2	167.64	-2	174.38																																													-2	156.4	-2	158.38													-2	167.94	-2	174.86
7	uoI	uoi			2	14							-2	329.78	2	160.0	2	160.0	2	192.62	2	254.78																																																																																																													-2	154.4	-2	156.38													-2	165.94	-2	172.86
8	Iua	iyA	2	10	2	16			-2	226.88	-2	278.9	-2	327.78	2	162.0	2	162.0	2	194.62	2	256.78																																																																																																																																
9	aIa	aia			2	18							-2	325.78	2	164.0	2	164.0	2	196.62	2	258.78																																																													-2	165.64	-2	172.38																																																													-2	163.94	-2	170.86
10	EEI	eei	2	12	2	20					-2	276.9	-2	323.78	2	166.0	2	166.0	2	198.62	2	260.78																																																																																																																																
12	oI	oi			2	22							-2	321.78	2	168.0	2	168.0	2	200.62	2	262.78																																																																																																													-2	152.4	-2	154.38													-2	161.94	-2	168.86
13	Eou	eOy	2	14	2	24	-2	172.82	-2	224.88	-2	274.9	-2	319.78			2	170.0	2	202.62	2	264.78																																																																																																																																
14	uIE	uie			2	26					-2	272.9	-2	317.78	2	170.0	2	172.0	2	204.62	2	266.78																																																																																																																											-2	165.26	-2	159.94	-2	166.86
15	Eua	eua	2	16	2	28					-2	270.9	-2	315.78			2	174.0	2	206.62	2	268.78																																													-2	158.2	-2	162.58													-2	163.64	-2	170.38																																																																
16	Iaa	iAA	2	18	2	30			-2	222.88	-2	268.9	-2	313.78	2	172.0	2	176.0	2	208.62	2	270.78																																																																																																																																
17	uaa	yAA	2	20	2	32			-2	220.88	-2	266.9	-2	311.78							2	272.78																																																																																																																																
18	uIu	yiy	2	22	2	34			-2	218.88	-2	264.9	-2	309.78	2	174.0	2	178.0	2	210.62	2	274.78																																																																																																																																
19	oIE	Oie	2	24	2	36	-2	170.82	-2	216.88	-2	262.9	-2	307.78	2	176.0	2	180.0	2	212.62	2	276.78																																																																																																																																
20	IEu	iey	2	26	2	38			-2	214.88	-2	260.9	-2	305.78	2	178.0	2	182.0	2	214.62	2	278.78																																																																																																																																
22	aI	ai			2	40							-2	303.78	2	180.0	2	184.0	2	216.62	2	280.78																																																																																																																													-2	157.94	-2	164.86
23	oII	Oii	2	28	2	42	-2	168.82	-2	212.88	-2	258.9	-2	301.78	2	182.0	2	186.0	2	218.62	2	282.78																																																																																																																																
24	IIo	iio	2	30	2	44							-2	299.78	2	184.0	2	188.0	2	220.62	2	284.78																																																									-2	154.2	-2	156.38	-2	161.64	-2	168.38																																																																
25	aoo	AOO	2	32	2	46	-2	166.82	-2	210.88	-2	256.9	-2	297.78					2	222.62	2	286.78																																																																																																																																
26	Eo	eo	2	34	2	48					-2	254.89999999999998	-2	295.78			2	190.0	2	224.62	2	288.78																																									-2	150.18	-2	151.32	-2	156.2	-2	160.58									-2	152.2	-2	154.38	-2	159.64	-2	166.38																																																																
