trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		161.06		182.44		232.8		278.96000000000004		150.0		161.58		207.66		303.56		150.0		150.0		150.0		150.0		152.2		154.18		156.36		162.14		150.0		150.0		150.0		150.0		156.3		161.42		169.44		185.26		150.0		150.0		150.0		150.0		162.0		167.38		186.74		203.94		150.0		150.0		150.0		150.0		166.84		172.16		202.82		218.89999999999998		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.6		154.18		155.08		157.36		150.0		150.0		150.0		150.0		158.26		161.58		166.22		171.06		150.0		150.0		150.0		150.0		169.7		175.94		188.44		197.48
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	yiO	uio	1.2307692307692308	11.23076923076923	0	0	1.2307692307692308	162.29076923076923	1.2307692307692308	183.67076923076922	1.2307692307692308	234.03076923076924	1.2307692307692308	280.19076923076926					-2	205.66	-2	301.56																																																									-2	164.84	-2	170.16	-2	200.82	-2	216.89999999999998																																																													-2	186.44	-2	195.48
2	AeA	Aea			1.2	1.2			1.2	184.8707692307692	1.2	235.23076923076923	1.2	281.39076923076925							-2	299.56																															-2	183.26													-2	184.74	-2	201.94													-2	198.82	-2	214.89999999999998																																																																
4	Oey	oeu	1.4736842105263157	12.704453441295545	0	1.2	1.4736842105263157	163.76445344129556	1.4736842105263157	186.34445344129554	1.4736842105263157	236.70445344129556	1.4736842105263157	282.86445344129555					-2	203.66	-2	297.56																																													-2	182.74	-2	199.94													-2	196.82	-2	212.89999999999998																																									-2	156.26	-2	159.58	-2	164.22	-2	169.06									-2	167.7	-2	173.94	-2	184.44	-2	193.48
5	yyi	uui	0.8571428571428571	13.561596298438403	0	1.2			0.8571428571428571	187.2015962984384	0.8571428571428571	237.56159629843842	0.8571428571428571	283.7215962984384							-2	295.56																																																																																																																													-2	182.44	-2	191.48
6	OAO	Oao			1.4736842105263157	2.6736842105263157	1.4736842105263157	165.2381376518219	1.4736842105263157	188.67528050896473	1.4736842105263157	239.03528050896475	1.4736842105263157	285.1952805089647					-2	201.66	-2	293.56											-2	152.18	-2	154.36	-2	160.14											-2	159.42	-2	167.44	-2	181.26											-2	165.38	-2	180.74	-2	197.94											-2	168.16	-2	194.82	-2	210.89999999999998																																																																
7	yyi	uui	0.8571428571428571	14.41873915558126	0	2.6736842105263157			0.8571428571428571	189.5324233661076	0.8571428571428571	239.8924233661076	0.8571428571428571	286.0524233661075							-2	291.56																																																																																																																													-2	180.44	-2	189.48
8	yO	yo			1.4736842105263157	4.147368421052631	1.4736842105263157	166.71182186234822	1.4736842105263157	191.00610757663392	1.4736842105263157	241.36610757663394	1.4736842105263157	287.5261075766338					-2	199.66	-2	289.56																									-2	154.3	-2	157.42	-2	165.44	-2	179.26									-2	160.0	-2	163.38	-2	178.74	-2	195.94									-2	162.84	-2	166.16	-2	192.82	-2	208.89999999999998																																																																
9	oEE	oee			1.4285714285714286	5.57593984962406					-2	239.36610757663394	-2	285.5261075766338			1.4285714285714286	163.00857142857143	1.4285714285714286	201.0885714285714	1.4285714285714286	290.98857142857145																																																																																																									-2	154.26	-2	157.58	-2	162.22	-2	167.06									-2	165.7	-2	171.94	-2	178.44	-2	187.48
