trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		140		160		180		100		120		140		180		100		100		100		100		100		100		100		100		100		100		120		120		140		140		140		140		100		100		120		120		140		140		160		160		100		100		120		120		140		140		180		180		100		100		100		100		100		100		100		100		100		100		120		120		120		120		120		120		100		100		140		140		140		140		140		140		100		100		140		140		160		160		180		180
0	Apriori	Id(Bk)Syl1>>Id(Bk)	25	25																																																																																																																																																		
1	EIu	Eiu			0.3333333333333333	0.3333333333333333							-2	178	0.3333333333333333	100.33333333333333	0.3333333333333333	120.33333333333333	0.3333333333333333	140.33333333333334	0.3333333333333333	180.33333333333334																																																													-2	178	-2	178																													-2	118	-2	118													-2	138	-2	138													-2	178	-2	178
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	25.333333333333332																																																																																																																																																			
2	OA	Oa			0.4	0.7333333333333334			0.4	140.4	0.4	160.4	0.4	178.4							-2	178.33333333333334													-2	98	-2	98													-2	138	-2	138													-2	158	-2	158													-2	176	-2	176																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000213	25.733333333333334																																																																																																																																																			
3	uu	yu	0.6666666666666666	26.400000000000002	0	0.7333333333333334			-2	138.4	-2	158.4	-2	176.4							0.6666666666666666	179.0																													-2	136	-2	136													-2	156	-2	156													-2	174	-2	174																																																																
4	yO	uo	0.3333333333333333	26.733333333333334	0	0.7333333333333334	0.3333333333333333	100.33333333333333	0.3333333333333333	138.73333333333335	0.3333333333333333	158.73333333333335	0.3333333333333333	176.73333333333335					-2	138.33333333333334	-2	177.0																																																																																																																																
5	ooI	ooi			0.3333333333333333	1.0666666666666667							-2	174.73333333333335	0.3333333333333333	100.66666666666666	0.3333333333333333	120.66666666666666	0.3333333333333333	138.66666666666669	0.3333333333333333	177.33333333333334																																																																																																													-2	136	-2	136													-2	176	-2	176
6	Oyi	Oui			0.4	1.4666666666666668			0.4	139.13333333333335	0.4	159.13333333333335	0.4	175.13333333333335							-2	175.33333333333334													-2	96	-2	96													-2	134	-2	134													-2	154	-2	154													-2	172	-2	172																																																													-2	174	-2	174
7	eeA	eea			0.4	1.8666666666666667			0.4	139.53333333333336	0.4	159.53333333333336	0.4	175.53333333333336							-2	173.33333333333334																																													-2	152	-2	152													-2	170	-2	170																																																																
7	Apriori	Id(Bk)Syl1>>Id(Bk)	0.13333333333333286	26.866666666666667																																																																																																																																																			
8	OAi	Oai			0.4	2.2666666666666666			0.4	139.93333333333337	0.4	159.93333333333337	0.4	175.93333333333337							-2	171.33333333333334													-2	94	-2	94													-2	132	-2	132													-2	150	-2	150													-2	168	-2	168																																																													-2	172	-2	172
8	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	27.266666666666666																																																																																																																																																			
9	EEo	eeo	0.4	27.666666666666664	0	2.2666666666666666					-2	157.93333333333337	-2	173.93333333333337			0.4	121.06666666666666	0.4	139.0666666666667	0.4	171.73333333333335																																									-2	138	-2	138	-2	148	-2	148									-2	138	-2	138	-2	166	-2	166																																																																
