trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		85.075881742946		50.94163401290343		70.6360890193817		63.83719112881525		73.67426372036272		56.64963409286223		91.854089828035		58.18039955752025		52.42245137373836		62.512591380541096		71.00458170064955		88.71504729572987		87.06599442632532		85.12571537537339		61.75905579891715		83.34384259607373		53.091259240400205		61.181390148627884		96.45767159273589		54.97032954800766		88.54759495355303		93.89067656182331		63.64289173038899		85.31121310109378		52.309105542676825		97.33458924979364		80.13091695245402		98.55268537154336		98.65347743452627		65.24677903456356		54.99025762677442		95.41210171970968		76.01040625337042		58.534565259269726		96.12380090831695		95.583030738995		89.17688294937409		78.02548325675791		63.224042026740605		58.94962302224238		60.53692648667365		93.9175994296366		72.53711640709136		84.13919636180452		50.30222752825416		66.02507825718409		52.96087425116771		58.523008080965916		81.73316754910141		62.336423203675366		95.42503382142448		91.81234931436242		73.9057289924295		73.20184055173921		68.57840396580397		54.76982516111741		64.23170555712088		50.958568417930074		95.44816163124892		63.85786934446065		95.3367824866444		54.34904321773115		73.07166063446863		59.53051343556977		90.10866407346819		50.03274445627358		58.84755869837379		72.01682958816984		74.35345447225208		71.76475899331028		69.40853414412544		56.05243523901349
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	AiA	aia	2	32	0	0			2	52.94163401290343	2	72.6360890193817	2	65.83719112881525							-2	56.18039955752025																																																													-2	61.224042026740605	-2	56.94962302224238																																																													-2	67.40853414412544	-2	54.05243523901349
2	aiO	aio			2	2	2	87.075881742946	2	54.94163401290343	2	74.6360890193817	2	67.83719112881525					-2	89.854089828035	-2	54.18039955752025																																																									-2	87.17688294937409	-2	76.02548325675791	-2	59.224042026740605	-2	54.94962302224238																																																			2	52.03274445627358			2	74.01682958816984			2	73.76475899331028				
3	yO	yo			2	4	2	89.075881742946	2	56.94163401290343	2	76.6360890193817	2	69.83719112881525					-2	87.854089828035	-2	52.18039955752025																									-2	86.54759495355303	-2	91.89067656182331	-2	61.64289173038899	-2	83.31121310109378									-2	96.65347743452627	-2	63.24677903456356	-2	52.99025762677442	-2	93.41210171970968									-2	85.17688294937409	-2	74.02548325675791	-2	57.224042026740605	-2	52.94962302224238																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	2	34																																																																																																																																																			
4	eiA	eia			2	6			2	58.94163401290343	2	78.6360890193817	2	71.83719112881525							-2	50.18039955752025																																															-2	91.41210171970968													-2	55.224042026740605	-2	50.94962302224238																																																																
4	Apriori	Id(Bk)Syl1>>Id(Bk)	2	36																																																																																																																																																			
5	ieA	iea			2	8			2	60.94163401290343	2	80.6360890193817	2	73.83719112881525							-2	48.18039955752025																																													-2	50.99025762677442	-2	89.41210171970968													-2	53.224042026740605	-2	48.94962302224238																																																																
5	Apriori	Id(Bk)Syl1>>Id(Bk)	2	38																																																																																																																																																			
6	oaa	Oaa	2	40	0	8	-2	87.075881742946	-2	58.94163401290343	-2	78.6360890193817	-2	71.83719112881525					2	89.854089828035	2	50.18039955752025													-2	59.75905579891715	-2	81.34384259607373													-2	59.64289173038899	-2	81.31121310109378													-2	48.99025762677442	-2	87.41210171970968													-2	51.224042026740605	-2	46.94962302224238																																																																
8	eAi	Eai	2	42	0	8			2	60.94163401290343	2	80.6360890193817	2	73.83719112881525			-2	54.64963409286223	-2	87.854089828035	-2	48.18039955752025																																																																																															-2	52.76982516111741															-2	57.53051343556977													-2	65.40853414412544	-2	52.05243523901349
10	OAy	oau	2	44	0	8	2	89.075881742946	2	62.94163401290343	2	82.6360890193817	2	75.83719112881525					-2	85.854089828035	-2	46.18039955752025																																																																																																																																
11	uey	ueu			2	10			2	64.94163401290342	2	84.6360890193817	2	77.83719112881525							-2	44.18039955752025																																													-2	46.99025762677442	-2	85.41210171970968													-2	49.224042026740605	-2	44.94962302224238																																																							2	76.01682958816984								
13	aEE	aee			2	12					-2	82.6360890193817	-2	75.83719112881525			2	56.64963409286223	2	87.854089828035	2	46.18039955752025																																																																																																																									-2	72.35345447225208	-2	71.76475899331028	-2	63.40853414412544	-2	50.05243523901349
15	uo	yo	2	46	0	12			-2	62.94163401290342	-2	80.6360890193817	-2	73.83719112881525							2	48.18039955752025																									-2	84.54759495355303	-2	89.89067656182331	-2	57.64289173038899	-2	79.31121310109378									-2	94.65347743452627	-2	61.24677903456356	-2	44.99025762677442	-2	83.41210171970968									-2	83.17688294937409	-2	72.02548325675791	-2	47.224042026740605	-2	42.94962302224238																																																																
17	uua	yua	2	48	0	12			-2	60.94163401290342	-2	78.6360890193817	-2	71.83719112881525							2	50.18039955752025																													-2	55.64289173038899	-2	77.31121310109378													-2	42.99025762677442	-2	81.41210171970968													-2	45.224042026740605	-2	40.94962302224238																																																																
21	oie	Oie	2	50	0	12	-2	87.075881742946	-2	58.94163401290342	-2	76.6360890193817	-2	69.83719112881525					2	89.854089828035	2	52.18039955752025																																																																																																											2	56.34904321773115	2	75.07166063446863	2	59.53051343556977											2	73.76475899331028	2	65.40853414412544	2	52.05243523901349
22	Oei	oei	2	52	0	12	2	89.075881742946	2	60.94163401290342	2	78.6360890193817	2	71.83719112881525					-2	87.854089828035	-2	50.18039955752025																																																																																																									-2	93.3367824866444	-2	54.34904321773115	-2	73.07166063446863	-2	57.53051343556977									-2	70.35345447225208	-2	71.76475899331028	-2	63.40853414412544	-2	50.05243523901349
23	ieA	iea			2	14			2	62.94163401290342	2	80.6360890193817	2	73.83719112881525							-2	48.18039955752025																																													-2	40.99025762677442	-2	79.41210171970968													-2	43.224042026740605	-2	38.94962302224238																																																																
24	ua	ya	2	54	0	14			-2	60.94163401290342	-2	78.6360890193817	-2	71.83719112881525							2	50.18039955752025																													-2	53.64289173038899	-2	75.31121310109378													-2	38.99025762677442	-2	77.41210171970968													-2	41.224042026740605	-2	36.94962302224238																																																																
26	ooE	Ooe	2	56	0	14	-2	87.075881742946	-2	58.94163401290342	-2	76.6360890193817	-2	69.83719112881525			2	58.64963409286223	2	89.854089828035	2	52.18039955752025									-2	85.06599442632532	-2	83.12571537537339	-2	57.75905579891715	-2	79.34384259607373									-2	82.54759495355303	-2	87.89067656182331	-2	51.64289173038899	-2	73.31121310109378									-2	92.65347743452627	-2	59.24677903456356	-2	36.99025762677442	-2	75.41210171970968									-2	81.17688294937409	-2	70.02548325675791	-2	39.224042026740605	-2	34.94962302224238																																									-2	91.3367824866444	-2	52.34904321773115	-2	71.07166063446863	-2	55.53051343556977									-2	68.35345447225208	-2	69.76475899331028	-2	61.40853414412544	-2	48.05243523901349
27	aue	Aue	2	58	0	14			-2	56.94163401290342	-2	74.6360890193817	-2	67.83719112881525							2	54.18039955752025																													-2	49.64289173038899	-2	71.31121310109378													-2	34.99025762677442	-2	73.41210171970968													-2	37.224042026740605	-2	32.94962302224238																																																											2	71.76475899331028			2	50.05243523901349
28	eOa	Eoa	2	60	0	14	2	89.075881742946	2	58.94163401290342	2	76.6360890193817	2	69.83719112881525			-2	56.64963409286223	-2	87.854089828035	-2	52.18039955752025													2	59.75905579891715	2	81.34384259607373													2	51.64289173038899	2	73.31121310109378													2	36.99025762677442	2	75.41210171970968													2	39.224042026740605	2	34.94962302224238																																																																
30	aou	Aou	2	62	0	14			-2	56.94163401290342	-2	74.6360890193817	-2	67.83719112881525							2	54.18039955752025																									-2	80.54759495355303	-2	85.89067656182331	-2	49.64289173038899	-2	71.31121310109378									-2	90.65347743452627	-2	57.24677903456356	-2	34.99025762677442	-2	73.41210171970968									-2	79.17688294937409	-2	68.02548325675791	-2	37.224042026740605	-2	32.94962302224238																																																																
33	oi	Oi	2	64	0	14	-2	87.075881742946	-2	54.94163401290342	-2	72.6360890193817	-2	65.83719112881525					2	89.854089828035	2	56.18039955752025																																																																																																													2	73.07166063446863	2	57.53051343556977													2	63.40853414412544	2	52.05243523901349
34	iO	io			2	16	2	89.075881742946	2	56.94163401290342	2	74.6360890193817	2	67.83719112881525					-2	87.854089828035	-2	54.18039955752025																																																									-2	77.17688294937409	-2	66.02548325675791	-2	35.224042026740605	-2	30.949623022242378																																																																
