trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		66.78332131504759		76.15234856982455		78.05595109328598		78.56522451835653		62.786647905496366		64.35484412802813		63.81248806058532		75.20904097753075		68.87983098000835		88.00431647749585		71.23973927203896		88.31232121135804		78.53892918661242		70.1248146466992		83.27931051987969		72.76890691520316		63.645538791505786		51.64605545629885		80.80619808997753		77.9710344526512		80.38833079187056		67.43735630951221		66.7643814616937		98.00681561284622		65.68658015890989		75.23443071650334		61.82957794457802		55.3533169899911		56.77174524269027		58.03926132935986		97.37572765041742		71.97183187406017		66.58925768096213		70.91651141572397		51.96871826405443		51.350960302009064		91.57367178801393		73.57660400942515		65.54800595979228		67.2293327602811		73.95999254348862		95.32504835338669		91.69957293441192		70.84940380211508		68.0662126724597		87.69072939601912		52.10747453072307		52.70972685196741		88.41521263283931		79.98854213117382		93.4900374152316		94.83573617939822		73.86238340894718		57.120558598702374		95.94088196944102		97.35540582000554		69.19493219986359		54.871669695105346		94.65987750198482		94.04850699050536		95.16751379581115		56.704698129876085		53.27857670976071		63.836884203038686		74.90327279414592		66.68270937784618		99.41929361589008		74.95624793560023		93.68021641973694		66.77461210496399		82.00747607398975		89.31962883870267
1	Ioa	ioa	0.9090909090909091	0.9090909090909091	0.9090909090909091	0.9090909090909091							-2	76.56522451835653	0.9090909090909091	63.69573881458727	0.9090909090909091	65.26393503711904	0.9090909090909091	64.72157896967623	0.9090909090909091	76.11813188662165																																																									-2	89.57367178801393	-2	71.57660400942515	-2	63.54800595979228	-2	65.2293327602811																																																																
2	aaE	Aae	1.4444444444444444	2.3535353535353534	1.4444444444444444	2.3535353535353534			-2	74.15234856982455	-2	76.05595109328598	-2	74.56522451835653			1.4444444444444444	66.70837948156348	1.4444444444444444	66.16602341412067	1.4444444444444444	77.5625763310661																													-2	64.7643814616937	-2	96.00681561284622													-2	95.37572765041742	-2	69.97183187406017													-2	61.54800595979228	-2	63.229332760281096																																																									-2	91.68021641973694	-2	64.77461210496399	-2	80.00747607398975	-2	87.31962883870267
3	IEo	ieo	1.25	3.6035353535353534	1.25	3.6035353535353534					-2	74.05595109328598	-2	72.56522451835653	1.25	64.94573881458727	1.25	67.95837948156348	1.25	67.41602341412067	1.25	78.8125763310661																																									-2	54.77174524269027	-2	56.03926132935986	-2	93.37572765041742	-2	67.97183187406017									-2	87.57367178801393	-2	69.57660400942515	-2	59.54800595979228	-2	61.229332760281096																																																																
4	yyi	uui	0.75	4.353535353535353	0.75	4.353535353535353			0.75	74.90234856982455	0.75	74.80595109328598	0.75	73.31522451835653							-2	76.8125763310661																																																																																																																													-2	78.00747607398975	-2	85.31962883870267
5	EI	Ei			1.1666666666666667	5.52020202020202							-2	71.31522451835653	1.1666666666666667	66.11240548125394	1.1666666666666667	69.12504614823015	1.1666666666666667	68.58269008078734	1.1666666666666667	77.97924299773277																																																																																													-2	93.94088196944102	-2	95.35540582000554													-2	51.27857670976071	-2	61.836884203038686													-2	76.00747607398975	-2	83.31962883870267
6	uaE	uae			1.2	6.72020202020202					-2	72.80595109328598	-2	69.31522451835653			1.2	70.32504614823016	1.2	69.78269008078735	1.2	79.17924299773277																																																																																																																									-2	89.68021641973694	-2	62.77461210496399	-2	74.00747607398975	-2	81.31962883870267
7	AOe	aoe	1.25	5.603535353535353	1.25	7.97020202020202	1.25	68.03332131504759	1.25	76.15234856982455	1.25	74.05595109328598	1.25	70.56522451835653					-2	67.78269008078735	-2	77.17924299773277																																																																																																									-2	93.16751379581115	-2	54.704698129876085	-2	49.27857670976071	-2	59.836884203038686									-2	87.68021641973694	-2	60.77461210496399	-2	72.00747607398975	-2	79.31962883870267
8	AO	ao	0.5	6.103535353535353	0.5	8.47020202020202	0.5	68.53332131504759	0.5	76.65234856982455	0.5	74.55595109328598	0.5	71.06522451835653					-2	65.78269008078735	-2	75.17924299773277																																																																																																																																
9	eAi	Eai	1.1666666666666667	7.27020202020202	1.1666666666666667	9.636868686868686			1.1666666666666667	77.81901523649123	1.1666666666666667	75.72261775995266	1.1666666666666667	72.2318911850232			-2	68.32504614823016	-2	63.78269008078735	-2	73.17924299773277																																																																																															-2	93.35540582000554															-2	57.836884203038686													-2	70.00747607398975	-2	77.31962883870267
11	oIE	oie			1.2307692307692308	10.867637917637918					-2	73.72261775995266	-2	70.2318911850232	1.2307692307692308	67.34317471202317	1.2307692307692308	69.55581537899938	1.2307692307692308	65.01345931155657	1.2307692307692308	74.410012228502																																																																																																											-2	52.704698129876085	-2	47.27857670976071	-2	55.836884203038686											-2	58.77461210496399	-2	68.00747607398975	-2	75.31962883870267
12	EEa	Eea			1.6363636363636365	12.504001554001555					-2	71.72261775995266	-2	68.2318911850232			1.6363636363636365	71.19217901536302	1.6363636363636365	66.64982294792021	1.6363636363636365	76.04637586486564																																													-2	91.37572765041742	-2	65.97183187406017													-2	57.54800595979228	-2	59.229332760281096																									-2	71.86238340894718	-2	55.120558598702374	-2	91.94088196944102	-2	91.35540582000554									-2	91.16751379581115	-2	50.704698129876085	-2	45.27857670976071	-2	53.836884203038686									-2	85.68021641973694	-2	56.77461210496399	-2	66.00747607398975	-2	73.31962883870267
14	AAi	aai	0.75	8.02020202020202	0.75	13.254001554001555			0.75	78.56901523649123	0.75	72.47261775995266	0.75	68.9818911850232							-2	74.04637586486564																																																																																																																													-2	64.00747607398975	-2	71.31962883870267
