trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		149.52753636176232		60.88397311371134		115.10128284230011		76.92583467914486		92.28242671867687		63.663342627619535		61.64830766678225		53.981166551200175		93.96182604372694		75.11361874004184		57.305354964485524		127.74107311579418		89.54960472904233		64.23051910661749		134.9678601881084		122.35840674654406		73.92120447950255		50.68134355125332		71.02011824285965		118.27799003410817		79.23411020604715		99.01075041537888		65.805803542772		88.19250408204653		146.69233898018547		112.88620479739063		51.2929990807334		71.91236370721995		121.65458028870283		64.10760023004906		128.3053022039544		102.38262649885361		84.83338179651491		113.10432226542142		141.95253107513616		127.55020599799327		119.18166033575342		94.68725253112704		122.80036834342047		129.36056086649762		116.90512820461859		85.63294236548617		132.33141172197384		119.34733260807667		90.23133760502975		126.41087511358879		121.21895278736052		84.49468221954919		125.13966249251061		97.38930258363072		79.82133455478035		120.43133207283215		96.6170392147177		56.38294363384831		70.97639276969032		138.8428899709324		116.4328002715149		131.47739560891995		54.83492380322437		71.90347578314525		62.777303171544816		67.35542036031647		80.25031621379567		72.48906138643365		117.82122870036169		143.97332858053437		125.58650099144127		85.54989154095341		119.11828270385196		103.45841873341817		95.44703183281635		113.97585866128621
1	uEu	ueu			2	2					-2	113.10128284230011	-2	74.92583467914486			2	65.66334262761953	2	63.64830766678225	2	55.981166551200175																																													-2	126.3053022039544	-2	100.38262649885361													-2	120.80036834342047	-2	127.36056086649762																																																									-2	117.11828270385196	-2	101.45841873341817	-2	93.44703183281635	-2	111.97585866128621
3	aaa	AAA	2	2	2	4			-2	58.88397311371134	-2	111.10128284230011	-2	72.92583467914486							2	57.981166551200175																																																																																																																																
4	uI	ui			2	6							-2	70.92583467914486	2	94.28242671867687	2	67.66334262761953	2	65.64830766678224	2	59.981166551200175																																																																																																																													-2	91.44703183281635	-2	109.97585866128621
5	Iuu	iuu	2	4	2	8							-2	68.92583467914486	2	96.28242671867687	2	69.66334262761953	2	67.64830766678224	2	61.981166551200175																																																													-2	118.80036834342047	-2	125.36056086649762																																																																
6	Iuu	iyy	2	6	2	10			-2	56.88397311371134	-2	109.10128284230011	-2	66.92583467914486	2	98.28242671867687	2	71.66334262761953	2	69.64830766678224	2	63.981166551200175																																																																																																																																
7	aEa	aea			2	12					-2	107.10128284230011	-2	64.92583467914486			2	73.66334262761953	2	71.64830766678224	2	65.98116655120018																																													-2	124.3053022039544	-2	98.38262649885361													-2	116.80036834342047	-2	123.36056086649762																																																									-2	115.11828270385196	-2	99.45841873341817	-2	89.44703183281635	-2	107.97585866128621
8	aIo	AiO	2	8	2	14	-2	147.52753636176232	-2	54.88397311371134	-2	105.10128284230011	-2	62.925834679144856	2	100.28242671867687	2	75.66334262761953	2	73.64830766678224	2	67.98116655120018																																																																																																																																
10	Iaa	iaa	2	10	2	16							-2	60.925834679144856	2	102.28242671867687	2	77.66334262761953	2	75.64830766678224	2	69.98116655120018																																																													-2	114.80036834342047	-2	121.36056086649762																																																																
11	IoI	ioi	2	12	2	18							-2	58.925834679144856	2	104.28242671867687	2	79.66334262761953	2	77.64830766678224	2	71.98116655120018																																																									-2	117.18166033575342	-2	92.68725253112704	-2	112.80036834342047	-2	119.36056086649762																																													-2	78.25031621379567	-2	70.48906138643365													-2	87.44703183281635	-2	105.97585866128621
