trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		144.3350714146772		135.17487787235905		81.28793113171622		115.09607477628721		148.32795398173323		68.03194521173737		59.00236351324456		131.94406730043758		131.641982301425		115.41239020820133		149.20333595267363		133.86528452171746		103.83631824196193		96.30360465336284		138.81583634381712		89.91479917057879		56.56129570620632		116.35483882086587		54.11840221187663		143.860496966095		84.37830843568753		125.7727771600668		138.99532807396275		143.68609668729533		138.94883209303896		138.33428093227099		92.394719305107		71.92706899688429		81.21949176818545		119.67783216254176		51.258590020376325		146.63571630207437		98.38282130531815		134.60350323405203		77.0980485969175		51.469813798776954		55.56195042420964		130.08896099369085		123.55918995774802		69.17213357068502		147.39726892473925		138.0480992825988		121.0285404843122		63.99062957011401		97.65169048894546		92.91167294448763		125.72041469896926		130.34625895415274		69.58289783036588		134.8736319258229		110.60282334602906		146.63856453421818		93.10211957842608		81.43365320818177		95.58590385618257		95.29020060758499		94.29942548661332		111.87127021135838		89.47361538938819		131.513714056734		65.93558046066535		106.63221806129843		143.341328892709		74.39142967674205		142.43343524663027		72.0413344659371		109.60407127300554		62.19127440533701		82.46291104976956		104.11998812462471		136.01606240652828		102.32760436458918
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	iEo	ieo			1.3333333333333333	1.3333333333333333					-2	79.28793113171622	-2	113.09607477628721			1.3333333333333333	69.3652785450707	1.3333333333333333	60.335696846577896	1.3333333333333333	133.27740063377092																																									-2	79.21949176818545	-2	117.67783216254176	-2	49.258590020376325	-2	144.63571630207437					1.3333333333333333	78.43138193025082	1.3333333333333333	52.80314713211029			1.3333333333333333	131.4222943270242			1.3333333333333333	70.50546690401835																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	1.3333333333333321	31.333333333333332																																																																																																																																																			
2	EEa	eeA	1.2	32.53333333333333	0	1.3333333333333333			-2	133.17487787235905	-2	77.28793113171622	-2	111.09607477628721			1.2	70.5652785450707	1.2	61.5356968465779	1.2	134.4774006337709																																																																																																																																
3	iAA	iaa			1.2	2.533333333333333			1.2	134.37487787235904	1.2	78.48793113171622	1.2	112.29607477628721							-2	132.4774006337709																																																													-2	121.55918995774802	-2	68.50546690401835																																																																
5	auu	Ayy	2.0	34.53333333333333	0	2.533333333333333			-2	132.37487787235904	-2	76.48793113171622	-2	110.29607477628721							2.0	134.4774006337709																																																																																																																																
6	oEo	OeO	1.6	36.13333333333333	0	2.533333333333333	-2	142.3350714146772	-2	130.37487787235904	-2	74.48793113171622	-2	108.29607477628721			1.6	72.16527854507069	1.6	63.1356968465779	1.6	136.0774006337709																																																																																																																																
7	oEu	oeu			5.6	8.133333333333333					-2	72.48793113171622	-2	106.29607477628721			5.6	77.76527854507069	5.6	68.7356968465779	5.6	141.6774006337709																																													-2	47.258590020376325	-2	142.63571630207437													-2	119.55918995774802	-2	66.50546690401835																																									-2	63.93558046066535	-2	104.63221806129843	-2	141.341328892709	-2	72.39142967674205									-2	80.46291104976956	-2	102.11998812462471	-2	134.01606240652828	-2	100.32760436458918
7	Apriori	Id(Bk)Syl1>>Id(Bk)	2.0	38.13333333333333																																																																																																																																																			
