trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		145.79588837142006		84.81641450826518		118.9103282825051		112.93905061481678		131.31348228714845		98.94710982210577		100.26539862023749		60.958080549054756		142.07361188759822		81.74265038835361		85.82272690152277		102.71144278506758		110.98616942073633		116.5824638372419		80.29462077017558		117.90438172169698		98.84614828951422		139.9232866462995		123.22073176426849		149.7415847955172		89.84799236322118		51.19409222853054		109.20955662804467		107.14872894177323		138.21885043760017		110.50119300455421		112.23798230824644		90.86669353310592		147.39135232255634		76.74804331718443		52.522288424011535		143.61593365988784		86.31994296462989		149.5998479105788		107.0127275278348		50.519483737573665		145.1920097240336		100.36732160787446		110.87007844985673		72.17106622155472		111.24791710143509		80.39909672171295		123.13799238295766		50.81605641332957		109.27665492151137		142.3953326776359		51.49202919438489		126.40626841409237		139.2183884116062		98.33181593139042		99.21037100640105		85.24389725038874		143.16719106329188		82.24009026018199		109.15933337366957		55.36572082424354		114.7999893976737		66.53493138455748		58.028492434020905		143.77749545415728		62.788029598153194		98.31307379630854		84.2588094452747		80.6439274651787		60.21082370073761		50.79570245016388		132.8141240620672		70.00870190548655		72.93017786458849		145.37242429480114		93.91949582788942		51.75492022920722
1	ouo	OyO	1.1428571428571428	1.1428571428571428	0	0	-2	143.79588837142006	-2	82.81641450826518	-2	116.9103282825051	-2	110.93905061481678					1.1428571428571428	101.40825576309463	1.1428571428571428	62.1009376919119																																																																																																																																
4	iaE	IaE	0.8	1.9428571428571428	0	0							0.8	111.73905061481678	-2	129.31348228714845	-2	96.94710982210577	-2	99.40825576309463	-2	60.1009376919119																																																							0.8	51.31948373757366			0.8	101.16732160787446	0.8	111.67007844985673	0.8	72.97106622155472																																																																
7	Eau	eAy	0.8571428571428571	2.8	0	0			-2	80.81641450826518	-2	114.9103282825051	-2	109.73905061481678			0.8571428571428571	97.80425267924863	0.8571428571428571	100.26539862023749	0.8571428571428571	60.958080549054756																																																																																																																																
8	iA	Ia	1.0	3.8	0	0			1.0	81.81641450826518	1.0	115.9103282825051	1.0	110.73905061481678	-2	127.31348228714845	-2	95.80425267924863	-2	98.26539862023749	-2	58.958080549054756																																																																																																																																
12	uai	yAi	0.8571428571428571	4.657142857142857	0	0			-2	79.81641450826518	-2	113.9103282825051	-2	108.73905061481678							0.8571428571428571	59.81522340619761																																																																																																																													0.8571428571428571	94.77663868503228	0.8571428571428571	52.612063086350076
15	iee	iEE			1.5	1.5					1.5	115.4103282825051	1.5	110.23905061481678			-2	93.80425267924863	-2	96.26539862023749	-2	57.81522340619761																																																					-2	105.0127275278348	-2	49.31948373757366	-2	143.1920097240336	-2	99.16732160787446	-2	109.67007844985673	-2	70.97106622155472																																																																
16	oEE	Oee	1.0	5.657142857142857	0	1.5	-2	141.79588837142006	-2	77.81641450826518	-2	113.4103282825051	-2	108.23905061481678			1.0	94.80425267924863	1.0	97.26539862023749	1.0	58.81522340619761																																																																																																																																
17	ouE	Oye	1.0	6.657142857142857	0	1.5	-2	139.79588837142006	-2	75.81641450826518	-2	111.4103282825051	-2	106.23905061481678			1.0	95.80425267924863	1.0	98.26539862023749	1.0	59.81522340619761																																																																																																																																
18	aai	AAi	0.8571428571428571	7.514285714285713	0	1.5			-2	73.81641450826518	-2	109.4103282825051	-2	104.23905061481678							0.8571428571428571	60.672366263340464																																																																																																																													0.8571428571428571	95.63378154217514	0.8571428571428571	53.46920594349293
19	iie	IiE	1.7142857142857142	9.228571428571428	0	1.5					1.7142857142857142	111.12461399679081	1.7142857142857142	105.95333632910248	-2	125.31348228714845	-2	93.80425267924863	-2	96.26539862023749	-2	58.672366263340464																																																					-2	103.0127275278348	-2	47.31948373757366	-2	141.1920097240336	-2	97.16732160787446	-2	107.67007844985673	-2	68.97106622155472													-2	49.49202919438489	-2	124.40626841409237													-2	107.15933337366957	-2	53.36572082424354													-2	82.2588094452747	-2	78.6439274651787													-2	93.63378154217514	-2	51.46920594349293
21	iaa	iAA			0.8571428571428571	2.357142857142857			-2	71.81641450826518	-2	109.12461399679081	-2	103.95333632910248							0.8571428571428571	59.52950912048332																																																													0.8571428571428571	108.52722130699959	0.8571428571428571	69.82820907869758																																																																
23	uao	yAO	1.1428571428571428	10.37142857142857	0	2.357142857142857	-2	137.79588837142006	-2	69.81641450826518	-2	107.12461399679081	-2	101.95333632910248					1.1428571428571428	97.40825576309463	1.1428571428571428	60.672366263340464																																																																																																																																
25	aoa	AOA	1.1428571428571428	11.514285714285712	0	2.357142857142857	-2	135.79588837142006	-2	67.81641450826518	-2	105.12461399679081	-2	99.95333632910248					1.1428571428571428	98.55111290595177	1.1428571428571428	61.81522340619761																																																																																																																																
27	Io	io	1.0	12.514285714285712	0	2.357142857142857							-2	97.95333632910248	1.0	126.31348228714845	1.0	94.80425267924863	1.0	99.55111290595177	1.0	62.81522340619761																																																									-2	139.1920097240336	-2	95.16732160787446	-2	106.52722130699959	-2	67.82820907869758																																																																
28	aiu	Aiy	0.6666666666666666	13.180952380952379	0	2.357142857142857			-2	65.81641450826518	-2	103.12461399679081	-2	95.95333632910248							0.6666666666666666	63.481890072864275																																																													0.6666666666666666	107.19388797366626	0.6666666666666666	68.49487574536425																																																													0.6666666666666666	94.30044820884181	0.6666666666666666	52.135872610159595
32	aau	AAy	1.2	14.380952380952378	0	2.357142857142857			-2	63.81641450826518	-2	101.12461399679081	-2	93.95333632910248							1.2	64.68189007286428																																																																																																																																
34	uao	yAO	1.1428571428571428	15.52380952380952	0	2.357142857142857	-2	133.79588837142006	-2	61.81641450826518	-2	99.12461399679081	-2	91.95333632910248					1.1428571428571428	100.69397004880891	1.1428571428571428	65.82474721572142																																																																																																																																
35	ai	Ai	0.8571428571428571	16.380952380952376	0	2.357142857142857			-2	59.81641450826518	-2	97.12461399679081	-2	89.95333632910248							0.8571428571428571	66.68189007286428																																																																																																																													0.8571428571428571	95.15759106598468	0.8571428571428571	52.99301546730245
36	oIE	oiE			1.375	3.732142857142857							-2	87.95333632910248	1.375	127.68848228714845	1.375	96.17925267924863	1.375	102.06897004880891	1.375	68.05689007286428																																																					-2	101.0127275278348	-2	45.31948373757366	-2	137.1920097240336	-2	93.16732160787446	-2	105.19388797366626	-2	66.49487574536425																																													-2	80.2588094452747	-2	76.6439274651787													-2	93.15759106598468	-2	50.99301546730245
37	uu	yy	1.2	17.580952380952375	0	3.732142857142857			-2	57.81641450826518	-2	95.12461399679081	-2	85.95333632910248							1.2	69.25689007286428																																																																																																																																
40	uai	yAi	0.8571428571428571	18.438095238095233	0	3.732142857142857			-2	55.81641450826518	-2	93.12461399679081	-2	83.95333632910248							0.8571428571428571	70.11403293000714																																																																																																																													0.8571428571428571	94.01473392312754	0.8571428571428571	51.8501583244453
41	yiA	uia	1.1111111111111112	19.549206349206344	0	3.732142857142857			1.1111111111111112	56.9275256193763	1.1111111111111112	94.23572510790193	1.1111111111111112	85.0644474402136							-2	68.11403293000714																																																													-2	103.19388797366626	-2	64.49487574536425																																																													-2	92.01473392312754	-2	49.8501583244453
42	uo	yO	1.1428571428571428	20.692063492063486	0	3.732142857142857	-2	131.79588837142006	-2	54.9275256193763	-2	92.23572510790193	-2	83.0644474402136					1.1428571428571428	103.21182719166605	1.1428571428571428	69.25689007286428																																																																																																																																
44	aou	AOy	1.1428571428571428	21.83492063492063	0	3.732142857142857	-2	129.79588837142006	-2	52.9275256193763	-2	90.23572510790193	-2	81.0644474402136					1.1428571428571428	104.35468433452318	1.1428571428571428	70.39974721572142																																																																																																																																
48	eye	EuE	0.8571428571428571	22.692063492063486	0	3.732142857142857			0.8571428571428571	53.78466847651915	0.8571428571428571	91.09286796504479	0.8571428571428571	81.92159029735646			-2	94.17925267924863	-2	102.35468433452318	-2	68.39974721572142																																																																																																																																
