trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		115.4642498906217		67.84440084850786		119.88524876510988		100.01453175122353		108.85117831823737		105.71199408749268		58.0931362905311		110.89052975283096		133.62003357870105		84.30451512810176		62.04115142484221		54.09616583444943		147.37227456168475		74.16372490004159		67.89663535355099		135.2268036175123		132.93513475659364		98.18034020917193		58.19981553799938		113.29094593655017		60.7536725689817		143.3081990543179		140.05348106881155		121.84193030795146		95.99366903307188		121.63744843665458		131.15595912504523		108.58511631970308		81.7929605729006		129.83286878005498		75.86671676013916		57.77267197035073		123.61398403368014		106.6056310585315		88.34432464643729		66.93699067899689		116.58249228023763		52.28038764215618		67.54180468577076		76.20792498540987		107.79905102637827		78.3846783882189		127.67264599278974		69.01391579104258		65.91766705835933		93.64558745183425		76.19573578054215		62.114120331813204		88.57066247785805		111.00674953283112		70.08244012069514		102.13187416915022		129.31953870857689		83.22311927547801		119.12618353151994		119.78358394623024		88.95589096346384		127.62429940996284		114.83774104776813		104.97912813085904		105.06999226750435		69.46936550741358		72.3055457737431		148.50310955684407		141.74720437603543		131.08263302377753		126.55983939954814		102.06292848396382		66.87391453249577		146.71718390031486		63.53074913052515		148.9542199478036
1	uEu	ueu			0.4	0.4					-2	117.88524876510988	-2	98.01453175122353			0.4	106.11199408749269	0.4	58.4931362905311	0.4	111.29052975283096																																													-2	73.86671676013916	-2	55.77267197035073													-2	65.54180468577076	-2	74.20792498540987																																																									-2	64.87391453249577	-2	144.71718390031486	-2	61.53074913052515	-2	146.9542199478036
2	uEE	uee			0.4	0.8					-2	115.88524876510988	-2	96.01453175122353			0.4	106.5119940874927	0.4	58.893136290531096	0.4	111.69052975283097																																																																																																																									-2	62.873914532495775	-2	142.71718390031486	-2	59.53074913052515	-2	144.9542199478036
3	EIu	Eiu			0.3333333333333333	1.1333333333333333							-2	94.01453175122353	0.3333333333333333	109.1845116515707	0.3333333333333333	106.84532742082602	0.3333333333333333	59.22646962386443	0.3333333333333333	112.0238630861643																																																													-2	63.54180468577076	-2	72.20792498540987																													-2	117.12618353151994	-2	117.78358394623024													-2	70.3055457737431	-2	146.50310955684407													-2	57.53074913052515	-2	142.9542199478036
4	IEa	iea	0.3333333333333333	0.3333333333333333	0	1.1333333333333333					-2	113.88524876510988	-2	92.01453175122353	0.3333333333333333	109.51784498490403	0.3333333333333333	107.17866075415935	0.3333333333333333	59.55980295719777	0.3333333333333333	112.35719641949763																																													-2	71.86671676013916	-2	53.77267197035073													-2	61.54180468577076	-2	70.20792498540987																																																																
5	oaI	Oai	0.3333333333333333	0.6666666666666666	0	1.1333333333333333	-2	113.4642498906217	-2	65.84440084850786	-2	111.88524876510988	-2	90.01453175122353	0.3333333333333333	109.85117831823736	0.3333333333333333	107.51199408749268	0.3333333333333333	59.8931362905311	0.3333333333333333	112.69052975283095													-2	65.89663535355099	-2	133.2268036175123													-2	138.05348106881155	-2	119.84193030795146													-2	69.86671676013916	-2	51.77267197035073													-2	59.54180468577076	-2	68.20792498540987																																																													-2	55.53074913052515	-2	140.9542199478036
6	ooI	ooi			0.3333333333333333	1.4666666666666666							-2	88.01453175122353	0.3333333333333333	110.18451165157069	0.3333333333333333	107.84532742082601	0.3333333333333333	60.22646962386444	0.3333333333333333	113.02386308616428																																																																																																													-2	68.3055457737431	-2	144.50310955684407													-2	53.53074913052515	-2	138.9542199478036
7	ouu	Ouu	0.5	1.1666666666666665	0	1.4666666666666666	-2	111.4642498906217	-2	63.84440084850786	-2	109.88524876510988	-2	86.01453175122353					0.5	60.72646962386444	0.5	113.52386308616428													-2	63.89663535355099	-2	131.2268036175123													-2	136.05348106881155	-2	117.84193030795146													-2	67.86671676013916	-2	49.77267197035073													-2	57.54180468577076	-2	66.20792498540987																																																																
8	AAO	Aao			0.3333333333333333	1.7999999999999998	0.3333333333333333	111.79758322395503	0.3333333333333333	64.17773418184119	0.3333333333333333	110.2185820984432	0.3333333333333333	86.34786508455686					-2	58.72646962386444	-2	111.52386308616428																											-2	141.3081990543179	-2	134.05348106881155	-2	115.84193030795146											-2	127.83286878005498	-2	65.86671676013916	-2	47.77267197035073											-2	50.28038764215618	-2	55.54180468577076	-2	64.20792498540987																																																																
9	yyA	yua			0.4	2.1999999999999997			0.4	64.5777341818412	0.4	110.61858209844321	0.4	86.74786508455686							-2	109.52386308616428																													-2	132.05348106881155	-2	113.84193030795146													-2	63.866716760139155	-2	45.77267197035073													-2	53.54180468577076	-2	62.207924985409875																																																																
