trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.44028728122416		149.626124872716		103.0612441130502		145.68318492939136		133.44371473408077		129.68560714210844		145.05395391668299		126.17859522210384		108.89893620647668		147.0215301728527		146.3770386135034		140.31971750079845		147.0846493903125		101.14266399772085		110.63334372355156		131.30692046400515		142.14053695264232		133.53093409093213		101.45292706151302		131.2004452067534		119.02447439790839		101.98848927590352		139.7808446000979		149.4737231421622		121.06211727247725		101.64886375164983		101.55022479976688		148.7394818096143		126.40885613110046		122.81107896798167		104.57547871211125		105.4675992443896		116.90486218937309		140.32859222954042		118.1798551000099		138.86601764470436		111.14340713150307		111.03176930504829		110.13854476779336		132.25486403633218		109.47493802927215		146.61324844087915		138.98180645220162		106.02620943857029		110.18689987834175		125.758944256998		116.3532882177054		113.99526196273847		130.78039890489396		140.90646928610786		100.54677486365688		127.45529035986618		138.7524605946898		122.72071961904052		149.2287556888489		101.43850753667286		106.0905634898695		143.3381001319003		101.87033366894553		134.69653678792562		111.77730361530305		102.67536183875737		146.5054665934283		128.65304914870993		118.1497692420745		139.19499063339845		115.7832076190337		139.2449859878418		108.74962081320717		102.44456814274646		128.74318682031173		120.25418312824759
1	EoI	Eoi			2	2							-2	143.68318492939136	2	135.44371473408077	2	131.68560714210844	2	147.05395391668299	2	128.17859522210384																																																																																															-2	99.43850753667286													-2	144.5054665934283	-2	126.65304914870993													-2	126.74318682031173	-2	118.25418312824759
3	uoE	uoe			2	4					-2	101.0612441130502	-2	141.68318492939136			2	133.68560714210844	2	149.05395391668299	2	130.17859522210384																																																																																																									-2	109.77730361530305	-2	100.67536183875737	-2	142.5054665934283	-2	124.65304914870993									-2	106.74962081320717	-2	100.44456814274646	-2	124.74318682031173	-2	116.25418312824759
5	uiO	yio	2	2	0	4	2	116.44028728122416											-2	147.05395391668299																													-2	99.98848927590352			-2	147.4737231421622											-2	120.81107896798167			-2	103.4675992443896									-2	109.14340713150307	-2	109.03176930504829	-2	108.13854476779336	-2	130.25486403633218																																																			2	141.19499063339845			2	141.2449859878418			2	102.44456814274646	2	126.74318682031173	2	118.25418312824759
9	iOy	iou			2	6	2	118.44028728122416	2	151.626124872716	2	103.0612441130502	2	143.68318492939136					-2	145.05395391668299	-2	128.17859522210384																																																									-2	107.14340713150307	-2	107.03176930504829	-2	106.13854476779336	-2	128.25486403633218																																																																
10	uia	yia	2	4	0	6			-2	149.626124872716	-2	101.0612441130502	-2	141.68318492939136							2	130.17859522210384																															-2	145.4737231421622															-2	101.4675992443896																																																																													2	128.74318682031173	2	120.25418312824759
11	oIE	Oie	2	6	0	6	-2	116.44028728122416	-2	147.626124872716	-2	99.0612441130502	-2	139.68318492939136	2	137.44371473408077	2	135.68560714210844	2	147.05395391668299	2	132.17859522210384																																																																																																																																
13	aai	Aai	2	8	0	6			-2	145.626124872716	-2	97.0612441130502	-2	137.68318492939136							2	134.17859522210384																													-2	137.7808446000979	-2	143.4737231421622													-2	102.57547871211125	-2	99.4675992443896													-2	104.13854476779336	-2	126.25486403633218																																																															2	122.25418312824759
14	uOu	you	2	10	0	6	2	118.44028728122416											-2	145.05395391668299															2	112.63334372355156	2	133.30692046400515									-2	117.02447439790839	-2	97.98848927590352			-2	141.4737231421622									-2	124.40885613110046	-2	118.81107896798167			-2	97.4675992443896									-2	105.14340713150307	-2	105.03176930504829			-2	124.25486403633218																																																	2	120.1497692420745	2	143.19499063339845	2	117.7832076190337	2	143.2449859878418	2	108.74962081320717	2	104.44456814274646	2	130.74318682031173	2	124.25418312824759
17	eO	eo			2	8	2	120.44028728122416	2	147.626124872716	2	99.0612441130502	2	139.68318492939136					-2	143.05395391668299	-2	132.17859522210384																																									-2	122.40885613110046	-2	116.81107896798167	-2	100.57547871211125	-2	95.4675992443896									-2	103.14340713150307	-2	103.03176930504829	-2	102.13854476779336	-2	122.25486403633218																																																																
20	oea	Oea	2	12	0	8	-2	118.44028728122416	-2	145.626124872716	-2	97.0612441130502	-2	137.68318492939136					2	145.05395391668299	2	134.17859522210384															-2	131.30692046400515															-2	139.4737231421622																																																																									2	111.77730361530305	2	102.67536183875737	2	144.5054665934283	2	126.65304914870993									2	110.74962081320717	2	106.44456814274646	2	132.74318682031173	2	126.25418312824759
23	iOi	ioi			2	10	2	120.44028728122416	2	147.626124872716	2	99.0612441130502	2	139.68318492939136					-2	143.05395391668299	-2	132.17859522210384																																																									-2	101.14340713150307	-2	101.03176930504829	-2	100.13854476779336	-2	120.25486403633218																																													-2	142.5054665934283	-2	124.65304914870993													-2	130.74318682031173	-2	124.25418312824759
24	EoE	eoe	2	14	0	10					-2	97.0612441130502	-2	137.68318492939136			2	137.68560714210844	2	145.05395391668299	2	134.17859522210384																																									-2	120.40885613110046	-2	114.81107896798167	-2	98.57547871211125	-2	93.4675992443896									-2	99.14340713150307	-2	99.03176930504829	-2	98.13854476779336	-2	118.25486403633218																																									-2	109.77730361530305	-2	100.67536183875737	-2	140.5054665934283	-2	122.65304914870993									-2	108.74962081320717	-2	104.44456814274646	-2	128.74318682031173	-2	122.25418312824759
25	uio	yio	2	16	0	10			-2	145.626124872716	-2	95.0612441130502	-2	135.68318492939136							2	136.17859522210384																											-2	95.98848927590352			-2	137.4737231421622											-2	112.81107896798167			-2	91.4675992443896																																																																													2	130.74318682031173	2	124.25418312824759
27	uuo	yuo	2	18	0	10			-2	143.626124872716	-2	93.0612441130502	-2	133.68318492939136							2	138.17859522210384																											-2	93.98848927590352	-2	135.7808446000979	-2	135.4737231421622											-2	110.81107896798167	-2	96.57547871211125	-2	89.4675992443896											-2	97.03176930504829	-2	96.13854476779336	-2	116.25486403633218																																																																
28	OiO	Oio			2	12	2	122.44028728122416	2	145.626124872716	2	95.0612441130502	2	135.68318492939136					-2	143.05395391668299	-2	136.17859522210384											-2	99.14266399772085			-2	129.30692046400515											-2	91.98848927590352			-2	133.4737231421622											-2	108.81107896798167			-2	87.4675992443896									-2	97.14340713150307	-2	95.03176930504829	-2	94.13854476779336	-2	114.25486403633218																																																																
29	aae	Aae	2	20	0	12			-2	143.626124872716	-2	93.0612441130502	-2	133.68318492939136							2	138.17859522210384																													-2	133.7808446000979	-2	131.4737231421622													-2	94.57547871211125	-2	85.4675992443896													-2	92.13854476779336	-2	112.25486403633218																																																											2	106.44456814274646			2	126.25418312824759
33	eia	Eia	2	22	0	12					2	95.0612441130502	2	135.68318492939136			-2	135.68560714210844	-2	141.05395391668299	-2	136.17859522210384																																															2	87.4675992443896																																													-2	147.2287556888489	-2	97.43850753667286													-2	138.5054665934283	-2	120.65304914870993													-2	128.74318682031173	-2	124.25418312824759
34	eeu	Eeu	2	24	0	12					2	97.0612441130502	2	137.68318492939136			-2	133.68560714210844	-2	139.05395391668299	-2	134.17859522210384																																																																																									-2	136.7524605946898	-2	120.72071961904052	-2	145.2287556888489	-2	95.43850753667286									-2	107.77730361530305	-2	98.67536183875737	-2	136.5054665934283	-2	118.65304914870993									-2	106.74962081320717	-2	104.44456814274646	-2	126.74318682031173	-2	122.25418312824759
37	uEu	ueu			2	14					-2	95.0612441130502	-2	135.68318492939136			2	135.68560714210844	2	141.05395391668299	2	136.17859522210384																																													-2	92.57547871211125	-2	85.4675992443896													-2	90.13854476779336	-2	110.25486403633218																																																									-2	104.74962081320717	-2	102.44456814274646	-2	124.74318682031173	-2	120.25418312824759
38	eui	Eui	2	26	0	14					2	97.0612441130502	2	137.68318492939136			-2	133.68560714210844	-2	139.05395391668299	-2	134.17859522210384																																													2	94.57547871211125	2	87.4675992443896													2	92.13854476779336	2	112.25486403633218																															-2	93.43850753667286															-2	116.65304914870993															-2	118.25418312824759
39	auo	Auo	2	28	0	14			-2	141.626124872716	-2	95.0612441130502	-2	135.68318492939136							2	136.17859522210384																											-2	89.98848927590352	-2	131.7808446000979	-2	129.4737231421622											-2	106.81107896798167	-2	92.57547871211125	-2	85.4675992443896											-2	93.03176930504829	-2	90.13854476779336	-2	110.25486403633218																																																																
40	eOi	Eoi	2	30	0	14	2	124.44028728122416	2	143.626124872716	2	97.0612441130502	2	137.68318492939136			-2	131.68560714210844	-2	137.05395391668299	-2	134.17859522210384																																																																																															-2	91.43850753667286													-2	134.5054665934283	-2	114.65304914870993													-2	122.74318682031173	-2	116.25418312824759
41	IE	ie	2	32	0	14					-2	95.0612441130502	-2	135.68318492939136	2	139.44371473408077	2	133.68560714210844	2	139.05395391668299	2	136.17859522210384																																																																																																																																
45	eu	Eu	2	34	0	14					2	97.0612441130502	2	137.68318492939136			-2	131.68560714210844	-2	137.05395391668299	-2	134.17859522210384																																													2	94.57547871211125	2	87.4675992443896													2	92.13854476779336	2	112.25486403633218																																																																
46	Eoa	eoa	2	36	0	14					-2	95.0612441130502	-2	135.68318492939136			2	133.68560714210844	2	139.05395391668299	2	136.17859522210384																																									-2	118.40885613110046	-2	104.81107896798167	-2	92.57547871211125	-2	85.4675992443896									-2	95.14340713150307	-2	91.03176930504829	-2	90.13854476779336	-2	110.25486403633218																																																																
47	oui	Oui	2	38	0	14	-2	122.44028728122416	-2	141.626124872716	-2	93.0612441130502	-2	133.68318492939136					2	141.05395391668299	2	138.17859522210384													-2	110.63334372355156	-2	127.30692046400515													-2	129.7808446000979	-2	127.47372314216221													-2	90.57547871211125	-2	83.4675992443896													-2	88.13854476779336	-2	108.25486403633218																																															2	116.65304914870993															2	118.25418312824759
49	eiO	eio			2	16	2	124.44028728122416	2	143.626124872716	2	95.0612441130502	2	135.68318492939136					-2	139.05395391668299	-2	136.17859522210384																																											-2	102.81107896798167			-2	81.4675992443896									-2	93.14340713150307	-2	89.03176930504829	-2	86.13854476779336	-2	106.25486403633218																																																																
50	AOO	Aoo			2	18	2	126.44028728122416	2	145.626124872716	2	97.0612441130502	2	137.68318492939136					-2	137.05395391668299	-2	134.17859522210384																									-2	115.02447439790839	-2	87.98848927590352	-2	127.78084460009791	-2	125.47372314216221									-2	116.40885613110046	-2	100.81107896798167	-2	88.57547871211125	-2	79.4675992443896									-2	91.14340713150307	-2	87.03176930504829	-2	84.13854476779336	-2	104.25486403633218																																																																
53	oao	Oao	2	40	0	18	-2	124.44028728122416	-2	143.626124872716	-2	95.0612441130502	-2	135.68318492939136					2	139.05395391668299	2	136.17859522210384											-2	97.14266399772085	-2	108.63334372355156	-2	125.30692046400515											-2	85.98848927590352	-2	125.78084460009791	-2	123.47372314216221											-2	98.81107896798167	-2	86.57547871211125	-2	77.4675992443896											-2	85.03176930504829	-2	82.13854476779336	-2	102.25486403633218																																																																
56	ua	ya	2	42	0	18			-2	141.626124872716	-2	93.0612441130502	-2	133.68318492939136							2	138.17859522210384																													-2	123.78084460009791	-2	121.47372314216221													-2	84.57547871211125	-2	75.4675992443896													-2	80.13854476779336	-2	100.25486403633218																																																																
57	uio	yio	2	44	0	18			-2	139.626124872716	-2	91.0612441130502	-2	131.68318492939136							2	140.17859522210384																											-2	83.98848927590352			-2	119.47372314216221											-2	96.81107896798167			-2	73.4675992443896																																																																													2	124.74318682031173	2	120.25418312824759
58	eeA	Eea	2	46	0	18			2	141.626124872716	2	93.0612441130502	2	133.68318492939136			-2	131.68560714210844	-2	137.05395391668299	-2	138.17859522210384																																													-2	82.57547871211125	-2	71.4675992443896													-2	78.13854476779336	-2	98.25486403633218																									-2	134.7524605946898	-2	118.72071961904052	-2	143.2287556888489	-2	89.43850753667286									-2	105.77730361530305	-2	96.67536183875737	-2	132.5054665934283	-2	114.65304914870993									-2	102.74962081320717	-2	100.44456814274646	-2	122.74318682031173	-2	118.25418312824759
59	OAi	oai	2	48	0	18	2	126.44028728122416	2	143.626124872716	2	95.0612441130502	2	135.68318492939136					-2	135.05395391668299	-2	136.17859522210384																																																																																																															-2	112.65304914870993													-2	120.74318682031173	-2	116.25418312824759
60	ouu	Ouu	2	50	0	18	-2	124.44028728122416	-2	141.626124872716	-2	93.0612441130502	-2	133.68318492939136					2	137.05395391668299	2	138.17859522210384													-2	106.63334372355156	-2	123.30692046400515													-2	121.78084460009791	-2	117.47372314216221													-2	80.57547871211125	-2	69.4675992443896													-2	76.13854476779336	-2	96.25486403633218																																																																
61	aea	Aea	2	52	0	18			-2	139.626124872716	-2	91.0612441130502	-2	131.68318492939136							2	140.17859522210384																															-2	115.47372314216221																																																																																									2	104.74962081320717	2	102.44456814274646	2	122.74318682031173	2	118.25418312824759
63	iOy	iou			2	20	2	126.44028728122416	2	141.626124872716	2	93.0612441130502	2	133.68318492939136					-2	135.05395391668299	-2	138.17859522210384																																																									-2	89.14340713150307	-2	83.03176930504829	-2	74.13854476779336	-2	94.25486403633218																																																																
64	iAO	iao			2	22	2	128.44028728122416	2	143.626124872716	2	95.0612441130502	2	135.68318492939136					-2	133.05395391668299	-2	136.17859522210384																																																											-2	81.03176930504829	-2	72.13854476779336	-2	92.25486403633218																																																																
65	ei	Ei	2	54	0	22					2	97.0612441130502	2	137.68318492939136			-2	129.68560714210844	-2	131.05395391668299	-2	134.17859522210384																																																																																													-2	141.2287556888489	-2	87.43850753667286													-2	130.5054665934283	-2	110.65304914870993													-2	120.74318682031173	-2	116.25418312824759
68	uEo	yeo	2	56	0	22			-2	141.626124872716	-2	95.0612441130502	-2	135.68318492939136			2	131.68560714210844	2	133.05395391668299	2	136.17859522210384																											-2	81.98848927590352			-2	113.47372314216221									-2	114.40885613110046	-2	94.81107896798167	-2	78.57547871211125	-2	67.4675992443896									-2	87.14340713150307	-2	79.03176930504829	-2	70.13854476779336	-2	90.25486403633218																																																																
