trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		145.30911146019807		136.5962058944689		104.65152485481526		137.35251436215566		109.0482073133851		133.3568422375665		121.45973202762328		105.76708537486064		122.34516768981776		134.6917846856349		134.71601400999742		102.1773968288511		110.0622353471431		108.56299436551731		106.48643220139809		115.58490883086182		144.14307200455386		108.10263869061768		123.18725924300043		138.01058049213555		105.39299942771717		110.5321778625824		112.98911832117578		118.24310198916291		146.13698577443415		114.02713686045408		135.38228704989035		105.38741498839096		142.84720479362161		122.31314444948751		132.81885443101032		138.06292734824456		137.17767973758112		127.42165781331275		133.10503587696755		137.15801220360902		103.78059652226675		126.42636099515475		116.110924095302		102.63812093313557		110.80872082016096		130.42115075685828		129.39699448377675		131.5792543498084		103.62607751791784		141.17473402671104		135.29766952538256		144.63507449987088		118.23133416457802		108.47983813442674		126.31429251849573		133.22280997841298		148.32418312666817		134.36902304625838		134.19445316764808		145.80912912151675		147.31466349741308		121.77056125384092		135.7817896478746		111.85049883267557		143.20789025228572		123.05476817898844		137.42043435770915		115.83605165982615		138.7869998664259		123.32643497364874		106.63232370964847		130.2868138902411		115.53870698909216		117.82816415766784		140.64142255989782		112.34397452667622
1	aIo	AiO	2	2	0	0	-2	143.30911146019807	-2	134.5962058944689	-2	102.65152485481526	-2	135.35251436215566	2	111.0482073133851	2	135.3568422375665	2	123.45973202762328	2	107.76708537486064																																																																																																																																
4	uE	ue			2	2					-2	100.65152485481526	-2	133.35251436215566			2	137.3568422375665	2	125.45973202762328	2	109.76708537486064																																																																																																																									-2	113.53870698909216	-2	115.82816415766784	-2	138.64142255989782	-2	110.34397452667622
5	Aiy	aiu	2	4	0	2			2	136.5962058944689	2	102.65152485481526	2	135.35251436215566							-2	107.76708537486064																																																													-2	114.110924095302	-2	100.63812093313557																																																													-2	136.64142255989782	-2	108.34397452667622
6	EuE	eye	2	6	0	2			-2	134.5962058944689	-2	100.65152485481526	-2	133.35251436215566			2	139.3568422375665	2	127.45973202762328	2	109.76708537486064																																																																																																																																
8	aoE	AOe	2	8	0	2	-2	141.30911146019807	-2	132.5962058944689	-2	98.65152485481526	-2	131.35251436215566			2	141.3568422375665	2	129.45973202762326	2	111.76708537486064																																																																																																																																
9	uio	yiO	2	10	0	2	-2	139.30911146019807	-2	130.5962058944689	-2	96.65152485481526	-2	129.35251436215566					2	131.45973202762326	2	113.76708537486064																																																									2	105.78059652226675	2	128.42636099515477	2	116.110924095302	2	102.63812093313557																																																													2	138.64142255989782	2	110.34397452667622
10	Oie	oie	2	12	0	2	2	141.30911146019807	2	132.5962058944689	2	98.65152485481526	2	131.35251436215566					-2	129.45973202762326	-2	111.76708537486064																																																																																																											-2	121.05476817898844	-2	135.42043435770915	-2	113.83605165982615											-2	113.82816415766784	-2	136.64142255989782	-2	108.34397452667622
12	iu	iy			2	4			-2	130.5962058944689	-2	96.65152485481526	-2	129.35251436215566							2	113.76708537486064																																																													2	118.110924095302	2	104.63812093313557																																																																
14	Ae	ae	2	14	0	4			2	132.5962058944689	2	98.65152485481526	2	131.35251436215566							-2	111.76708537486064																																																																																																																									-2	111.53870698909216	-2	111.82816415766784	-2	134.64142255989782	-2	106.34397452667622
15	iiu	iiy			2	6			-2	130.5962058944689	-2	96.65152485481526	-2	129.35251436215566							2	113.76708537486064																																																													2	120.110924095302	2	106.63812093313557																																																																
18	oou	OOy	2	16	0	6	-2	139.30911146019807	-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566					2	131.45973202762326	2	115.76708537486064																																																																																																																																
20	uaa	yAA	2	18	0	6			-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566							2	117.76708537486064																																																																																																																																
21	Aey	aeu	2	20	0	6			2	128.5962058944689	2	94.65152485481526	2	127.35251436215566							-2	115.76708537486064																																													-2	130.81885443101032	-2	136.06292734824456													-2	118.110924095302	-2	104.63812093313557																																																									-2	109.53870698909216	-2	109.82816415766784	-2	132.64142255989782	-2	104.34397452667622
23	yii	uii	2	22	0	6			2	130.5962058944689	2	96.65152485481526	2	129.35251436215566							-2	113.76708537486064																																																																																																																													-2	130.64142255989782	-2	102.34397452667622
24	yeO	ueo	2	24	0	6	2	141.30911146019807	2	132.5962058944689	2	98.65152485481526	2	131.35251436215566					-2	129.45973202762326	-2	111.76708537486064																																									-2	140.84720479362161	-2	120.31314444948751	-2	128.81885443101032	-2	134.06292734824456									-2	103.78059652226675	-2	126.42636099515477	-2	116.110924095302	-2	102.63812093313557																																																									-2	107.53870698909216	-2	107.82816415766784	-2	128.64142255989782	-2	100.34397452667622
26	uou	yOy	2	26	0	6	-2	139.30911146019807	-2	130.5962058944689	-2	96.65152485481526	-2	129.35251436215566					2	131.45973202762326	2	113.76708537486064																																																																																																																																
27	iio	iiO			2	8	-2	137.30911146019807	-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566					2	133.45973202762326	2	115.76708537486064																																																									2	105.78059652226675	2	128.42636099515477	2	118.110924095302	2	104.63812093313557																																																																
28	oae	OAe	2	28	0	8	-2	135.30911146019807	-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566					2	135.45973202762326	2	117.76708537486064																																																																																																											2	123.05476817898844			2	115.83605165982615									2	109.53870698909216	2	109.82816415766784	2	130.64142255989782	2	102.34397452667622
29	uua	yyA	2	30	0	8			-2	124.59620589446891	-2	90.65152485481526	-2	123.35251436215566							2	119.76708537486064																																																																																																																																
30	yii	uii	2	32	0	8			2	126.59620589446891	2	92.65152485481526	2	125.35251436215566							-2	117.76708537486064																																																																																																																													-2	128.64142255989782	-2	100.34397452667622
32	eyO	euo			2	10	2	137.30911146019807	2	128.5962058944689	2	94.65152485481526	2	127.35251436215566					-2	133.45973202762326	-2	115.76708537486064																																											-2	118.31314444948751	-2	126.81885443101032	-2	132.06292734824456											-2	126.42636099515477	-2	116.110924095302	-2	102.63812093313557																																																																
33	eAA	eaa			2	12			2	130.5962058944689	2	96.65152485481526	2	129.35251436215566							-2	113.76708537486064																																													-2	124.81885443101032	-2	130.06292734824456													-2	114.110924095302	-2	100.63812093313557																																																																
34	aia	AiA	2	34	0	12			-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566							2	115.76708537486064																																																													2	116.110924095302	2	102.63812093313557																																																													2	130.64142255989782	2	102.34397452667622
36	Aey	aeu	2	36	0	12			2	130.5962058944689	2	96.65152485481526	2	129.35251436215566							-2	113.76708537486064																																													-2	122.81885443101032	-2	128.06292734824456													-2	114.110924095302	-2	100.63812093313557																																																									-2	107.53870698909216	-2	107.82816415766784	-2	128.64142255989782	-2	100.34397452667622
39	iio	iiO			2	14	-2	135.30911146019807	-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566					2	135.45973202762326	2	115.76708537486064																																																									2	107.78059652226675	2	128.42636099515477	2	116.110924095302	2	102.63812093313557																																																																
43	aau	AAy	2	38	0	14			-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566							2	117.76708537486064																																																																																																																																
44	eiO	eio			2	16	2	137.30911146019807	2	128.5962058944689	2	94.65152485481526	2	127.35251436215566					-2	133.45973202762326	-2	115.76708537486064																																											-2	116.31314444948751			-2	126.06292734824456									-2	105.78059652226675	-2	126.42636099515477	-2	114.110924095302	-2	100.63812093313557																																																																
46	eOa	eoa			2	18	2	139.30911146019807	2	130.5962058944689	2	96.65152485481526	2	129.35251436215566					-2	131.45973202762326	-2	113.76708537486064													2	108.48643220139809	2	117.58490883086182													2	114.98911832117578	2	120.24310198916291									-2	138.84720479362161	-2	114.31314444948751			-2	124.06292734824456									-2	103.78059652226675	-2	124.42636099515477			-2	98.63812093313557																																																																
48	aoi	AOi	2	40	0	18	-2	137.30911146019807	-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566					2	133.45973202762326	2	115.76708537486064																																																																																																													2	137.42043435770915	2	117.83605165982615													2	130.64142255989782	2	102.34397452667622
54	Oia	OiA			2	20			-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566							2	117.76708537486064															2	119.58490883086182															2	122.24310198916291															2	126.06292734824456													2	116.110924095302	2	100.63812093313557																																																																
62	eoi	eOi			2	22	-2	135.30911146019807	-2	124.59620589446891	-2	90.65152485481526	-2	123.35251436215566					2	135.45973202762326	2	119.76708537486064																																									2	140.84720479362161	2	116.31314444948751	2	124.81885443101032	2	128.06292734824456									2	105.78059652226675	2	126.42636099515477	2	118.110924095302	2	102.63812093313557																																													2	139.42043435770915	2	119.83605165982615													2	132.64142255989782	2	104.34397452667622
70	iuu	iyy			2	24			-2	122.59620589446891	-2	88.65152485481526	-2	121.35251436215566							2	121.76708537486064																																																													2	120.110924095302	2	104.63812093313557																																																																
71	oie	Oie	2	42	0	24	-2	133.30911146019807	-2	120.59620589446891	-2	86.65152485481526	-2	119.35251436215566					2	137.45973202762326	2	123.76708537486064																																																																																																											2	125.05476817898844	2	141.42043435770915	2	121.83605165982615											2	109.82816415766784	2	134.64142255989782	2	106.34397452667622
72	Oii	oii	2	44	0	24	2	135.30911146019807	2	122.59620589446891	2	88.65152485481526	2	121.35251436215566					-2	135.45973202762326	-2	121.76708537486064																																																																																																													-2	139.42043435770915	-2	119.83605165982615													-2	132.64142255989782	-2	104.34397452667622
75	eiA	eia			2	26			2	124.59620589446891	2	90.65152485481526	2	123.35251436215566							-2	119.76708537486064																																															-2	126.06292734824456													-2	118.110924095302	-2	102.63812093313557																																																																
77	eOe	eoe			2	28	2	137.30911146019807	2	126.59620589446891	2	92.65152485481526	2	125.35251436215566					-2	133.45973202762326	-2	117.76708537486064																																									-2	138.84720479362161	-2	114.31314444948751	-2	122.81885443101032	-2	124.06292734824456									-2	103.78059652226675	-2	124.42636099515477	-2	116.110924095302	-2	100.63812093313557																																									-2	141.20789025228572	-2	123.05476817898844	-2	137.42043435770915	-2	117.83605165982615									-2	105.53870698909216	-2	107.82816415766784	-2	130.64142255989782	-2	102.34397452667622
78	Oie	oie	2	46	0	28	2	139.30911146019807	2	128.5962058944689	2	94.65152485481526	2	127.35251436215566					-2	131.45973202762326	-2	115.76708537486064																																																																																																											-2	121.05476817898844	-2	135.42043435770915	-2	115.83605165982615											-2	105.82816415766784	-2	128.64142255989782	-2	100.34397452667622
80	uiu	yiy	2	48	0	28			-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566							2	117.76708537486064																																																													2	118.110924095302	2	102.63812093313557																																																													2	130.64142255989782	2	102.34397452667622
83	uu	yy	2	50	0	28			-2	124.59620589446891	-2	90.65152485481526	-2	123.35251436215566							2	119.76708537486064																																																																																																																																
86	oia	OiA	2	52	0	28	-2	137.30911146019807	-2	122.59620589446891	-2	88.65152485481526	-2	121.35251436215566					2	133.45973202762326	2	121.76708537486064																																																													2	120.110924095302	2	104.63812093313557																																													2	137.42043435770915	2	117.83605165982615													2	132.64142255989782	2	104.34397452667622
88	Aiu	Aiy			2	30			-2	120.59620589446891	-2	86.65152485481526	-2	119.35251436215566							2	123.76708537486064																															2	124.24310198916291															2	126.06292734824456													2	122.110924095302	2	106.63812093313557																																																																
89	ou	Oy	2	54	0	30	-2	135.30911146019807	-2	118.59620589446891	-2	84.65152485481526	-2	117.35251436215566					2	135.45973202762326	2	125.76708537486064																																																																																																																																
93	AAy	aau	2	56	0	30			2	120.59620589446891	2	86.65152485481526	2	119.35251436215566							-2	123.76708537486064																																																																																																																																
99	oau	OAy	2	58	0	30	-2	133.30911146019807	-2	118.59620589446891	-2	84.65152485481526	-2	117.35251436215566					2	137.45973202762326	2	125.76708537486064																																																																																																																																
100	AA	aa	2	60	0	30			2	120.59620589446891	2	86.65152485481526	2	119.35251436215566							-2	123.76708537486064																																																																																																																																
101	Oii	oii	2	62	0	30	2	135.30911146019807	2	122.59620589446891	2	88.65152485481526	2	121.35251436215566					-2	135.45973202762326	-2	121.76708537486064																																																																																																													-2	135.42043435770915	-2	115.83605165982615													-2	130.64142255989782	-2	102.34397452667622
103	AOO	aoo	2	64	0	30	2	137.30911146019807	2	124.59620589446891	2	90.65152485481526	2	123.35251436215566					-2	133.45973202762326	-2	119.76708537486064																																																																																																																																
105	AeA	aea	2	66	0	30			2	126.59620589446891	2	92.65152485481526	2	125.35251436215566							-2	117.76708537486064																																													-2	120.81885443101032	-2	124.06292734824456													-2	120.110924095302	-2	104.63812093313557																																																									-2	103.53870698909216	-2	103.82816415766784	-2	128.64142255989782	-2	100.34397452667622
106	iiu	iiy			2	32			-2	124.59620589446891	-2	90.65152485481526	-2	123.35251436215566							2	119.76708537486064																																																													2	122.110924095302	2	106.63812093313557																																																																
107	uoo	yOO	2	68	0	32	-2	135.30911146019807	-2	122.59620589446891	-2	88.65152485481526	-2	121.35251436215566					2	135.45973202762326	2	121.76708537486064																																																																																																																																
109	eaa	eAA			2	34			-2	120.59620589446891	-2	86.65152485481526	-2	119.35251436215566							2	123.76708537486064																																													2	122.81885443101032	2	126.06292734824456													2	124.110924095302	2	108.63812093313557																																																																
116	uoi	yOi	2	70	0	34	-2	133.30911146019807	-2	118.59620589446891	-2	84.65152485481526	-2	117.35251436215566					2	137.45973202762326	2	125.76708537486064																																																																																																													2	137.42043435770915	2	117.83605165982615													2	130.64142255989782	2	102.34397452667622
118	yy	uu	2	72	0	34			2	120.59620589446891	2	86.65152485481526	2	119.35251436215566							-2	123.76708537486064																																																																																																																																
120	AAy	aau	2	74	0	34			2	122.59620589446891	2	88.65152485481526	2	121.35251436215566							-2	121.76708537486064																																																																																																																																
121	iey	ieu			2	36			2	124.59620589446891	2	90.65152485481526	2	123.35251436215566							-2	119.76708537486064																																													-2	120.81885443101032	-2	124.06292734824456													-2	122.110924095302	-2	106.63812093313557																																																																
123	eyi	eui			2	38			2	126.59620589446891	2	92.65152485481526	2	125.35251436215566							-2	117.76708537486064																																													-2	118.81885443101032	-2	122.06292734824456													-2	120.110924095302	-2	104.63812093313557																																																													-2	128.64142255989782	-2	100.34397452667622
124	yAi	uai	2	76	0	38			2	128.5962058944689	2	94.65152485481526	2	127.35251436215566							-2	115.76708537486064																																																																																																																													-2	126.64142255989782	-2	98.34397452667622
125	yAO	uao	2	78	0	38	2	135.30911146019807	2	130.5962058944689	2	96.65152485481526	2	129.35251436215566					-2	135.45973202762326	-2	113.76708537486064																																																																																																																																
129	oa	OA	2	80	0	38	-2	133.30911146019807	-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566					2	137.45973202762326	2	115.76708537486064																																																																																																																																
132	yO	uo	2	82	0	38	2	135.30911146019807	2	130.5962058944689	2	96.65152485481526	2	129.35251436215566					-2	135.45973202762326	-2	113.76708537486064																																																																																																																																
133	ui	yi	2	84	0	38			-2	128.5962058944689	-2	94.65152485481526	-2	127.35251436215566							2	115.76708537486064																																																																																																																													2	128.64142255989782	2	100.34397452667622
140	iOu	iOy			2	40			-2	126.59620589446891	-2	92.65152485481526	-2	125.35251436215566							2	117.76708537486064													2	110.48643220139809	2	121.58490883086182													2	116.98911832117578	2	126.24310198916291													2	120.81885443101032	2	124.06292734824456													2	122.110924095302	2	106.63812093313557																																																																
144	uu	yy	2	86	0	40			-2	124.59620589446891	-2	90.65152485481526	-2	123.35251436215566							2	119.76708537486064																																																																																																																																
146	aou	AOy	2	88	0	40	-2	133.30911146019807	-2	122.59620589446891	-2	88.65152485481526	-2	121.35251436215566					2	137.45973202762326	2	121.76708537486064																																																																																																																																
147	AeO	aeo	2	90	0	40	2	135.30911146019807	2	124.59620589446891	2	90.65152485481526	2	123.35251436215566					-2	135.45973202762326	-2	119.76708537486064																																									-2	136.84720479362161	-2	112.31314444948751	-2	118.81885443101032	-2	122.06292734824456									-2	101.78059652226675	-2	122.42636099515477	-2	120.110924095302	-2	104.63812093313557																																																									-2	101.53870698909216	-2	101.82816415766784	-2	126.64142255989782	-2	98.34397452667622
