trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		125.79769071297218		123.02587203101078		101.57906830293672		133.60282121416557		129.75691673493665		128.2741439034552		141.96974945718515		102.4891500915674		133.11370674588716		105.46688844754323		132.60786445696897		129.92729224651757		133.23055078828185		131.81357330769956		106.98398039368209		107.73433822549083		121.42328783382368		100.63428928541697		138.5579239918371		121.72143752625809		111.74705410727334		149.76888166136976		106.83133869108269		103.73799676375856		146.29960116623928		104.22523892773344		108.80992311803425		101.02270917879821		132.5029653719609		118.72720830152998		110.07953888057318		122.19869925249648		137.04523947480297		106.97256855784703		141.68319198648547		144.3955295894537		146.75702849505757		139.59963767430966		119.81225386160413		106.27419244545699		145.4114484223513		142.85387035512855		117.84727828255228		135.9429273484714		131.31736826649896		120.73554430253003		121.3719607437234		116.35130399422407		115.05628013227067		133.5066968240758		129.76625922971132		142.71631493623357		146.21414483286713		132.76746945124086		126.21721004377841		147.78213983774856		140.02503298933055		124.96056314796431		101.53064523698743		103.53889410458177		148.93941435316316		117.34279286705184		123.6409547376444		132.16938990589423		126.31471335630795		117.47246395259633		127.80041114691088		147.4399922285926		115.85249022823794		103.64571562667567		112.03374493676935		114.7246464717086
1	AAO	aao	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	126.08340499868648	0.2857142857142857	123.31158631672507	0.2857142857142857	101.86478258865101	0.2857142857142857	133.88853549987985					-2	139.96974945718515	-2	100.4891500915674																																																																																																																																
3	yyO	uuo	0.2857142857142857	0.5714285714285714	0.2857142857142857	0.5714285714285714	0.2857142857142857	126.36911928440077	0.2857142857142857	123.59730060243936	0.2857142857142857	102.1504968743653	0.2857142857142857	134.17424978559413					-2	137.96974945718515	-2	98.4891500915674																																																																																																																																
6	OyO	ouo	0.2857142857142857	0.8571428571428571	0.2857142857142857	0.8571428571428571	0.2857142857142857	126.65483357011506	0.2857142857142857	123.88301488815365	0.2857142857142857	102.4362111600796	0.2857142857142857	134.4599640713084					-2	135.96974945718515	-2	96.4891500915674																																																																																																																																
10	eui	eyi			0.2222222222222222	1.0793650793650793			-2	121.88301488815365	-2	100.4362111600796	-2	132.4599640713084							0.2222222222222222	96.71137231378962																																													0.2222222222222222	110.30176110279541	0.2222222222222222	122.42092147471871													0.2222222222222222	120.03447608382636	0.2222222222222222	106.49641466767922																																																													0.2222222222222222	112.25596715899158	0.2222222222222222	114.94686869393082
12	OOa	OOA			0.18181818181818182	1.2611832611832612			-2	119.88301488815365	-2	98.4362111600796	-2	130.4599640713084							0.18181818181818182	96.89319049560781													0.18181818181818182	107.16579857550028	0.18181818181818182	107.91615640730902													0.18181818181818182	107.01315687290088	0.18181818181818182	103.91981494557675													0.18181818181818182	110.4835792846136	0.18181818181818182	122.6027396565369													0.18181818181818182	120.21629426564455	0.18181818181818182	106.6782328494974																																																																
14	uE	ue			0.4	1.661183261183261					-2	96.4362111600796	-2	128.4599640713084			0.4	128.67414390345522	0.4	136.36974945718515	0.4	97.29319049560782																																																																																																																									-2	113.85249022823794	-2	101.64571562667567	-2	110.25596715899158	-2	112.94686869393082
15	yyO	uuo	0.2857142857142857	1.1428571428571428	0.2857142857142857	1.9468975468975467	0.2857142857142857	126.94054785582935	0.2857142857142857	120.16872917386794	0.2857142857142857	96.72192544579389	0.2857142857142857	128.74567835702268					-2	134.36974945718515	-2	95.29319049560782																																																																																																																																
16	aau	AAy	0.5	1.6428571428571428	0.5	2.4468975468975467			-2	118.16872917386794	-2	94.72192544579389	-2	126.74567835702268							0.5	95.79319049560782																																																																																																																																
17	iOa	iOA			0.18181818181818182	2.6287157287157283			-2	116.16872917386794	-2	92.72192544579389	-2	124.74567835702268							0.18181818181818182	95.975008677426													0.18181818181818182	107.34761675731846	0.18181818181818182	108.0979745891272													0.18181818181818182	107.19497505471907	0.18181818181818182	104.10163312739493													0.18181818181818182	110.66539746643178	0.18181818181818182	122.78455783835508													0.18181818181818182	120.39811244746274	0.18181818181818182	106.86005103131559																																																																
19	Oiu	oiu	0.2	1.8428571428571427	0.2	2.8287157287157285	0.2	127.14054785582935	0.2	116.36872917386795	0.2	92.92192544579389	0.2	124.94567835702269					-2	132.36974945718515	-2	93.975008677426															0.2	108.29797458912721															0.2	104.30163312739494															0.2	122.98455783835509																																																													-2	121.6409547376444	-2	130.16938990589423													-2	108.25596715899158	-2	110.94686869393082
20	iOe	ioe			0.3333333333333333	3.162049062049062	0.3333333333333333	127.47388118916268	0.3333333333333333	116.70206250720128	0.3333333333333333	93.25525877912722	0.3333333333333333	125.27901169035601					-2	130.36974945718515	-2	91.975008677426																																																									-2	144.75702849505757	-2	137.59963767430966	-2	118.39811244746274	-2	104.86005103131559																																									-2	146.93941435316316	-2	115.34279286705184	-2	119.6409547376444	-2	128.16938990589423									-2	111.85249022823794	-2	99.64571562667567	-2	106.25596715899158	-2	108.94686869393082
21	uee	yee	0.25	2.0928571428571425	0.25	3.412049062049062			-2	114.70206250720128	-2	91.25525877912722	-2	123.27901169035601							0.25	92.225008677426																																																																																																																									0.25	112.10249022823794	0.25	99.89571562667567	0.25	106.50596715899158	0.25	109.19686869393082
23	yOa	uoa	0.13333333333333333	2.226190476190476	0.13333333333333333	3.5453823953823953	0.13333333333333333	127.60721452249602	0.13333333333333333	114.83539584053462	0.13333333333333333	91.38859211246056	0.13333333333333333	123.41234502368935					-2	128.36974945718515	-2	90.225008677426													0.13333333333333333	107.4809500906518	0.13333333333333333	108.43130792246055													0.13333333333333333	107.3283083880524	0.13333333333333333	104.43496646072828													0.13333333333333333	110.79873079976512	0.13333333333333333	123.11789117168843													0.13333333333333333	118.53144578079608	0.13333333333333333	104.99338436464893																																																																
25	aii	Aii	0.3333333333333333	2.5595238095238093	0.3333333333333333	3.878715728715729			-2	112.83539584053462	-2	89.38859211246056	-2	121.41234502368935							0.3333333333333333	90.55834201075933																																																																																																																													0.3333333333333333	106.83930049232491	0.3333333333333333	109.53020202726415
