trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		132.82432058987473		130.10996385450483		106.5416319650271		143.2476093895184		132.56930095362748		130.24969789526455		137.40746318874773		116.73754884086225		116.56265029065763		122.90281452230484		122.64431040066125		144.9572276845418		121.64378688900766		108.86159091504659		114.2745381275202		109.82307432074023		104.89206809953076		148.81638962843044		138.4751576920058		129.0191860519187		122.41331932321567		143.285938236394		122.92158853965985		137.28297926795645		136.56142407157728		122.06072836420114		128.38847893763767		118.20473633012543		131.64387129800053		144.66178351144205		128.7311813205		140.90425115208816		141.2734468872012		111.73024553824126		114.61215047511294		117.63170004477718		132.11252097209527		107.39442920587702		103.46004832757075		113.16234991871474		122.06438143087402		116.6912806430848		100.81302264614806		106.84991715680466		114.25236252416305		147.28802442050198		110.08877944892114		124.31909079112579		137.37447454425052		111.23558479071168		141.43560520634927		104.0903682927385		114.96867903451802		138.40470419060125		123.98381108454822		130.57932915294157		106.6573053428494		136.44955708308274		119.32708730159241		144.3531511428481		121.18385647271423		139.50220346805978		140.87472093803262		118.2035826661049		107.46445999290519		128.55687893416285		140.241273432688		104.84767597341944		129.5918328904606		133.76515007018554		133.02294327191376		130.191113528661
1	IEI	iEi	0.3333333333333333	0.3333333333333333	0	0							-2	141.2476093895184	0.3333333333333333	132.90263428696082	0.3333333333333333	130.5830312285979	0.3333333333333333	137.74079652208107	0.3333333333333333	117.07088217419557																																																					-2	112.61215047511294	-2	115.63170004477718	-2	130.11252097209527	-2	105.39442920587702	-2	101.46004832757075	-2	111.16234991871474																													-2	121.98381108454822	-2	128.57932915294157													-2	138.87472093803262	-2	116.2035826661049													-2	131.02294327191376	-2	128.191113528661
2	EEE	eee	0.4	0.7333333333333334	0	0					-2	104.5416319650271	-2	139.2476093895184			0.4	130.9830312285979	0.4	138.14079652208108	0.4	117.47088217419558																																																																																																																																
3	Eo	eO	0.4	1.1333333333333333	0	0	-2	130.82432058987473	-2	128.10996385450483	-2	102.5416319650271	-2	137.2476093895184			0.4	131.3830312285979	0.4	138.54079652208108	0.4	117.87088217419559																																																																																																																																
4	Oiu	oiu	0.2222222222222222	1.3555555555555556	0	0	0.2222222222222222	131.04654281209696	0.2222222222222222	128.33218607672706	0.2222222222222222	102.76385418724932	0.2222222222222222	137.46983161174063					-2	136.54079652208108	-2	115.87088217419559															0.2222222222222222	110.04529654296246															0.2222222222222222	137.50520149017868															0.2222222222222222	141.1264733743104																																																													-2	136.87472093803262	-2	114.2035826661049													-2	129.02294327191376	-2	126.19111352866099
5	uao	yAO	0.5	1.8555555555555556	0	0	-2	129.04654281209696	-2	126.33218607672706	-2	100.76385418724932	-2	135.46983161174063					0.5	137.04079652208108	0.5	116.37088217419559																																																																																																																																
7	Oye	ouE	0.3333333333333333	2.188888888888889	0	0	0.3333333333333333	129.3798761454303	0.3333333333333333	126.66551941006038	0.3333333333333333	101.09718752058265	0.3333333333333333	135.80316494507397			-2	129.3830312285979	-2	135.04079652208108	-2	114.37088217419559																																																																																																																																
8	EoI	eOi	0.3333333333333333	2.5222222222222226	0	0	-2	127.3798761454303	-2	124.66551941006038	-2	99.09718752058265	-2	133.80316494507397	0.3333333333333333	133.23596762029416	0.3333333333333333	129.71636456193124	0.3333333333333333	135.37412985541442	0.3333333333333333	114.70421550752891																																																																																																																																
11	eAO	Eao	0.3333333333333333	2.855555555555556	0	0	0.3333333333333333	127.71320947876363	0.3333333333333333	124.99885274339371	0.3333333333333333	99.43052085391598	0.3333333333333333	134.13649827840732			-2	127.71636456193124	-2	133.37412985541442	-2	112.70421550752891																																																																																																																																
12	ui	yi	0.4	3.255555555555556	0	0			-2	122.99885274339371	-2	97.43052085391598	-2	132.13649827840732							0.4	113.10421550752892																																																																																																																													0.4	129.42294327191377	0.4	126.591113528661
