trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		108.71874126761102		187.113496909256		117.29461576709724		121.43452114528901		187.01301050397115		194.511567322598		129.6573601020741		110.82106541157162		163.8461446643331		178.58218652706842		143.07308861280583		133.4747778130901		126.81273601819676		129.99206770422782		119.98148514980689		185.5712879954583		145.8538377568434		114.21687817921374		136.61894812595563		179.73891405721423		136.01569846699468		145.01850658530853		173.89011105358153		133.66454993280394		125.32776586440332		112.34408195055224		113.83132576523309		193.69538777832958		184.6595281345777		196.8652820786399		154.45476856346437		101.06941702063837		106.65457388413009		195.00417079868618		109.66157899797832		108.2005037724935		142.38461451451394		127.31987378680378		129.23645078908322		123.821376656269		177.1562727356553		126.66162889435937		180.3381371859249		111.32518221802317		198.56460582440673		121.93257070569548		102.56904703981971		152.0278052498691		194.4378488279532		138.99409523090142		118.33218328339123		143.02274450024703		171.19361617449886		165.29160637694827		121.12342875754382		155.51791098477992		103.34877528256278		144.94407488727984		134.12969471983084		176.97282011303938		180.1273076835867		104.92160291276244		174.62059058414553		108.87431025475792		159.02353370199023		176.11451125905015		176.39061880504113		139.7805730994952		130.17027247603437		152.54876988479404		168.3141663611468		125.61180404678858
1	uua	yua	2	2	2	2			-2	185.113496909256	-2	115.29461576709724	-2	119.43452114528901							2	112.82106541157162																													-2	171.89011105358153	-2	131.66454993280394													-2	152.45476856346437	-2	99.06941702063837													-2	127.23645078908322	-2	121.821376656269																																																																
2	uae	yae	2	4	2	4			-2	183.113496909256	-2	113.29461576709724	-2	117.43452114528901							2	114.82106541157162																													-2	169.89011105358153	-2	129.66454993280394													-2	150.45476856346437	-2	97.06941702063837													-2	125.23645078908322	-2	119.821376656269																																																											2	154.54876988479404			2	127.61180404678858
3	ouu	Ouu	2	6	2	6	-2	106.71874126761102	-2	181.113496909256	-2	111.29461576709724	-2	115.43452114528901					2	131.6573601020741	2	116.82106541157162													-2	117.98148514980689	-2	183.5712879954583													-2	167.89011105358153	-2	127.66454993280394													-2	148.45476856346437	-2	95.06941702063837													-2	123.23645078908322	-2	117.821376656269																																																																
4	ueO	ueo			2	8	2	108.71874126761102	2	183.113496909256	2	113.29461576709724	2	117.43452114528901					-2	129.6573601020741	-2	114.82106541157162																																									-2	182.6595281345777	-2	194.8652820786399	-2	146.45476856346437	-2	93.06941702063837									-2	140.38461451451394	-2	125.31987378680378	-2	121.23645078908322	-2	115.821376656269																																																			2	178.11451125905015			2	141.7805730994952								
6	uoo	yoo	2	8	2	10			-2	181.113496909256	-2	111.29461576709724	-2	115.43452114528901							2	116.82106541157162																									-2	134.01569846699468	-2	143.01850658530853	-2	165.89011105358153	-2	125.66454993280394									-2	180.6595281345777	-2	192.8652820786399	-2	144.45476856346437	-2	91.06941702063837									-2	138.38461451451394	-2	123.31987378680378	-2	119.23645078908322	-2	113.821376656269																																																																
7	oia	Oia	2	10	2	12	-2	106.71874126761102	-2	179.113496909256	-2	109.29461576709724	-2	113.43452114528901					2	131.6573601020741	2	118.82106541157162															-2	181.5712879954583															-2	123.66454993280394															-2	89.06941702063837																																																													2	176.62059058414553	2	110.87431025475792													2	170.3141663611468	2	129.61180404678856
8	aii	Aii	2	12	2	14			-2	177.113496909256	-2	107.29461576709724	-2	111.43452114528901							2	120.82106541157162																																																																																																																													2	172.3141663611468	2	131.61180404678856
10	eei	Eei	2	14	2	16					2	109.29461576709724	2	113.43452114528901			-2	192.511567322598	-2	129.6573601020741	-2	118.82106541157162																																																																																									-2	169.19361617449886	-2	163.29160637694827	-2	119.12342875754382	-2	153.51791098477992									-2	178.1273076835867	-2	102.92160291276244	-2	174.62059058414553	-2	108.87431025475792									-2	128.17027247603437	-2	152.54876988479404	-2	170.3141663611468	-2	129.61180404678856
12	OOe	Ooe			2	18	2	108.71874126761102	2	179.113496909256	2	111.29461576709724	2	115.43452114528901					-2	127.65736010207411	-2	116.82106541157162									-2	124.81273601819676	-2	127.99206770422782	-2	115.98148514980689	-2	179.5712879954583									-2	132.01569846699468	-2	141.01850658530853	-2	163.89011105358153	-2	121.66454993280394									-2	178.6595281345777	-2	190.8652820786399	-2	142.45476856346437	-2	87.06941702063837									-2	136.38461451451394	-2	121.31987378680378	-2	117.23645078908322	-2	111.821376656269																																									-2	176.1273076835867	-2	100.92160291276244	-2	172.62059058414553	-2	106.87431025475792									-2	126.17027247603437	-2	150.54876988479404	-2	168.3141663611468	-2	127.61180404678856
13	aea	Aea	2	16	2	20			-2	177.113496909256	-2	109.29461576709724	-2	113.43452114528901							2	118.82106541157162																															-2	119.66454993280394																																																																																									2	128.17027247603437	2	152.54876988479404	2	170.3141663611468	2	129.61180404678856
14	uea	yea	2	18	2	22			-2	175.113496909256	-2	107.29461576709724	-2	111.43452114528901							2	120.82106541157162																															-2	117.66454993280394																																																																																									2	130.17027247603437	2	154.54876988479404	2	172.3141663611468	2	131.61180404678856
15	aau	Aau	2	20	2	24			-2	173.113496909256	-2	105.29461576709724	-2	109.43452114528901							2	122.82106541157162																													-2	161.89011105358153	-2	115.66454993280394													-2	140.45476856346437	-2	85.06941702063837													-2	115.23645078908322	-2	109.821376656269																																																																
16	aou	Aou	2	22	2	26			-2	171.113496909256	-2	103.29461576709724	-2	107.43452114528901							2	124.82106541157162																									-2	130.01569846699468	-2	139.01850658530853	-2	159.89011105358153	-2	113.66454993280394									-2	176.6595281345777	-2	188.8652820786399	-2	138.45476856346437	-2	83.06941702063837									-2	134.38461451451394	-2	119.31987378680378	-2	113.23645078908322	-2	107.821376656269																																																																
