trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		170.69163929281615		196.03677017034022		100.99879329915741		105.37968743393802		110.17029684237099		155.6218051491334		133.21684621397733		169.04538647977233		188.66665862422354		189.85540386165687		123.99924991520595		167.2551198041611		103.97538922317108		111.8885611535337		176.4543819891314		114.80025435153873		180.80921547816314		143.80433711524188		180.84713395215937		182.9238547465572		170.9661502471786		183.31404141007442		191.82764555919525		104.68000552032028		189.232165016416		154.66198175567405		116.39137928179106		130.8418523585613		170.3212302544585		185.38035158670772		157.12293227015402		189.25402305916845		194.37661064922315		176.70106878578048		123.61088214520458		153.63934141921135		180.50481217339967		195.86173477586715		128.98305829309547		140.48567497303372		145.41811465858368		107.38352777903201		181.9434369245808		168.674182632316		127.11712342433346		139.0243716336176		153.44114508981423		151.74715499909897		135.51179619388057		120.4976428509624		167.31667959627396		111.34526024712328		163.7254092782779		166.43790785769767		155.0800799977305		176.63871775126972		185.79276072394896		158.72077489074533		194.82638144228582		105.91492634995359		158.21035111470582		187.29434281441172		156.89405685211892		158.3686513738656		178.53694435007895		113.6334322650007		105.88026528084119		141.95498700230274		162.05877959864495		144.69098010125066		175.30083702268044		103.43814981189429
2	IEo	iEo	2	2	0	0							-2	103.37968743393802	2	112.17029684237099	2	157.6218051491334	2	135.21684621397733	2	171.04538647977233																																																					-2	121.61088214520458	-2	151.63934141921135	-2	178.50481217339967	-2	193.86173477586715	-2	126.98305829309547	-2	138.48567497303372																																																																
4	uEI	yei	2	4	0	0			-2	194.03677017034022	-2	98.99879329915741	-2	101.37968743393802	2	114.17029684237099	2	159.6218051491334	2	137.21684621397733	2	173.04538647977233																																																																																																																																
7	IuE	iuE	2	6	0	0							-2	99.37968743393802	2	116.17029684237099	2	161.6218051491334	2	139.21684621397733	2	175.04538647977233																																																							-2	149.63934141921135			-2	191.86173477586715	-2	124.98305829309547	-2	136.48567497303372																																																																
9	aEu	Aey	2	8	0	0			-2	192.03677017034022	-2	96.99879329915741	-2	97.37968743393802			2	163.6218051491334	2	141.21684621397733	2	177.04538647977233																																																																																																																																
11	ouE	Oye	2	10	0	0	-2	168.69163929281615	-2	190.03677017034022	-2	94.99879329915741	-2	95.37968743393802			2	165.6218051491334	2	143.21684621397733	2	179.04538647977233																																																																																																																																
12	aiu	Aiy	2	12	0	0			-2	188.03677017034022	-2	92.99879329915741	-2	93.37968743393802							2	181.04538647977233																																																													2	126.98305829309547	2	138.48567497303372																																																													2	177.30083702268044	2	105.43814981189429
13	aaI	AAi	2	14	0	0			-2	186.03677017034022	-2	90.99879329915741	-2	91.37968743393802	2	118.17029684237099	2	167.6218051491334	2	145.21684621397733	2	183.04538647977233																																																																																																																																
16	aaa	AAA	2	16	0	0			-2	184.03677017034022	-2	88.99879329915741	-2	89.37968743393802							2	185.04538647977233																																																																																																																																
18	iei	iEi			2	2					2	90.99879329915741	2	91.37968743393802			-2	165.6218051491334	-2	143.21684621397733	-2	183.04538647977233																																																					-2	119.61088214520458	-2	147.63934141921135	-2	176.50481217339967	-2	189.86173477586715	-2	124.98305829309547	-2	136.48567497303372																													-2	153.0800799977305	-2	174.63871775126972													-2	154.89405685211892	-2	156.3686513738656													-2	175.30083702268044	-2	103.43814981189429
19	aoi	AOi	2	18	0	2	-2	166.69163929281615	-2	182.03677017034022	-2	88.99879329915741	-2	89.37968743393802					2	145.21684621397733	2	185.04538647977233																																																																																																													2	156.89405685211892	2	158.3686513738656													2	177.30083702268044	2	105.43814981189429
22	uuu	yyy	2	20	0	2			-2	180.03677017034022	-2	86.99879329915741	-2	87.37968743393802							2	187.04538647977233																																																																																																																																
24	Ai	ai	2	22	0	2			2	182.03677017034022	2	88.99879329915741	2	89.37968743393802							-2	185.04538647977233																																																																																																																													-2	175.30083702268044	-2	103.43814981189429
26	OOi	ooi	2	24	0	2	2	168.69163929281615	2	184.03677017034022	2	90.99879329915741	2	91.37968743393802					-2	143.21684621397733	-2	183.04538647977233																																																																																																													-2	154.89405685211892	-2	156.3686513738656													-2	173.30083702268044	-2	101.43814981189429
27	aIo	AiO	2	26	0	2	-2	166.69163929281615	-2	182.03677017034022	-2	88.99879329915741	-2	89.37968743393802	2	120.17029684237099	2	167.6218051491334	2	145.21684621397733	2	185.04538647977233																																																																																																																																
