trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		190.66021297338665		130.40798368380732		198.4710660010403		128.39709162886842		138.07127046985863		180.8217998084272		102.53666480231432		107.85154745022137		136.88715483097857		104.35893813878442		133.88783098483987		195.2531587059072		165.52447263712816		146.74772373576565		176.25433339491946		185.59684226316068		116.28956929784601		133.46570054473		147.363958538975		115.7078569107374		199.74911889277627		140.80090907891218		196.02680953116808		176.93619021902083		192.57470629997806		109.23612370311855		101.00768289596283		169.38439597216345		177.26657968678182		155.84162225530793		148.64665706157373		125.17280769440426		114.17845193641261		117.32449585314417		176.90748905538942		152.2050561152392		143.72874843987094		166.34119846287854		177.8781327648624		163.60771321309284		167.72099230962505		173.71401685588097		172.6634701149041		109.43197241542372		191.79319288266794		162.05241726870221		159.40015210373076		122.55928345430429		186.35840201653676		199.95498078334856		134.57327970286082		137.20806064011515		199.9396949977195		174.67852199988818		179.9169998858743		109.3819658692146		146.33378416047208		103.31052402333226		188.17661505734287		170.17977687624636		189.12446110424185		113.0392620796826		143.58259117244378		184.30854507652356		116.70756290152997		178.49852120855664		134.92740689203114		113.1841672472871		127.8347818913797		172.81964662610403		134.4847145793741		159.1070423793894
0	Apriori	Id(Bk)Syl1>>Id(Bk)	40	40																																																																																																																																																		
2	ouu	Oyy	2	42	0	0	-2	188.66021297338665	-2	128.40798368380732	-2	196.4710660010403	-2	126.39709162886842					2	104.53666480231432	2	109.85154745022137																																																																																																																																
4	aou	AOy	2	44	0	0	-2	186.66021297338665	-2	126.40798368380732	-2	194.4710660010403	-2	124.39709162886842					2	106.53666480231432	2	111.85154745022137																																																																																																																																
5	Ei	ei	2	46	0	0					-2	192.4710660010403	-2	122.39709162886842			2	182.8217998084272	2	108.53666480231432	2	113.85154745022137																																																																																													2	181.9169998858743	2	111.3819658692146													2	145.58259117244378	2	186.30854507652356													2	136.4847145793741	2	161.1070423793894
7	iou	Iou	2	48	0	0							2	124.39709162886842	-2	136.07127046985863	-2	180.8217998084272	-2	106.53666480231432	-2	111.85154745022137																																																									2	145.72874843987094	2	168.34119846287854	2	179.8781327648624	2	165.60771321309284																																																																
8	uoa	yOA	2	50	0	0	-2	184.66021297338665	-2	124.40798368380732	-2	190.4710660010403	-2	122.39709162886842					2	108.53666480231432	2	113.85154745022137																																																																																																																																
9	oIa	OiA	2	52	0	0	-2	182.66021297338665	-2	122.40798368380732	-2	188.4710660010403	-2	120.39709162886842	2	138.07127046985863	2	182.8217998084272	2	110.53666480231432	2	115.85154745022137																																																																																																																																
10	iEa	IEa	2	54	0	0							2	122.39709162886842	-2	136.07127046985863	-2	180.8217998084272	-2	108.53666480231432	-2	113.85154745022137																																																					2	178.90748905538942	2	154.2050561152392	2	147.72874843987094	2	170.34119846287854	2	181.8781327648624	2	167.60771321309284																																																																
11	aii	Aii	2	56	0	0			-2	120.40798368380732	-2	186.4710660010403	-2	120.39709162886842							2	115.85154745022137																																																																																																																													2	138.4847145793741	2	163.1070423793894
