trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		189.52091705731294		180.25984612584932		150.58737672177537		184.64808179096835		171.32556217685257		164.12428857459335		167.19500197243957		168.98467659300826		156.80683812409194		169.06030802402367		171.516829737347		162.94984297775787		168.47026128618506		195.07086407478948		186.72725692938508		171.69750481092063		185.63764964488513		187.26303704633676		178.2923242177554		150.00973884069123		163.25588629118374		152.82450377244737		184.06922248810196		188.5255201288553		157.1710246154206		174.06244574802636		186.19646965284701		159.7919051457335		177.3078207614007		191.47440631313793		173.3239361786482		164.77389835444893		167.00400058417483		172.7786623787864		158.9634552137541		190.79899039182993		159.5746072424012		157.01937401032416		163.7649598822859		162.22151344124362		177.8652643261425		161.69037919865622		171.2256508575155		157.2548200095566		187.61904120728963		155.05669556640518		199.34243244092107		189.37884877776338		183.22123704456524		194.37099650604497		192.49248612168157		157.2141772962065		189.15629845843202		180.85010280996127		171.86191001883483		164.86101001945804		170.8533596625648		186.21598267948616		172.91176562658475		174.98115944860663		183.62099023893646		161.48321327125691		192.34018284431636		197.51157595375264		195.32325994877513		192.10561668919922		172.23816099133182		191.05866154528402		195.29510617562374		179.05549566167977		193.37309406197755		188.85719018215391
2	IIa	iiA	2	2	2	2			-2	178.25984612584932	-2	148.58737672177537	-2	182.64808179096835	2	173.32556217685257	2	166.12428857459335	2	169.19500197243957	2	170.98467659300826																																																																																																																																
4	IEI	iEi	2	4	2	4							-2	180.64808179096835	2	175.32556217685257	2	168.12428857459335	2	171.19500197243957	2	172.98467659300826																																																					-2	156.9634552137541	-2	188.79899039182993	-2	157.5746072424012	-2	155.01937401032416	-2	161.7649598822859	-2	160.22151344124362																													-2	169.86191001883483	-2	162.86101001945804													-2	190.34018284431636	-2	195.51157595375264													-2	191.37309406197755	-2	186.85719018215391
5	uoI	yOi	2	6	2	6	-2	187.52091705731294	-2	176.25984612584932	-2	146.58737672177537	-2	178.64808179096835	2	177.32556217685257	2	170.12428857459335	2	173.19500197243957	2	174.98467659300826																																																																																																																																
8	oIo	oio			2	8							-2	176.64808179096835	2	179.32556217685257	2	172.12428857459335	2	175.19500197243957	2	176.98467659300826																																																									-2	155.5746072424012	-2	153.01937401032416	-2	159.7649598822859	-2	158.22151344124362																																													-2	188.34018284431636	-2	193.51157595375264													-2	189.37309406197755	-2	184.85719018215391
10	iii	Iii	2	8	2	10							2	178.64808179096835	-2	177.32556217685257	-2	170.12428857459335	-2	173.19500197243957	-2	174.98467659300826																																																																													-2	197.34243244092107	-2	187.37884877776338													-2	167.86191001883483	-2	160.86101001945804													-2	186.34018284431636	-2	191.51157595375264													-2	187.37309406197755	-2	182.85719018215391
11	Iuu	iuu	2	10	2	12							-2	176.64808179096835	2	179.32556217685257	2	172.12428857459335	2	175.19500197243957	2	176.98467659300826																																																													-2	157.7649598822859	-2	156.22151344124362																																																																
12	EEa	eeA	2	12	2	14			-2	174.25984612584932	-2	144.58737672177537	-2	174.64808179096835			2	174.12428857459335	2	177.19500197243957	2	178.98467659300826																																																																																																																																
13	iy	iu			2	16			2	176.25984612584932	2	146.58737672177537	2	176.64808179096835							-2	176.98467659300826																																																													-2	155.7649598822859	-2	154.22151344124362																																																																
14	uao	yAO	2	14	2	18	-2	185.52091705731294	-2	174.25984612584932	-2	144.58737672177537	-2	174.64808179096835					2	179.19500197243957	2	178.98467659300826																																																																																																																																
15	eii	Eii	2	16	2	20					2	146.58737672177537	2	176.64808179096835			-2	172.12428857459335	-2	177.19500197243957	-2	176.98467659300826																																																																																													-2	165.86191001883483	-2	158.86101001945804													-2	184.34018284431636	-2	189.51157595375264													-2	185.37309406197755	-2	180.85719018215391
16	auu	Ayy	2	18	2	22			-2	172.25984612584932	-2	144.58737672177537	-2	174.64808179096835							2	178.98467659300826																																																																																																																																
17	eii	Eii	2	20	2	24					2	146.58737672177537	2	176.64808179096835			-2	170.12428857459335	-2	175.19500197243957	-2	176.98467659300826																																																																																													-2	163.86191001883483	-2	156.86101001945804													-2	182.34018284431636	-2	187.51157595375264													-2	183.37309406197755	-2	178.85719018215391
18	oE	Oe	2	22	2	26	-2	183.52091705731294	-2	170.25984612584932	-2	144.58737672177537	-2	174.64808179096835			2	172.12428857459335	2	177.19500197243957	2	178.98467659300826																																																																																																																																
22	eA	Ea	2	24	2	28			2	172.25984612584932	2	146.58737672177537	2	176.64808179096835			-2	170.12428857459335	-2	175.19500197243957	-2	176.98467659300826																																																																																																																																
