trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		175.10174029690057		179.25978586378815		197.92544826247763		194.70659730378924		194.33476021949582		192.87384783376518		170.36885864186652		162.39525125600915		163.73249093902953		178.5844347222141		170.29828421580703		154.4838782554814		177.21309490292722		157.81813082855288		171.11635885013598		176.9962276155684		167.90172366656702		179.96765429812697		163.69346836725958		160.9907216330569		186.69708741164658		166.8262701877838		167.2938646337597		193.2898336424945		198.2206760544765		167.05525884477515		178.53969128164061		179.82768707897952		157.30895943607948		165.30975670993874		172.20148284179874		174.08043410432307		187.68307420842348		157.6050523977133		190.05673750739177		181.69748135797312		183.20034965328512		194.92861364161496		195.09407470283315		181.83881087211253		172.48767765659065		171.7621076221961		169.07819929853792		169.45087273410007		174.55554724075364		177.9218405306136		177.6322978289623		157.26179176439945		156.56770267549243		192.21197719448062		185.21039053591744		180.60921488375797		197.16316783930893		184.6690147977996		166.5283440567846		181.95596009052502		176.62316773703583		167.15645657008875		152.45061796284807		180.32496468600527		198.90779123738247		193.45361691460786		159.78296922101356		183.4837040204166		180.02486406915122		188.6776885057056		198.55911009090886		168.5896088854597		188.28343693349944		181.92051371248726		199.62722516899214		187.91452194899685
2	ua	yA	2	2	0	0			-2	177.25978586378815	-2	195.92544826247763	-2	192.70659730378924							2	164.39525125600915																																																																																																																																
3	iOA	ioa			2	2	2	177.10174029690057	2	179.25978586378815	2	197.92544826247763	2	194.70659730378924					-2	168.36885864186652	-2	162.39525125600915																																																									-2	181.20034965328512	-2	192.92861364161496	-2	193.09407470283315	-2	179.83881087211253																																																																
4	EIE	eie	2	4	0	2					-2	195.92544826247763	-2	192.70659730378924	2	196.33476021949582	2	194.87384783376518	2	170.36885864186652	2	164.39525125600915																																																																																																																																
5	EaI	eai	2	6	0	2					-2	193.92544826247763	-2	190.70659730378924	2	198.33476021949582	2	196.87384783376518	2	172.36885864186652	2	166.39525125600915																																													-2	170.20148284179874	-2	172.08043410432307													-2	191.09407470283315	-2	177.83881087211253																																																													-2	197.62722516899214	-2	185.91452194899685
6	Oea	oea	2	8	0	2	2	179.10174029690057	2	181.25978586378815	2	195.92544826247763	2	192.70659730378924					-2	170.36885864186652	-2	164.39525125600915															2	178.9962276155684															2	195.2898336424945																																																																									-2	196.90779123738247	-2	191.45361691460786	-2	157.78296922101356	-2	181.4837040204166									-2	186.28343693349944	-2	179.92051371248726	-2	195.62722516899214	-2	183.91452194899685
9	eio	eiO			2	4	-2	177.10174029690057	-2	179.25978586378815	-2	193.92544826247763	-2	190.70659730378924					2	172.36885864186652	2	166.39525125600915																																											2	167.30975670993874			2	174.08043410432307									2	183.20034965328512	2	194.92861364161496	2	193.09407470283315	2	179.83881087211253																																																																
10	EE	ee	2	10	0	4					-2	191.92544826247763	-2	188.70659730378924			2	198.87384783376518	2	174.36885864186652	2	168.39525125600915																																																																																																																																
11	aeA	AeA	2	12	0	4			-2	177.25978586378815	-2	189.92544826247763	-2	186.70659730378924							2	170.39525125600915																																																																																																																							2	170.5896088854597	2	188.28343693349944	2	181.92051371248726	2	197.62722516899214	2	185.91452194899685
12	yiA	uia	2	14	0	4			2	179.25978586378815	2	191.92544826247763	2	188.70659730378924							-2	168.39525125600915																																																													-2	191.09407470283315	-2	177.83881087211253																																																													-2	195.62722516899214	-2	183.91452194899685
