trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		182.58439507766929		156.95369042327363		181.65538485670513		183.21061276737674		151.79963864972223		156.4795624473776		152.2834969073934		178.49546904747916		176.7285691961456		189.79718515434038		151.28788110343453		160.71547720037688		155.29837730304544		156.2381734030077		187.84984707546647		160.49365486869033		183.04972505735293		163.5330721391386		189.2039157300335		189.14767488763937		153.4968113441444		159.02878073581698		194.54491685865827		180.2975843380506		155.67117963613262		157.2936034412461		187.9253219453936		195.91046554723687		176.05768533435514		151.68374006053523		153.07605729229635		173.545034841444		165.3595074460614		168.5134993702494		188.1355957795077		168.53798459597078		175.80811729941047		199.33914440792995		192.36094532350427		195.41427545749403		166.46639271301584		163.76078418828385		191.45554286612827		153.00066177025863		190.41642868350954		170.72311187018875		190.58509231607403		189.72788258812474		199.7056051219478		199.17294936273655		164.84448405470374		152.50632236615382		179.15600525049535		158.7453193805354		164.5325871826571		153.47802044926036		175.9166922750533		182.2586291644994		170.23325822748495		162.02002757911922		158.4873544525396		178.748536656836		171.42000843559822		181.55112264209498		159.7739870961035		194.44079961989922		172.78380058274197		194.92787299561647		153.96562472005246		156.4145907377821		173.56907262340152		168.5140844756601
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	aaI	Aai	1.375	21.375	0	0			-2	154.95369042327363	-2	179.65538485670513	-2	181.21061276737674	1.375	153.17463864972223	1.375	157.8545624473776	1.375	153.6584969073934	1.375	179.87046904747916																													-2	192.54491685865827	-2	178.2975843380506													-2	151.07605729229635	-2	171.545034841444													-2	190.36094532350427	-2	193.41427545749403																																																													-2	171.56907262340152	-2	166.5140844756601
3	uIE	yie	0.75	22.125	0	0			-2	152.95369042327363	-2	177.65538485670513	-2	179.21061276737674	0.75	153.92463864972223	0.75	158.6045624473776	0.75	154.4084969073934	0.75	180.62046904747916																																																																																																																																
4	IIo	iio	1.0	23.125	0	0							-2	177.21061276737674	1.0	154.92463864972223	1.0	159.6045624473776	1.0	155.4084969073934	1.0	181.62046904747916																																																									-2	173.80811729941047	-2	197.33914440792995	-2	188.36094532350427	-2	191.41427545749403																																																																
5	yOi	uoi	1.0909090909090908	24.21590909090909	0	0	1.0909090909090908	183.67530416857838	1.0909090909090908	154.04459951418272	1.0909090909090908	178.74629394761422	1.0909090909090908	178.30152185828584					-2	153.4084969073934	-2	179.62046904747916																																																																																																													-2	169.42000843559822	-2	179.55112264209498													-2	169.56907262340152	-2	164.5140844756601
6	EIa	eia	1.0	25.21590909090909	0	0					-2	176.74629394761422	-2	176.30152185828584	1.0	155.92463864972223	1.0	160.6045624473776	1.0	154.4084969073934	1.0	180.62046904747916																																															-2	169.545034841444													-2	186.36094532350427	-2	189.41427545749403																																																																
7	yAA	yaa			1.2727272727272727	1.2727272727272727			1.2727272727272727	155.31732678691	1.2727272727272727	178.0190212203415	1.2727272727272727	177.57424913101312							-2	178.62046904747916																													-2	190.54491685865827	-2	176.2975843380506													-2	149.07605729229635	-2	167.545034841444													-2	184.36094532350427	-2	187.41427545749403																																																																
8	EI	Ei			1.1666666666666667	2.4393939393939394							-2	175.57424913101312	1.1666666666666667	157.09130531638888	1.1666666666666667	161.77122911404425	1.1666666666666667	155.57516357406007	1.1666666666666667	179.78713571414582																																																																																													-2	162.5325871826571	-2	151.47802044926036													-2	167.42000843559822	-2	177.55112264209498													-2	167.56907262340152	-2	162.5140844756601
9	oo	Oo	1.7391304347826086	26.9550395256917	0	2.4393939393939394	-2	181.67530416857838	-2	153.31732678691	-2	176.0190212203415	-2	173.57424913101312					1.7391304347826086	157.31429400884267	1.7391304347826086	181.5262661489284									-2	153.29837730304544	-2	154.2381734030077	-2	185.84984707546647	-2	158.49365486869033									-2	151.4968113441444	-2	157.02878073581698	-2	188.54491685865827	-2	174.2975843380506									-2	174.05768533435514	-2	149.68374006053523	-2	147.07605729229635	-2	165.545034841444									-2	171.80811729941047	-2	195.33914440792995	-2	182.36094532350427	-2	185.41427545749403																																																																
