trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		202.62092293103603		197.81434482849636		247.35096860679616		219.86052218027754		189.15562182643896		242.70712993093142		159.94098724034768		214.6787578614444		173.28396525228703		177.45600304113242		213.26165277273702		173.33370865428515		168.39731842915666		178.9680586105133		161.26901983298322		218.43468950241163		193.6626256563619		248.33971922924707		197.7514005854941		243.65763091154463		161.0637425961527		210.47559275492307		164.66673651235817		212.6848092554185		242.6320684690213		234.05799029812994		236.8413580941002		239.57908778282007		181.35821296508658		162.3309920378571		182.34753139433994		157.98187449573862		163.9383780511855		230.73414748733921		180.44689953412313		235.01803760620908		161.60920033850005		207.5990163062864		240.78224308715863		165.40710311284988		179.11280655684408		219.44827488150102		233.95913952501314		159.01987931659184		180.22686105675191		221.69084514612433		242.2533111795608		195.5843398023298		195.5663749510748		171.30880491245526		245.88677826808802		220.16084343494		243.20309174551818		217.7757294536481		181.90343826768708		159.1500585330786		244.7320058305976		151.21107815754578		215.55051774861087		179.59497432487075		154.30808479063393		158.13380146211753		164.4991919019816		169.70713119152225		221.10135193205798		150.36993949854335		187.4030759746696		185.82126567790925		234.66102462362807		208.93355692235045		213.92303902306895		236.6292028030428
0	Apriori	Id(Bk)Syl1>>Id(Bk)	10	10																																																																																																																																																		
1	oou	Oou	0.4	10.4	0.4	0.4	-2	200.62092293103603	-2	195.81434482849636	-2	245.35096860679616	-2	217.86052218027754					0.4	160.3409872403477	0.4	215.07875786144442									-2	166.39731842915666	-2	176.9680586105133	-2	159.26901983298322	-2	216.43468950241163									-2	159.0637425961527	-2	208.47559275492307	-2	162.66673651235817	-2	210.6848092554185									-2	179.35821296508658	-2	160.3309920378571	-2	180.34753139433994	-2	155.98187449573862									-2	159.60920033850005	-2	205.5990163062864	-2	238.78224308715863	-2	163.40710311284988																																																																
2	oa	Oa	0.4	10.8	0.4	0.8	-2	198.62092293103603	-2	193.81434482849636	-2	243.35096860679616	-2	215.86052218027754					0.4	160.7409872403477	0.4	215.47875786144442													-2	157.26901983298322	-2	214.43468950241163													-2	160.66673651235817	-2	208.6848092554185													-2	178.34753139433994	-2	153.98187449573862													-2	236.78224308715863	-2	161.40710311284988																																																																
6	oua	Oua	0.4	11.200000000000001	0.4	1.2000000000000002	-2	196.62092293103603	-2	191.81434482849636	-2	241.35096860679616	-2	213.86052218027754					0.4	161.1409872403477	0.4	215.87875786144443													-2	155.26901983298322	-2	212.43468950241163													-2	158.66673651235817	-2	206.6848092554185													-2	176.34753139433994	-2	151.98187449573862													-2	234.78224308715863	-2	159.40710311284988																																																																
7	Eiu	eiu	0.16666666666666666	11.366666666666667	0.16666666666666666	1.366666666666667					-2	239.35096860679616	-2	211.86052218027754			0.16666666666666666	242.87379659759807	0.16666666666666666	161.30765390701436	0.16666666666666666	216.04542452811108																																															-2	149.98187449573862																																													0.16666666666666666	182.07010493435374	0.16666666666666666	159.31672519974526													0.16666666666666666	164.66585856864825	0.16666666666666666	169.8737978581889													0.16666666666666666	214.0897056897356	0.16666666666666666	236.79586946970946
9	aai	Aai	0.4	11.766666666666667	0.4	1.766666666666667			-2	189.81434482849636	-2	237.35096860679616	-2	209.86052218027754							0.4	216.4454245281111																													-2	156.66673651235817	-2	204.6848092554185													-2	174.34753139433994	-2	147.98187449573862													-2	232.78224308715863	-2	157.40710311284988																																																															0.4	237.19586946970946
12	aua	Aua	0.5	12.266666666666667	0.5	2.266666666666667			-2	187.81434482849636	-2	235.35096860679616	-2	207.86052218027754							0.5	216.9454245281111																													-2	154.66673651235817	-2	202.6848092554185													-2	172.34753139433994	-2	145.98187449573862													-2	230.78224308715863	-2	155.40710311284988																																																																
17	iAA	iaa			0.4	2.666666666666667			0.4	188.21434482849637	0.4	235.75096860679616	0.4	208.26052218027755							-2	214.9454245281111																																																													-2	228.78224308715863	-2	153.40710311284988																																																																
17	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000036	12.666666666666668																																																																																																																																																			
19	AAi	aai	0.3333333333333333	13.000000000000002	0.3333333333333333	3.0000000000000004			0.3333333333333333	188.5476781618297	0.3333333333333333	236.0843019401295	0.3333333333333333	208.5938555136109							-2	212.9454245281111																																																																																																																													-2	212.0897056897356	-2	235.19586946970946
20	oii	Oii	0.2222222222222222	13.222222222222223	0.2222222222222222	3.2222222222222228	-2	194.62092293103603	-2	186.5476781618297	-2	234.0843019401295	-2	206.5938555136109					0.2222222222222222	161.52987612923658	0.2222222222222222	213.16764675033332																																																																																																													0.2222222222222222	164.88808079087048	0.2222222222222222	170.09602008041114													0.2222222222222222	212.31192791195784	0.2222222222222222	235.4180916919317
21	euo	Euo	0.18181818181818182	13.404040404040405	0.18181818181818182	3.4040404040404044					0.18181818181818182	234.2661201219477	0.18181818181818182	206.77567369542908			-2	240.87379659759807	-2	159.52987612923658	-2	211.16764675033332																																											0.18181818181818182	160.5128102196753	0.18181818181818182	172.52934957615813	0.18181818181818182	146.1636926775568											0.18181818181818182	205.78083448810457	0.18181818181818182	228.96406126897682	0.18181818181818182	153.58892129466807																																																																
25	Oia	oia	0.2	13.604040404040404	0.2	3.6040404040404046	0.2	194.82092293103602	0.2	186.7476781618297	0.2	234.46612012194768	0.2	206.97567369542907					-2	157.52987612923658	-2	209.16764675033332															0.2	212.63468950241162															0.2	202.88480925541847															0.2	146.3636926775568																																																													-2	162.88808079087048	-2	168.09602008041114													-2	210.31192791195784	-2	233.4180916919317
27	au	Au	0.5	14.104040404040404	0.5	4.104040404040404			-2	184.7476781618297	-2	232.46612012194768	-2	204.97567369542907							0.5	209.66764675033332																													-2	152.66673651235817	-2	200.88480925541847													-2	170.52934957615813	-2	144.3636926775568													-2	226.96406126897682	-2	151.58892129466807																																																																
29	au	Au	0.5	14.604040404040404	0.5	4.604040404040404			-2	182.7476781618297	-2	230.46612012194768	-2	202.97567369542907							0.5	210.16764675033332																													-2	150.66673651235817	-2	198.88480925541847													-2	168.52934957615813	-2	142.3636926775568													-2	224.96406126897682	-2	149.58892129466807																																																																
30	ooo	Ooo	0.4	15.004040404040405	0.4	5.0040404040404045	-2	192.82092293103602	-2	180.7476781618297	-2	228.46612012194768	-2	200.97567369542907					0.4	157.9298761292366	0.4	210.56764675033332									-2	164.39731842915666	-2	174.9680586105133	-2	153.26901983298322	-2	210.63468950241162									-2	157.0637425961527	-2	206.47559275492307	-2	148.66673651235817	-2	196.88480925541847									-2	177.35821296508658	-2	158.5128102196753	-2	166.52934957615813	-2	140.3636926775568									-2	157.60920033850005	-2	203.78083448810457	-2	222.96406126897682	-2	147.58892129466807																																																																
33	Oyi	Oui			0.4	5.404040404040405			0.4	181.1476781618297	0.4	228.8661201219477	0.4	201.37567369542907							-2	208.56764675033332													-2	151.26901983298322	-2	208.63468950241162													-2	146.66673651235817	-2	194.88480925541847													-2	164.52934957615813	-2	138.3636926775568													-2	220.96406126897682	-2	145.58892129466807																																																													-2	208.31192791195784	-2	231.4180916919317
33	Apriori	Id(Bk)Syl1>>Id(Bk)	0.40000000000000036	15.404040404040405																																																																																																																																																			
36	Aia	aia	0.25	15.654040404040405	0.25	5.654040404040405			0.25	181.3976781618297	0.25	229.1161201219477	0.25	201.62567369542907							-2	206.56764675033332																															0.25	195.13480925541847															0.25	138.6136926775568																																																																													-2	206.31192791195784	-2	229.4180916919317
37	uou	you	0.5	16.154040404040405	0.5	6.154040404040405			-2	179.3976781618297	-2	227.1161201219477	-2	199.62567369542907							0.5	207.06764675033332																									-2	155.0637425961527	-2	204.47559275492307	-2	144.66673651235817	-2	193.13480925541847									-2	175.35821296508658	-2	156.5128102196753	-2	162.52934957615813	-2	136.6136926775568									-2	155.60920033850005	-2	201.78083448810457	-2	218.96406126897682	-2	143.58892129466807																																																																
38	Oea	oea	0.2222222222222222	16.376262626262626	0.2222222222222222	6.376262626262627	0.2222222222222222	193.04314515325825	0.2222222222222222	179.61990038405193	0.2222222222222222	227.33834234416992	0.2222222222222222	199.8478959176513					-2	155.9298761292366	-2	205.06764675033332															0.2222222222222222	208.85691172463385															0.2222222222222222	193.3570314776407																																																																									-2	152.30808479063393	-2	156.13380146211753	-2	160.88808079087048	-2	166.09602008041114									-2	232.66102462362807	-2	206.93355692235045	-2	204.31192791195784	-2	227.4180916919317
40	uuo	yuo	0.5	16.876262626262626	0.5	6.876262626262627			-2	177.61990038405193	-2	225.33834234416992	-2	197.8478959176513							0.5	205.56764675033332																											-2	202.47559275492307	-2	142.66673651235817	-2	191.3570314776407											-2	154.5128102196753	-2	160.52934957615813	-2	134.6136926775568											-2	199.78083448810457	-2	216.96406126897682	-2	141.58892129466807																																																																
42	Aea	aea	0.2857142857142857	17.16197691197691	0.2857142857142857	7.161976911976913			0.2857142857142857	177.9056146697662	0.2857142857142857	225.6240566298842	0.2857142857142857	198.13361020336558							-2	203.56764675033332																															0.2857142857142857	191.64274576335498																																																																																									-2	230.66102462362807	-2	204.93355692235045	-2	202.31192791195784	-2	225.4180916919317
43	eia	Eia	0.3333333333333333	17.495310245310243	0.3333333333333333	7.495310245310246					0.3333333333333333	225.95738996321754	0.3333333333333333	198.46694353669892			-2	238.87379659759807	-2	153.9298761292366	-2	201.56764675033332																																															0.3333333333333333	134.94702601089014																																													-2	180.07010493435374	-2	157.31672519974526													-2	158.88808079087048	-2	164.09602008041114													-2	200.31192791195784	-2	223.4180916919317
44	yOe	yoe			0.3333333333333333	7.828643578643579	0.3333333333333333	193.3764784865916	0.3333333333333333	178.23894800309955	0.3333333333333333	226.29072329655088	0.3333333333333333	198.80027687003226					-2	151.9298761292366	-2	199.56764675033332																									-2	153.0637425961527	-2	200.47559275492307	-2	140.66673651235817	-2	189.64274576335498									-2	173.35821296508658	-2	152.5128102196753	-2	158.52934957615813	-2	132.94702601089014									-2	153.60920033850005	-2	197.78083448810457	-2	214.96406126897682	-2	139.58892129466807																																									-2	150.30808479063393	-2	154.13380146211753	-2	156.88808079087048	-2	162.09602008041114									-2	228.66102462362807	-2	202.93355692235045	-2	198.31192791195784	-2	221.4180916919317
44	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3333333333333357	17.82864357864358																																																																																																																																																			
