trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.12395541529187		228.6743226860745		249.6664088206646		215.1436385801526		234.69183438874862		231.83576628862681		215.24333993775494		244.2348244023708		176.39668349629474		189.30145406466494		227.0569280965517		225.23038778175152		168.62426307748444		238.5468088049563		231.8855098843813		165.42055162122344		168.6288161558332		193.54408696911358		236.67714374264153		161.10890151633944		238.01043332562813		228.16026092437681		241.60549083595055		233.35664252470022		197.97757381486068		203.02488533895735		180.4670127085501		186.0559581530181		217.57910738032524		156.56812050629657		160.4749872400649		179.80008204297133		228.91915337157334		240.2101754997873		200.887648448267		196.83064938129024		228.62470614820126		199.18253426504626		150.6687123140526		245.4671354543537		190.20104363907018		213.68409261662998		174.07530181218368		211.26846738000722		159.28753511745225		166.20408159325225		218.51535387619072		230.47085033571275		228.75388574363177		170.88900757680176		223.8429631102365		187.6209320251585		154.960367031897		248.98491580642357		227.88521022767765		167.73645568261196		180.4145045482016		176.78478101114734		186.28095113532842		187.17131982760804		212.73301983049384		158.17514608479505		214.79780827071397		202.9838607588878		248.98178887676403		237.21375159388225		205.55986791609686		220.0206096289695		225.74267789694872		212.53501263322855		156.9181927187704		173.60062089414492
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	IIu	Iiu			0.3333333333333333	0.3333333333333333							-2	213.1436385801526	0.3333333333333333	235.02516772208196	0.3333333333333333	232.16909962196016	0.3333333333333333	215.57667327108828	0.3333333333333333	244.56815773570415																																																													-2	148.6687123140526	-2	243.4671354543537													-2	216.51535387619072	-2	228.47085033571275													-2	225.88521022767765	-2	165.73645568261196													-2	212.79780827071397	-2	200.9838607588878													-2	154.9181927187704	-2	171.60062089414492
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.33333333333333215	20.333333333333332																																																																																																																																																			
2	Eai	eAi	0.2	20.53333333333333	0.2	0.5333333333333333			-2	226.6743226860745	-2	247.6664088206646	-2	211.1436385801526			0.2	232.36909962196015	0.2	215.77667327108827	0.2	244.76815773570414																																																																																															0.2	165.93645568261195															0.2	201.1838607588878													0.2	155.1181927187704	0.2	171.8006208941449
3	OAe	oaE	0.2857142857142857	20.819047619047616	0.2857142857142857	0.819047619047619	0.2857142857142857	164.40966970100615	0.2857142857142857	226.96003697178878	0.2857142857142857	247.95212310637888	0.2857142857142857	211.4293528658669			-2	230.36909962196015	-2	213.77667327108827	-2	242.76815773570414																																																																																																																																
4	oEa	OeA	0.3333333333333333	21.15238095238095	0.3333333333333333	1.1523809523809523	-2	162.40966970100615	-2	224.96003697178878	-2	245.95212310637888	-2	209.4293528658669			0.3333333333333333	230.7024329552935	0.3333333333333333	214.1100066044216	0.3333333333333333	243.10149106903748																																																																																																																																
5	aai	AAi	0.3333333333333333	21.48571428571428	0.3333333333333333	1.4857142857142855			-2	222.96003697178878	-2	243.95212310637888	-2	207.4293528658669							0.3333333333333333	243.43482440237082																																																																																																																													0.3333333333333333	155.45152605210373	0.3333333333333333	172.13395422747826
6	uu	yy	0.5	21.98571428571428	0.5	1.9857142857142855			-2	220.96003697178878	-2	241.95212310637888	-2	205.4293528658669							0.5	243.93482440237082																																																																																																																																
7	yeA	uEa	0.3333333333333333	22.319047619047613	0.3333333333333333	2.319047619047619			0.3333333333333333	221.29337030512212	0.3333333333333333	242.28545643971222	0.3333333333333333	205.76268619920023			-2	228.7024329552935	-2	212.1100066044216	-2	241.93482440237082																																																																																																																																
10	aai	AAi	0.3333333333333333	22.652380952380945	0.3333333333333333	2.6523809523809523			-2	219.29337030512212	-2	240.28545643971222	-2	203.76268619920023							0.3333333333333333	242.26815773570416																																																																																																																													0.3333333333333333	155.78485938543707	0.3333333333333333	172.4672875608116
11	iyO	iuo			0.3333333333333333	2.9857142857142858	0.3333333333333333	162.7430030343395	0.3333333333333333	219.62670363845547	0.3333333333333333	240.61878977304556	0.3333333333333333	204.09601953253357					-2	210.1100066044216	-2	240.26815773570416																																																											-2	197.18253426504626	-2	146.6687123140526	-2	241.4671354543537																																																																
11	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3333333333333428	22.985714285714288																																																																																																																																																			
13	oIE	Oie	0.2857142857142857	23.271428571428572	0.2857142857142857	3.2714285714285714	-2	160.7430030343395	-2	217.62670363845547	-2	238.61878977304556	-2	202.09601953253357	0.2857142857142857	235.31088200779624	0.2857142857142857	228.98814724100777	0.2857142857142857	210.3957208901359	0.2857142857142857	240.55387202141844																																																																																																																																
14	yy	uu	0.3333333333333333	23.604761904761904	0.3333333333333333	3.604761904761905			0.3333333333333333	217.9600369717888	0.3333333333333333	238.9521231063789	0.3333333333333333	202.42935286586692							-2	238.55387202141844																																																																																																																																
16	Euo	eyO	0.3333333333333333	23.938095238095237	0.3333333333333333	3.9380952380952383	-2	158.7430030343395	-2	215.9600369717888	-2	236.9521231063789	-2	200.42935286586692			0.3333333333333333	229.3214805743411	0.3333333333333333	210.72905422346923	0.3333333333333333	238.88720535475179																																																																																																																																
18	ye	uE	0.3333333333333333	24.27142857142857	0.3333333333333333	4.271428571428571			0.3333333333333333	216.29337030512215	0.3333333333333333	237.28545643971225	0.3333333333333333	200.76268619920026			-2	227.3214805743411	-2	208.72905422346923	-2	236.88720535475179																																																																																																																																
20	aua	AyA	0.5	24.77142857142857	0.5	4.771428571428571			-2	214.29337030512215	-2	235.28545643971225	-2	198.76268619920026							0.5	237.38720535475179																																																																																																																																
22	uoo	yOO	0.4	25.171428571428567	0.4	5.171428571428572	-2	156.7430030343395	-2	212.29337030512215	-2	233.28545643971225	-2	196.76268619920026					0.4	209.12905422346924	0.4	237.7872053547518																																																																																																																																
24	OOi	ooi	0.2857142857142857	25.457142857142852	0.2857142857142857	5.457142857142857	0.2857142857142857	157.02871732005377	0.2857142857142857	212.57908459083643	0.2857142857142857	233.57117072542653	0.2857142857142857	197.04840048491454					-2	207.12905422346924	-2	235.7872053547518																																																																																																													-2	210.79780827071397	-2	199.1838607588878													-2	153.78485938543707	-2	170.4672875608116
27	yyO	uuo	0.2857142857142857	25.742857142857137	0.2857142857142857	5.742857142857143	0.2857142857142857	157.31443160576805	0.2857142857142857	212.8647988765507	0.2857142857142857	233.8568850111408	0.2857142857142857	197.33411477062882					-2	205.12905422346924	-2	233.7872053547518																																																																																																																																
29	au	Ay	0.5	26.242857142857137	0.5	6.242857142857143			-2	210.8647988765507	-2	231.8568850111408	-2	195.33411477062882							0.5	234.2872053547518																																																																																																																																
30	ei	Ei	0.4	26.642857142857135	0.4	6.642857142857143					0.4	232.2568850111408	0.4	195.73411477062882			-2	225.3214805743411	-2	203.12905422346924	-2	232.2872053547518																																																																																													-2	223.88521022767765	-2	163.93645568261195													-2	208.79780827071397	-2	197.1838607588878													-2	151.78485938543707	-2	168.4672875608116
32	yA	ua	0.3333333333333333	26.976190476190467	0.3333333333333333	6.976190476190476			0.3333333333333333	211.19813220988405	0.3333333333333333	232.59021834447415	0.3333333333333333	196.06744810396216							-2	230.2872053547518																																																																																																																																
33	eie	EiE	0.4	27.376190476190466	0.4	7.376190476190477					0.4	232.99021834447416	0.4	196.46744810396217			-2	223.3214805743411	-2	201.12905422346924	-2	228.2872053547518																																																					-2	198.887648448267	-2	194.83064938129024	-2	226.62470614820126	-2	195.18253426504626	-2	144.6687123140526	-2	239.4671354543537																													-2	221.88521022767765	-2	161.93645568261195													-2	206.79780827071397	-2	195.1838607588878													-2	149.78485938543707	-2	166.4672875608116
35	Euu	eyy	0.3333333333333333	27.709523809523798	0.3333333333333333	7.70952380952381			-2	209.19813220988405	-2	230.99021834447416	-2	194.46744810396217			0.3333333333333333	223.65481390767445	0.3333333333333333	201.46238755680258	0.3333333333333333	228.62053868808513																																																																																																																																
36	eie	EiE	0.4	28.109523809523797	0.4	8.10952380952381					0.4	231.39021834447416	0.4	194.86744810396218			-2	221.65481390767445	-2	199.46238755680258	-2	226.62053868808513																																																					-2	196.887648448267	-2	192.83064938129024	-2	224.62470614820126	-2	193.18253426504626	-2	142.6687123140526	-2	237.4671354543537																													-2	219.88521022767765	-2	159.93645568261195													-2	204.79780827071397	-2	193.1838607588878													-2	147.78485938543707	-2	164.4672875608116
37	uai	yAi	0.3333333333333333	28.44285714285713	0.3333333333333333	8.442857142857143			-2	207.19813220988405	-2	229.39021834447416	-2	192.86744810396218							0.3333333333333333	226.95387202141848																																																																																																																													0.3333333333333333	148.11819271877042	0.3333333333333333	164.80062089414494
38	oEo	OeO	0.3333333333333333	28.77619047619046	0.3333333333333333	8.776190476190477	-2	155.31443160576805	-2	205.19813220988405	-2	227.39021834447416	-2	190.86744810396218			0.3333333333333333	221.9881472410078	0.3333333333333333	199.79572089013593	0.3333333333333333	227.28720535475182																																																																																																																																
39	uaE	yAe	0.3333333333333333	29.109523809523793	0.3333333333333333	9.109523809523811			-2	203.19813220988405	-2	225.39021834447416	-2	188.86744810396218			0.3333333333333333	222.32148057434114	0.3333333333333333	200.12905422346927	0.3333333333333333	227.62053868808516																																																																																																																																
40	AAA	aaa	0.3333333333333333	29.442857142857125	0.3333333333333333	9.442857142857145			0.3333333333333333	203.5314655432174	0.3333333333333333	225.7235516778075	0.3333333333333333	189.20078143729552							-2	225.62053868808516																																																																																																																																
42	iiA	iia			0.4	9.842857142857145			0.4	203.9314655432174	0.4	226.1235516778075	0.4	189.60078143729552							-2	223.62053868808516																																																													-2	140.6687123140526	-2	235.4671354543537																																																																
42	Apriori	Id(Bk)Syl1>>Id(Bk)	0.4000000000000199	29.842857142857145																																																																																																																																																			
44	ooa	OOA	0.4	30.242857142857144	0.4	10.242857142857146	-2	153.31443160576805	-2	201.9314655432174	-2	224.1235516778075	-2	187.60078143729552					0.4	200.52905422346927	0.4	224.02053868808517																																																																																																																																
45	eyi	Eui	0.3333333333333333	30.576190476190476	0.3333333333333333	10.57619047619048			0.3333333333333333	202.26479887655074	0.3333333333333333	224.45688501114086	0.3333333333333333	187.93411477062887			-2	220.32148057434114	-2	198.52905422346927	-2	222.02053868808517																																																																																															-2	157.93645568261195															-2	191.1838607588878													-2	146.11819271877042	-2	162.80062089414494
46	OeA	oEa	0.2857142857142857	30.86190476190476	0.2857142857142857	10.861904761904766	0.2857142857142857	153.60014589148233	0.2857142857142857	202.55051316226502	0.2857142857142857	224.74259929685513	0.2857142857142857	188.21982905634314			-2	218.32148057434114	-2	196.52905422346927	-2	220.02053868808517																																																																																																																																
48	iye	IuE	0.3333333333333333	31.195238095238093	0.3333333333333333	11.1952380952381			0.3333333333333333	202.88384649559836	0.3333333333333333	225.07593263018848	0.3333333333333333	188.5531623896765	-2	233.31088200779624	-2	216.32148057434114	-2	194.52905422346927	-2	218.02053868808517																																																																																																																																
49	aao	AAO	0.4	31.59523809523809	0.4	11.5952380952381	-2	151.60014589148233	-2	200.88384649559836	-2	223.07593263018848	-2	186.5531623896765					0.4	194.92905422346928	0.4	218.42053868808517																																																																																																																																
55	uie	yie	0.2857142857142857	31.880952380952376	0.2857142857142857	11.880952380952387			-2	198.88384649559836	-2	221.07593263018848	-2	184.5531623896765							0.2857142857142857	218.70625297379945																																																																																																																											0.2857142857142857	212.82072691894282	0.2857142857142857	146.4039070044847	0.2857142857142857	163.08633517985922
56	iAA	Iaa	0.3333333333333333	32.21428571428571	0.3333333333333333	12.21428571428572			0.3333333333333333	199.2171798289317	0.3333333333333333	221.40926596352182	0.3333333333333333	184.88649572300983	-2	231.31088200779624	-2	214.32148057434114	-2	192.92905422346928	-2	216.70625297379945																																																																																																																																
59	oiy	Oiy	0.15384615384615385	32.36813186813186	0.15384615384615385	12.368131868131874	-2	149.60014589148233	-2	197.2171798289317	-2	219.40926596352182	-2	182.88649572300983					0.15384615384615385	193.08290037731544	0.15384615384615385	216.8600991276456																																																																																																							0.15384615384615385	187.3251659814542			0.15384615384615385	158.3289922386412	0.15384615384615385	204.95165442456013	0.15384615384615385	191.33770691273395							0.15384615384615385	220.17445578281567			0.15384615384615385	212.97457307278898	0.15384615384615385	146.55775315833085	0.15384615384615385	163.24018133370538
60	ooo	OOO	0.4	32.76813186813186	0.4	12.768131868131874	-2	147.60014589148233	-2	195.2171798289317	-2	217.40926596352182	-2	180.88649572300983					0.4	193.48290037731545	0.4	217.26009912764562																																																																																																																																
62	OeO	oEo	0.2857142857142857	33.053846153846145	0.2857142857142857	13.05384615384616	0.2857142857142857	147.8858601771966	0.2857142857142857	195.50289411464598	0.2857142857142857	217.6949802492361	0.2857142857142857	181.1722100087241			-2	212.32148057434114	-2	191.48290037731545	-2	215.26009912764562																																																																																																																																
64	aui	Ayi	0.3333333333333333	33.38717948717948	0.3333333333333333	13.387179487179495			-2	193.50289411464598	-2	215.6949802492361	-2	179.1722100087241							0.3333333333333333	215.59343246097896																																																																																																																													0.3333333333333333	146.8910864916642	0.3333333333333333	163.57351466703872
65	Oiy	oiu	0.2857142857142857	33.672893772893765	0.2857142857142857	13.672893772893781	0.2857142857142857	148.17157446291088	0.2857142857142857	193.78860840036026	0.2857142857142857	215.98069453495037	0.2857142857142857	179.45792429443839					-2	189.48290037731545	-2	213.59343246097896																																																													-2	138.6687123140526	-2	233.4671354543537																																													-2	202.95165442456013	-2	189.33770691273395													-2	144.8910864916642	-2	161.57351466703872
66	oi	Oi	0.2222222222222222	33.89511599511599	0.2222222222222222	13.895115995116003	-2	146.17157446291088	-2	191.78860840036026	-2	213.98069453495037	-2	177.45792429443839					0.2222222222222222	189.70512259953767	0.2222222222222222	213.8156546832012																																																																																																													0.2222222222222222	203.17387664678236	0.2222222222222222	189.55992913495618													0.2222222222222222	145.11330871388643	0.2222222222222222	161.79573688926095
67	OOe	ooE	0.2857142857142857	34.18083028083027	0.2857142857142857	14.180830280830289	0.2857142857142857	146.45728874862516	0.2857142857142857	192.07432268607454	0.2857142857142857	214.26640882066465	0.2857142857142857	177.74363858015266			-2	210.32148057434114	-2	187.70512259953767	-2	211.8156546832012																																																																																																																																
71	oii	Oii	0.2222222222222222	34.40305250305249	0.2222222222222222	14.40305250305251	-2	144.45728874862516	-2	190.07432268607454	-2	212.26640882066465	-2	175.74363858015266					0.2222222222222222	187.9273448217599	0.2222222222222222	212.03787690542342																																																																																																													0.2222222222222222	203.3960988690046	0.2222222222222222	189.7821513571784													0.2222222222222222	145.33553093610865	0.2222222222222222	162.01795911148318
72	iA	Ia	0.3333333333333333	34.73638583638583	0.3333333333333333	14.736385836385844			0.3333333333333333	190.40765601940788	0.3333333333333333	212.599742153998	0.3333333333333333	176.076971913486	-2	229.31088200779624	-2	208.32148057434114	-2	185.9273448217599	-2	210.03787690542342																																																																																																																																
73	oEE	Oee	0.3333333333333333	35.069719169719164	0.3333333333333333	15.069719169719178	-2	142.45728874862516	-2	188.40765601940788	-2	210.599742153998	-2	174.076971913486			0.3333333333333333	208.65481390767448	0.3333333333333333	186.26067815509325	0.3333333333333333	210.37121023875676																																																																																																																																
78	iA	Ia	0.3333333333333333	35.4030525030525	0.3333333333333333	15.403052503052512			0.3333333333333333	188.74098935274122	0.3333333333333333	210.93307548733134	0.3333333333333333	174.41030524681935	-2	227.31088200779624	-2	206.65481390767448	-2	184.26067815509325	-2	208.37121023875676																																																																																																																																
79	oaE	OAe	0.3333333333333333	35.736385836385836	0.3333333333333333	15.736385836385846	-2	140.45728874862516	-2	186.74098935274122	-2	208.93307548733134	-2	172.41030524681935			0.3333333333333333	206.98814724100782	0.3333333333333333	184.5940114884266	0.3333333333333333	208.7045435720901																																																																																																																																
80	aai	AAi	0.3333333333333333	36.06971916971917	0.3333333333333333	16.06971916971918			-2	184.74098935274122	-2	206.93307548733134	-2	170.41030524681935							0.3333333333333333	209.03787690542345																																																																																																																													0.3333333333333333	145.668864269442	0.3333333333333333	162.35129244481652
83	OOO	ooo	0.2857142857142857	36.355433455433456	0.2857142857142857	16.355433455433463	0.2857142857142857	140.74300303433944	0.2857142857142857	185.0267036384555	0.2857142857142857	207.21878977304561	0.2857142857142857	170.69601953253363					-2	182.5940114884266	-2	207.03787690542345																																																																																																																																
84	ieA	IEa	0.3333333333333333	36.68876678876679	0.3333333333333333	16.688766788766795			0.3333333333333333	185.36003697178884	0.3333333333333333	207.55212310637896	0.3333333333333333	171.02935286586697	-2	225.31088200779624	-2	204.98814724100782	-2	180.5940114884266	-2	205.03787690542345																																																																																																																																
86	Eua	eyA	0.3333333333333333	37.02210012210013	0.3333333333333333	17.022100122100127			-2	183.36003697178884	-2	205.55212310637896	-2	169.02935286586697			0.3333333333333333	205.32148057434117	0.3333333333333333	180.92734482175993	0.3333333333333333	205.3712102387568																																																																																																																																
88	iAe	iaE			0.4	17.422100122100126			0.4	183.76003697178885	0.4	205.95212310637896	0.4	169.42935286586697			-2	203.32148057434117	-2	178.92734482175993	-2	203.3712102387568																																																							-2	190.83064938129024			-2	191.18253426504626	-2	136.6687123140526	-2	231.4671354543537																																																																
88	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	37.422100122100126																																																																																																																																																			
92	iie	IiE	0.4	37.822100122100125	0.4	17.822100122100125					0.4	206.35212310637897	0.4	169.82935286586698	-2	223.31088200779624	-2	201.32148057434117	-2	176.92734482175993	-2	201.3712102387568																																																					-2	194.887648448267	-2	188.83064938129024	-2	222.62470614820126	-2	189.18253426504626	-2	134.6687123140526	-2	229.4671354543537													-2	214.51535387619072	-2	226.47085033571275													-2	217.88521022767765	-2	155.93645568261195													-2	201.3960988690046	-2	187.7821513571784													-2	143.668864269442	-2	160.35129244481652
96	EE	ee	0.3333333333333333	38.15543345543346	0.3333333333333333	18.155433455433457					-2	204.35212310637897	-2	167.82935286586698			0.3333333333333333	201.6548139076745	0.3333333333333333	177.26067815509327	0.3333333333333333	201.70454357209013																																																																																																																																
97	Oii	oii	0.2857142857142857	38.441147741147745	0.2857142857142857	18.44114774114774	0.2857142857142857	141.02871732005372	0.2857142857142857	184.04575125750313	0.2857142857142857	204.63783739209325	0.2857142857142857	168.11506715158126					-2	175.26067815509327	-2	199.70454357209013																																																																																																													-2	199.3960988690046	-2	185.7821513571784													-2	141.668864269442	-2	158.35129244481652
99	iyA	iua			0.4	18.84114774114774			0.4	184.44575125750313	0.4	205.03783739209325	0.4	168.51506715158126							-2	197.70454357209013																																																													-2	132.6687123140526	-2	227.4671354543537																																																																
99	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999915	38.841147741147736																																																																																																																																																			
100	ieO	IEo	0.2857142857142857	39.12686202686202	0.2857142857142857	19.126862026862025	0.2857142857142857	141.314431605768	0.2857142857142857	184.7314655432174	0.2857142857142857	205.32355167780753	0.2857142857142857	168.80078143729554	-2	221.31088200779624	-2	199.6548139076745	-2	173.26067815509327	-2	195.70454357209013																																																																																																																																
103	uuo	yyO	0.4	39.52686202686202	0.4	19.526862026862023	-2	139.314431605768	-2	182.7314655432174	-2	203.32355167780753	-2	166.80078143729554					0.4	173.66067815509328	0.4	196.10454357209014																																																																																																																																
104	eie	EiE	0.4	39.92686202686202	0.4	19.926862026862022					0.4	203.72355167780754	0.4	167.20078143729555			-2	197.6548139076745	-2	171.66067815509328	-2	194.10454357209014																																																					-2	192.887648448267	-2	186.83064938129024	-2	220.62470614820126	-2	187.18253426504626	-2	130.6687123140526	-2	225.4671354543537																													-2	215.88521022767765	-2	153.93645568261195													-2	197.3960988690046	-2	183.7821513571784													-2	139.668864269442	-2	156.35129244481652
107	iee	IEE	0.4	40.32686202686202	0.4	20.32686202686202					0.4	204.12355167780754	0.4	167.60078143729555	-2	219.31088200779624	-2	195.6548139076745	-2	169.66067815509328	-2	192.10454357209014																																																																																																																																
108	aoa	AOA	0.4	40.726862026862015	0.4	20.72686202686202	-2	137.314431605768	-2	180.7314655432174	-2	202.12355167780754	-2	165.60078143729555					0.4	170.06067815509329	0.4	192.50454357209014																																																																																																																																
110	iee	IEE	0.4	41.126862026862014	0.4	21.126862026862018					0.4	202.52355167780755	0.4	166.00078143729556	-2	217.31088200779624	-2	193.6548139076745	-2	168.06067815509329	-2	190.50454357209014																																																																																																																																
111	uau	yAy	0.5	41.626862026862014	0.5	21.626862026862018			-2	178.7314655432174	-2	200.52355167780755	-2	164.00078143729556							0.5	191.00454357209014																																																																																																																																
