trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.49		166.52		190.61		213.59		150.0		155.38		179.97		228.26		150.0		150.0		150.0		150.0		151.09		152.11		153.25		155.99		150.0		150.0		150.0		150.0		153.37		156.33		160.06		168.56		150.0		150.0		150.0		150.0		156.41		159.59		168.53		177.65		150.0		150.0		150.0		150.0		158.98		162.04		176.84		185.32999999999998		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.13		151.89		152.16		153.35		150.0		150.0		150.0		150.0		154.0		155.55		157.44		159.74		150.0		150.0		150.0		150.0		159.88		162.94		168.6		173.09
2	eOO	Eoo	2	2	2	2	2	157.49	2	168.52	2	192.61	2	215.59			-2	153.38	-2	177.97	-2	226.26																																																																																																																																
3	AOy	aou	2	4	2	4	2	159.49	2	170.52	2	194.61	2	217.59					-2	175.97	-2	224.26																																																																																																																																
4	yy	uu	2	6	2	6			2	172.52	2	196.61	2	219.59							-2	222.26																																																																																																																																
5	yyA	yua			2	8			2	174.52	2	198.61	2	221.59							-2	220.26																													-2	158.06	-2	166.56													-2	166.53	-2	175.65													-2	174.84	-2	183.32999999999998																																																																
6	yOy	you			2	10	2	161.49	2	176.52	2	200.61	2	223.59					-2	173.97	-2	218.26																									-2	151.37	-2	154.33	-2	156.06	-2	164.56									-2	154.41	-2	157.59	-2	164.53	-2	173.65									-2	156.98	-2	160.04	-2	172.84	-2	181.32999999999998																																																																
7	EaE	eae	2	8	2	12					-2	198.61	-2	221.59			2	155.38	2	175.97	2	220.26																																													-2	162.53	-2	171.65													-2	170.84	-2	179.32999999999998																																																									-2	157.88	-2	160.94	-2	166.6	-2	171.09
8	OOA	ooa	2	10	2	14	2	163.49	2	178.52	2	200.61	2	223.59					-2	173.97	-2	218.26																																																																																																																																
9	uIu	yiu	2	12	2	16			-2	176.52	-2	198.61	-2	221.59	2	152.0	2	157.38	2	175.97	2	220.26																															-2	162.56															-2	169.65													-2	168.84	-2	177.32999999999998																																																																
10	uaE	yae	2	14	2	18			-2	174.52	-2	196.61	-2	219.59			2	159.38	2	177.97	2	222.26																													-2	154.06	-2	160.56													-2	160.53	-2	167.65													-2	166.84	-2	175.32999999999998																																																									-2	155.88	-2	158.94	-2	164.6	-2	169.09
