trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.57		166.95		190.29		213.88		150.0		155.65		179.84		228.24		150.0		150.0		150.0		150.0		151.07		152.03		153.39		156.41		150.0		150.0		150.0		150.0		153.45		156.39		160.26		169.2		150.0		150.0		150.0		150.0		156.39		159.51		168.75		177.99		150.0		150.0		150.0		150.0		159.01		162.02		177.13		185.97		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.12		151.76		152.12		153.19		150.0		150.0		150.0		150.0		153.69		155.26		157.12		159.4		150.0		150.0		150.0		150.0		159.2		162.28		168.3		172.74
2	yyA	uua	0.4	0.4	0.4	0.4			0.4	167.35	0.4	190.69	0.4	214.28							-2	226.24																																																																																																																																
3	iOi	ioi			0.4	0.8	0.4	155.97	0.4	167.75	0.4	191.09	0.4	214.68					-2	177.84	-2	224.24																																																									-2	157.01	-2	160.02	-2	175.13	-2	183.97																																													-2	155.12	-2	157.4													-2	166.3	-2	170.74
4	OyO	Ouo			0.4	1.2000000000000002	0.4	156.37	0.4	168.15	0.4	191.49	0.4	215.08					-2	175.84	-2	222.24											-2	150.03	-2	151.39	-2	154.41											-2	154.39	-2	158.26	-2	167.2											-2	157.51	-2	166.75	-2	175.99											-2	158.02	-2	173.13	-2	181.97																																																																
5	yyA	yua			0.5	1.7000000000000002			0.5	168.65	0.5	191.99	0.5	215.58							-2	220.24																													-2	156.26	-2	165.2													-2	164.75	-2	173.99													-2	171.13	-2	179.97																																																																
6	EEa	Eea			0.5	2.2					-2	189.99	-2	213.58			0.5	156.15	0.5	176.34	0.5	220.74																																													-2	162.75	-2	171.99													-2	169.13	-2	177.97																									-2	149.12	-2	149.76	-2	150.12	-2	151.19									-2	151.69	-2	153.26	-2	153.12	-2	155.4									-2	157.2	-2	160.28	-2	164.3	-2	168.74
8	Oye	oue	0.3333333333333333	0.7333333333333334	0.3333333333333333	2.5333333333333337	0.3333333333333333	156.70333333333335	0.3333333333333333	168.98333333333335	0.3333333333333333	190.32333333333335	0.3333333333333333	213.91333333333336					-2	174.34	-2	218.74																																																																																																											-2	151.26			-2	153.4									-2	155.2	-2	158.28	-2	162.3	-2	166.74
9	yOi	yoi			0.4	2.9333333333333336	0.4	157.10333333333335	0.4	169.38333333333335	0.4	190.72333333333336	0.4	214.31333333333336					-2	172.34	-2	216.74																									-2	151.45	-2	152.39	-2	154.26	-2	163.2									-2	154.39	-2	155.51	-2	160.75	-2	169.99									-2	155.01	-2	156.02	-2	167.13	-2	175.97																																													-2	151.12	-2	151.4													-2	160.3	-2	164.74
10	OOO	ooo	0.3333333333333333	1.0666666666666667	0.3333333333333333	3.266666666666667	0.3333333333333333	157.4366666666667	0.3333333333333333	169.7166666666667	0.3333333333333333	191.0566666666667	0.3333333333333333	214.6466666666667					-2	170.34	-2	214.74																																																																																																																																
11	eie	Eie	0.5	1.5666666666666667	0.5	3.766666666666667					0.5	191.5566666666667	0.5	215.1466666666667			-2	154.15	-2	168.34	-2	212.74																																																																																											-2	147.76	-2	148.12	-2	149.19											-2	149.26	-2	149.12	-2	149.4											-2	156.28	-2	158.3	-2	162.74
12	AAy	aau	0.4	1.9666666666666668	0.4	4.166666666666667			0.4	170.1166666666667	0.4	191.9566666666667	0.4	215.5466666666667							-2	210.74																																																																																																																																
13	aEo	aeo			0.5	4.666666666666667					-2	189.9566666666667	-2	213.5466666666667			0.5	154.65	0.5	168.84	0.5	211.24																																									-2	152.39	-2	153.51	-2	158.75	-2	167.99									-2	153.01	-2	154.02	-2	165.13	-2	173.97																																																									-2	153.2	-2	154.28	-2	156.3	-2	160.74
14	EEI	Eei			0.4	5.066666666666667					-2	187.9566666666667	-2	211.5466666666667	0.4	150.4	0.4	155.05	0.4	169.24	0.4	211.64000000000001																																																																																									-2	147.12	-2	145.76	-2	146.12	-2	147.19									-2	149.69	-2	147.26	-2	147.12	-2	147.4									-2	151.2	-2	152.28	-2	154.3	-2	158.74
15	iOe	ioe			0.4	5.466666666666668	0.4	157.8366666666667	0.4	170.5166666666667	0.4	188.3566666666667	0.4	211.94666666666672					-2	167.24	-2	209.64000000000001																																																									-2	151.01	-2	152.02	-2	163.13	-2	171.97																																									-2	147.69	-2	145.26	-2	145.12	-2	145.4									-2	149.2	-2	150.28	-2	152.3	-2	156.74
16	oIa	Oia	0.3333333333333333	2.3000000000000003	0.3333333333333333	5.800000000000001	-2	155.8366666666667	-2	168.5166666666667	-2	186.3566666666667	-2	209.94666666666672	0.3333333333333333	150.73333333333335	0.3333333333333333	155.38333333333335	0.3333333333333333	167.57333333333335	0.3333333333333333	209.97333333333336															-2	152.41															-2	161.2															-2	165.99													-2	161.13	-2	169.97																																																																
17	IuE	iue	0.3333333333333333	2.6333333333333337	0.3333333333333333	6.133333333333334					-2	184.3566666666667	-2	207.94666666666672	0.3333333333333333	151.0666666666667	0.3333333333333333	155.7166666666667	0.3333333333333333	167.9066666666667	0.3333333333333333	210.3066666666667																																																													-2	159.13	-2	167.97																																																									-2	147.2	-2	148.28	-2	150.3	-2	154.74
18	OAO	Oao			0.4	6.533333333333334	0.4	156.2366666666667	0.4	168.9166666666667	0.4	184.75666666666672	0.4	208.34666666666672					-2	165.9066666666667	-2	208.3066666666667											-2	148.03	-2	149.39	-2	150.41											-2	150.39	-2	152.26	-2	159.2											-2	151.51	-2	156.75	-2	163.99											-2	150.02	-2	157.13	-2	165.97																																																																
19	oEE	Oee	0.4	3.0333333333333337	0.4	6.9333333333333345	-2	154.2366666666667	-2	166.9166666666667	-2	182.75666666666672	-2	206.34666666666672			0.4	156.1166666666667	0.4	166.3066666666667	0.4	208.7066666666667																																																																																																																																
20	Eao	eao	0.4	3.4333333333333336	0.4	7.333333333333335					-2	180.75666666666672	-2	204.34666666666672			0.4	156.5166666666667	0.4	166.7066666666667	0.4	209.1066666666667																																											-2	149.51	-2	154.75	-2	161.99											-2	148.02	-2	155.13	-2	163.97																																																																
21	yi	ui	0.4	3.8333333333333335	0.4	7.733333333333335			0.4	167.31666666666672	0.4	181.15666666666672	0.4	204.74666666666673							-2	207.1066666666667																																																																																																																													-2	148.3	-2	152.74
22	eyy	euu			0.5	8.233333333333334			0.5	167.81666666666672	0.5	181.65666666666672	0.5	205.24666666666673							-2	205.1066666666667																																													-2	152.75	-2	159.99													-2	153.13	-2	161.97																																																																
23	ouu	Ouu	0.5	4.333333333333334	0.5	8.733333333333334	-2	152.2366666666667	-2	165.81666666666672	-2	179.65666666666672	-2	203.24666666666673					0.5	167.2066666666667	0.5	205.6066666666667													-2	147.39	-2	148.41													-2	150.26	-2	157.2													-2	150.75	-2	157.99													-2	151.13	-2	159.97																																																																
24	auu	Auu	0.6666666666666666	5.000000000000001	0.6666666666666666	9.4			-2	163.81666666666672	-2	177.65666666666672	-2	201.24666666666673							0.6666666666666666	206.27333333333337																													-2	148.26	-2	155.2													-2	148.75	-2	155.99													-2	149.13	-2	157.97																																																																
25	yAe	yae			0.5	9.9			0.5	164.31666666666672	0.5	178.15666666666672	0.5	201.74666666666673							-2	204.27333333333337																													-2	146.26	-2	153.2													-2	146.75	-2	153.99													-2	147.13	-2	155.97																																																									-2	145.2	-2	146.28	-2	146.3	-2	150.74
27	eOi	Eoi	0.3333333333333333	5.333333333333334	0.3333333333333333	10.233333333333334	0.3333333333333333	152.57000000000005	0.3333333333333333	164.65000000000006	0.3333333333333333	178.49000000000007	0.3333333333333333	202.08000000000007			-2	154.5166666666667	-2	165.2066666666667	-2	202.27333333333337																																																																																															-2	145.19													-2	143.12	-2	143.4													-2	144.3	-2	148.74
28	iyA	iua			0.5	10.733333333333334			0.5	165.15000000000006	0.5	178.99000000000007	0.5	202.58000000000007							-2	200.27333333333337																																																													-2	145.13	-2	153.97																																																																
29	aoE	aoe			0.5	11.233333333333334					-2	176.99000000000007	-2	200.58000000000007			0.5	155.0166666666667	0.5	165.7066666666667	0.5	200.77333333333337																																																																																																									-2	145.69	-2	143.26	-2	141.12	-2	141.4									-2	143.2	-2	144.28	-2	142.3	-2	146.74
30	oEE	oee			0.5	11.733333333333334					-2	174.99000000000007	-2	198.58000000000007			0.5	155.5166666666667	0.5	166.2066666666667	0.5	201.27333333333337																																																																																																									-2	143.69	-2	141.26	-2	139.12	-2	139.4									-2	141.2	-2	142.28	-2	140.3	-2	144.74
31	OAe	Oae			0.5	12.233333333333334			0.5	165.65000000000006	0.5	175.49000000000007	0.5	199.08000000000007							-2	199.27333333333337													-2	145.39	-2	146.41													-2	144.26	-2	151.2													-2	144.75	-2	151.99													-2	143.13	-2	151.97																																																									-2	139.2	-2	140.28	-2	138.3	-2	142.74
