trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.24		166.6		190.51		214.61		150.0		155.71		179.63		226.9		150.0		150.0		150.0		150.0		150.95		151.61		153.0		155.37		150.0		150.0		150.0		150.0		153.25		155.86		159.92		167.74		150.0		150.0		150.0		150.0		155.88		158.92		167.95		176.39		150.0		150.0		150.0		150.0		158.57		161.37		175.41		183.45		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.12		151.81		152.27		153.18		150.0		150.0		150.0		150.0		153.87		155.15		157.75		159.84		150.0		150.0		150.0		150.0		159.24		162.1		168.77		173.32
1	yeO	yeo			0.4	0.4	0.4	155.64000000000001	0.4	167.0	0.4	190.91	0.4	215.01000000000002					-2	177.63	-2	224.9																											-2	153.86			-2	165.74									-2	153.88	-2	156.92	-2	165.95	-2	174.39									-2	156.57	-2	159.37	-2	173.41	-2	181.45																																																																
6	yOA	yoa			0.4	0.8	0.4	156.04000000000002	0.4	167.4	0.4	191.31	0.4	215.41000000000003					-2	175.63	-2	222.9																									-2	151.25	-2	151.86	-2	157.92	-2	163.74									-2	151.88	-2	154.92	-2	163.95	-2	172.39									-2	154.57	-2	157.37	-2	171.41	-2	179.45																																																																
7	yye	yue			0.5	1.3			0.5	167.9	0.5	191.81	0.5	215.91000000000003							-2	220.9																													-2	155.92	-2	161.74													-2	161.95	-2	170.39													-2	169.41	-2	177.45																																																									-2	157.24	-2	160.1	-2	166.77	-2	171.32
8	yeA	uea	0.5	0.5	0	1.3			0.5	168.4	0.5	192.31	0.5	216.41000000000003							-2	218.9																																													-2	159.95	-2	168.39													-2	167.41	-2	175.45																																																									-2	155.24	-2	158.1	-2	164.77	-2	169.32
9	eAi	Eai	0.5	1.0	0	1.3			0.5	168.9	0.5	192.81	0.5	216.91000000000003			-2	153.71	-2	173.63	-2	216.9																																																																																															-2	151.18															-2	157.84													-2	162.77	-2	167.32
10	uuE	yue	0.5	1.5	0	1.3			-2	166.9	-2	190.81	-2	214.91000000000003			0.5	154.21	0.5	174.13	0.5	217.4																													-2	153.92	-2	159.74													-2	157.95	-2	166.39													-2	165.41	-2	173.45																																																									-2	153.24	-2	156.1	-2	160.77	-2	165.32
12	Oe	oe	0.4	1.9	0	1.3	0.4	156.44000000000003	0.4	167.3	0.4	191.21	0.4	215.31000000000003					-2	172.13	-2	215.4																																																																																																									-2	151.87	-2	153.15	-2	155.75	-2	155.84									-2	151.24	-2	154.1	-2	158.77	-2	163.32
13	OAA	Oaa			0.5	1.8			0.5	167.8	0.5	191.71	0.5	215.81000000000003							-2	213.4													-2	151.0	-2	153.37													-2	151.92	-2	157.74													-2	155.95	-2	164.39													-2	163.41	-2	171.45																																																																
14	yeO	ueo	0.4	2.3	0	1.8	0.4	156.84000000000003	0.4	168.20000000000002	0.4	192.11	0.4	216.21000000000004					-2	170.13	-2	211.4																																									-2	149.88	-2	152.92	-2	153.95	-2	162.39									-2	152.57	-2	155.37	-2	161.41	-2	169.45																																																									-2	149.24	-2	152.1	-2	156.77	-2	161.32
