trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		164.65		194.15		220.53		247.99		150.0		150.0		164.85		194.45		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.77		152.52		155.59		157.63		150.0		150.0		150.0		150.0		153.98		155.07		161.71		164.96		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.93		152.68		154.03		155.11		150.0		150.0		150.0		150.0		155.87		158.12		161.75		165.15
1	uuE	uue			0.4	0.4					-2	218.53	-2	245.99			0.4	150.4	0.4	165.25	0.4	194.85																																																																																																																									-2	153.87	-2	156.12	-2	159.75	-2	163.15
3	uIu	uiu			0.3333333333333333	0.7333333333333334							-2	243.99	0.3333333333333333	150.33333333333334	0.3333333333333333	150.73333333333335	0.3333333333333333	165.58333333333334	0.3333333333333333	195.18333333333334																																																													-2	159.71	-2	162.96																																																													-2	157.75	-2	161.15
4	uou	yOy	0.4	0.4	0.4	1.1333333333333333	-2	162.65	-2	192.15	-2	216.53	-2	241.99					0.4	165.98333333333335	0.4	195.58333333333334																																																																																																																																
5	IoE	iOe	0.2857142857142857	0.6857142857142857	0.2857142857142857	1.419047619047619	-2	160.65	-2	190.15	-2	214.53	-2	239.99	0.2857142857142857	150.61904761904762	0.2857142857142857	151.01904761904763	0.2857142857142857	166.26904761904763	0.2857142857142857	195.86904761904762																																																																																																																																
6	uEo	yeO	0.3333333333333333	1.019047619047619	0.3333333333333333	1.7523809523809522	-2	158.65	-2	188.15	-2	212.53	-2	237.99			0.3333333333333333	151.35238095238097	0.3333333333333333	166.60238095238097	0.3333333333333333	196.20238095238096																																																																																																																																
8	EoE	eoe	0.3333333333333333	1.3523809523809522	0.3333333333333333	2.0857142857142854					-2	210.53	-2	235.99			0.3333333333333333	151.6857142857143	0.3333333333333333	166.9357142857143	0.3333333333333333	196.5357142857143																																									-2	149.77	-2	150.52	-2	153.59	-2	155.63									-2	151.98	-2	153.07	-2	157.71	-2	160.96																																									-2	149.93	-2	150.68	-2	152.03	-2	153.11									-2	151.87	-2	154.12	-2	155.75	-2	159.15
9	uao	yAO	0.4	1.7523809523809524	0.4	2.4857142857142853	-2	156.65	-2	186.15	-2	208.53	-2	233.99					0.4	167.33571428571432	0.4	196.9357142857143																																																																																																																																
11	IaE	iAe	0.2857142857142857	2.038095238095238	0.2857142857142857	2.771428571428571			-2	184.15	-2	206.53	-2	231.99	0.2857142857142857	150.9047619047619	0.2857142857142857	151.9714285714286	0.2857142857142857	167.6214285714286	0.2857142857142857	197.2214285714286																																																																																																																																
12	aIE	Aie	0.2857142857142857	2.3238095238095235	0.2857142857142857	3.0571428571428565			-2	182.15	-2	204.53	-2	229.99	0.2857142857142857	151.19047619047618	0.2857142857142857	152.25714285714287	0.2857142857142857	167.90714285714287	0.2857142857142857	197.50714285714287																																																																																																																																
