trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		80.3		140.4		170.22		193.16		74.26		103.68		130.74		189.52		52.0		52.82		53.9		55.6		56.08		58.62		59.66		63.980000000000004		55.8		58.08		61.519999999999996		65.96		67.2		73.56		78.88		89.47999999999999		57.88		60.22		65.64		70.34		73.16		80.03999999999999		88.78		100.42		59.26		61.68		68.3		72.75999999999999		76.9		83.36		95.64		106.08		51.14		51.66		54.08		55.28		55.44		56.78		56.92		58.019999999999996		52.86		54.3		59.96		63.120000000000005		63.239999999999995		66.88		66.36		69.9		54.74		57.019999999999996		65.46		70.52		70.38		76.24000000000001		75.52		81.4		58.480000000000004		62.54		77.38		86.66		86.34		96.76		95.38		105.72
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	auE	Aue	0.4	20.4	0	0			-2	138.4	-2	168.22	-2	191.16			0.4	104.08000000000001	0.4	131.14000000000001	0.4	189.92000000000002																													-2	76.88	-2	87.47999999999999													-2	86.78	-2	98.42													-2	93.64	-2	104.08																																																									-2	84.34	-2	94.76	-2	93.38	-2	103.72
2	AAe	Aae			0.4	0.4			0.4	138.8	0.4	168.62	0.4	191.56							-2	187.92000000000002																													-2	74.88	-2	85.47999999999999													-2	84.78	-2	96.42													-2	91.64	-2	102.08																																																									-2	82.34	-2	92.76	-2	91.38	-2	101.72
5	Ea	ea	0.4	20.799999999999997	0	0.4					-2	166.62	-2	189.56			0.4	104.48000000000002	0.4	131.54000000000002	0.4	188.32000000000002																																													-2	82.78	-2	94.42													-2	89.64	-2	100.08																																																																
6	Aii	aii	0.4	21.199999999999996	0	0.4			0.4	139.20000000000002	0.4	167.02	0.4	189.96							-2	186.32000000000002																																																																																																																													-2	89.38	-2	99.72
7	uIE	yie	0.3333333333333333	21.533333333333328	0	0.4			-2	137.20000000000002	-2	165.02	-2	187.96	0.3333333333333333	74.59333333333333	0.3333333333333333	104.81333333333335	0.3333333333333333	131.87333333333336	0.3333333333333333	186.65333333333336																																																																																																																																
8	uuo	yuo	0.6666666666666666	22.199999999999996	0	0.4			-2	135.20000000000002	-2	163.02	-2	185.96							0.6666666666666666	187.32000000000002																											-2	71.56	-2	72.88	-2	83.47999999999999											-2	78.03999999999999	-2	80.78	-2	92.42											-2	81.36	-2	87.64	-2	98.08																																																																
9	iyy	iuu			0.4	0.8			0.4	135.60000000000002	0.4	163.42000000000002	0.4	186.36							-2	185.32000000000002																																																													-2	85.64	-2	96.08																																																																
11	yye	uue	0.4	22.599999999999994	0	0.8			0.4	136.00000000000003	0.4	163.82000000000002	0.4	186.76000000000002							-2	183.32000000000002																																																																																																																									-2	80.34	-2	90.76	-2	87.38	-2	97.72
