trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		108.18181818181819		224.54545454545453		282.72727272727275		340.90909090909093		108.18181818181819		166.36363636363637		224.54545454545453		340.90909090909093		53.81818181818182		55.45454545454545		57.63636363636364		60.90909090909091		61.45454545454545		66.36363636363636		69.0909090909091		77.27272727272727		61.45454545454545		65.27272727272728		72.9090909090909		80.54545454545455		84.36363636363636		95.81818181818181		107.27272727272728		126.36363636363637		65.27272727272728		69.63636363636364		80.54545454545455		89.27272727272728		95.81818181818181		108.9090909090909		126.36363636363637		148.1818181818182		69.0909090909091		73.63636363636364		88.18181818181819		97.27272727272728		107.27272727272728		120.9090909090909		145.45454545454544		168.1818181818182		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364		57.63636363636364		60.90909090909091		72.9090909090909		80.54545454545455		80.54545454545455		89.27272727272728		88.18181818181819		97.27272727272728		61.45454545454545		66.36363636363636		84.36363636363636		95.81818181818181		95.81818181818181		108.9090909090909		107.27272727272728		120.9090909090909		69.0909090909091		77.27272727272727		107.27272727272728		126.36363636363637		126.36363636363637		148.1818181818182		145.45454545454544		168.1818181818182
1	ee	Ee	2	2	2	2					2	284.72727272727275	2	342.90909090909093			-2	164.36363636363637	-2	222.54545454545453	-2	338.90909090909093																																																																																									-2	78.54545454545455	-2	87.27272727272728	-2	86.18181818181819	-2	95.27272727272728									-2	93.81818181818181	-2	106.9090909090909	-2	105.27272727272728	-2	118.9090909090909									-2	124.36363636363637	-2	146.1818181818182	-2	143.45454545454544	-2	166.1818181818182
2	EuI	Eui			2	4							-2	340.90909090909093	2	110.18181818181819	2	166.36363636363637	2	224.54545454545453	2	340.90909090909093																																																																																															-2	93.27272727272728															-2	116.9090909090909													-2	141.45454545454544	-2	164.1818181818182
4	IuI	iui	2	4	2	6							-2	338.90909090909093	2	112.18181818181819	2	168.36363636363637	2	226.54545454545453	2	342.90909090909093																																																													-2	143.45454545454544	-2	166.1818181818182																																																													-2	139.45454545454544	-2	162.1818181818182
5	eOO	eoo			2	8	2	110.18181818181819	2	226.54545454545453	2	286.72727272727275	2	340.90909090909093					-2	224.54545454545453	-2	340.90909090909093																																									-2	93.81818181818181	-2	106.9090909090909	-2	124.36363636363637	-2	146.1818181818182									-2	105.27272727272728	-2	118.9090909090909	-2	141.45454545454544	-2	164.1818181818182																																																																
6	iOi	ioi			2	10	2	112.18181818181819	2	228.54545454545453	2	288.72727272727275	2	342.90909090909093					-2	222.54545454545453	-2	338.90909090909093																																																									-2	103.27272727272728	-2	116.9090909090909	-2	139.45454545454544	-2	162.1818181818182																																													-2	103.27272727272728	-2	114.9090909090909													-2	137.45454545454544	-2	160.1818181818182
7	aIE	aie			2	12					-2	286.72727272727275	-2	340.90909090909093	2	114.18181818181819	2	170.36363636363637	2	224.54545454545453	2	340.90909090909093																																																																																																																											-2	144.1818181818182	-2	135.45454545454544	-2	158.1818181818182
9	ua	ya	2	6	2	14			-2	226.54545454545453	-2	284.72727272727275	-2	338.90909090909093							2	342.90909090909093																													-2	105.27272727272728	-2	124.36363636363637													-2	122.36363636363637	-2	144.1818181818182													-2	137.45454545454544	-2	160.1818181818182																																																																
10	III	iii	2	8	2	16							-2	336.90909090909093	2	116.18181818181819	2	172.36363636363637	2	226.54545454545453	2	344.90909090909093																																																																																																																																
11	yOy	you			2	18	2	114.18181818181819	2	228.54545454545453	2	286.72727272727275	2	338.90909090909093					-2	224.54545454545453	-2	342.90909090909093																									-2	82.36363636363636	-2	93.81818181818181	-2	103.27272727272728	-2	122.36363636363637									-2	91.81818181818181	-2	104.9090909090909	-2	120.36363636363637	-2	142.1818181818182									-2	101.27272727272728	-2	114.9090909090909	-2	135.45454545454544	-2	158.1818181818182																																																																
12	iy	iu			2	20			2	230.54545454545453	2	288.72727272727275	2	340.90909090909093							-2	340.90909090909093																																																													-2	133.45454545454544	-2	156.1818181818182																																																																
13	eO	eo			2	22	2	116.18181818181819	2	232.54545454545453	2	290.72727272727275	2	342.90909090909093					-2	222.54545454545453	-2	338.90909090909093																																									-2	89.81818181818181	-2	102.9090909090909	-2	118.36363636363637	-2	140.1818181818182									-2	99.27272727272728	-2	112.9090909090909	-2	131.45454545454544	-2	154.1818181818182																																																																
