trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		108.18181818181819		224.54545454545453		282.72727272727275		340.90909090909093		108.18181818181819		166.36363636363637		224.54545454545453		340.90909090909093		53.81818181818182		55.45454545454545		57.63636363636364		60.90909090909091		61.45454545454545		66.36363636363636		69.0909090909091		77.27272727272727		61.45454545454545		65.27272727272728		72.9090909090909		80.54545454545455		84.36363636363636		95.81818181818181		107.27272727272728		126.36363636363637		65.27272727272728		69.63636363636364		80.54545454545455		89.27272727272728		95.81818181818181		108.9090909090909		126.36363636363637		148.1818181818182		69.0909090909091		73.63636363636364		88.18181818181819		97.27272727272728		107.27272727272728		120.9090909090909		145.45454545454544		168.1818181818182		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364		57.63636363636364		60.90909090909091		72.9090909090909		80.54545454545455		80.54545454545455		89.27272727272728		88.18181818181819		97.27272727272728		61.45454545454545		66.36363636363636		84.36363636363636		95.81818181818181		95.81818181818181		108.9090909090909		107.27272727272728		120.9090909090909		69.0909090909091		77.27272727272727		107.27272727272728		126.36363636363637		126.36363636363637		148.1818181818182		145.45454545454544		168.1818181818182
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	oEa	oea			0.4	0.4					-2	280.72727272727275	-2	338.90909090909093			0.4	166.76363636363638	0.4	224.94545454545454	0.4	341.3090909090909																																													-2	124.36363636363637	-2	146.1818181818182													-2	143.45454545454544	-2	166.1818181818182																																									-2	93.81818181818181	-2	106.9090909090909	-2	105.27272727272728	-2	118.9090909090909									-2	124.36363636363637	-2	146.1818181818182	-2	143.45454545454544	-2	166.1818181818182
1	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3999999999999986	20.4																																																																																																																																																			
2	OyO	Ouo			0.3333333333333333	0.7333333333333334	0.3333333333333333	108.51515151515152	0.3333333333333333	224.87878787878788	0.3333333333333333	281.06060606060606	0.3333333333333333	339.24242424242425					-2	222.94545454545454	-2	339.3090909090909											-2	64.36363636363636	-2	67.0909090909091	-2	75.27272727272727											-2	93.81818181818181	-2	105.27272727272728	-2	124.36363636363637											-2	106.9090909090909	-2	122.36363636363637	-2	144.1818181818182											-2	118.9090909090909	-2	141.45454545454544	-2	164.1818181818182																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.3333333333333357	20.733333333333334																																																																																																																																																			
3	uuu	yuu	0.6666666666666666	21.400000000000002	0	0.7333333333333334			-2	222.87878787878788	-2	279.06060606060606	-2	337.24242424242425							0.6666666666666666	339.9757575757576																													-2	103.27272727272728	-2	122.36363636363637													-2	120.36363636363637	-2	142.1818181818182													-2	139.45454545454544	-2	162.1818181818182																																																																
4	OOy	oou	0.3333333333333333	21.733333333333334	0	0.7333333333333334	0.3333333333333333	108.84848484848484	0.3333333333333333	223.21212121212122	0.3333333333333333	279.3939393939394	0.3333333333333333	337.57575757575756					-2	220.94545454545454	-2	337.9757575757576																																																																																																																																
5	OOy	Oou			0.3333333333333333	1.0666666666666667	0.3333333333333333	109.18181818181817	0.3333333333333333	223.54545454545456	0.3333333333333333	279.7272727272727	0.3333333333333333	337.9090909090909					-2	218.94545454545454	-2	335.9757575757576									-2	59.45454545454545	-2	62.36363636363636	-2	65.0909090909091	-2	73.27272727272727									-2	82.36363636363636	-2	91.81818181818181	-2	101.27272727272728	-2	120.36363636363637									-2	93.81818181818181	-2	104.9090909090909	-2	118.36363636363637	-2	140.1818181818182									-2	105.27272727272728	-2	116.9090909090909	-2	137.45454545454544	-2	160.1818181818182																																																																
6	Aey	Aeu			0.4	1.4666666666666668			0.4	223.94545454545457	0.4	280.12727272727267	0.4	338.30909090909086							-2	333.9757575757576																															-2	118.36363636363637													-2	116.36363636363637	-2	138.1818181818182													-2	135.45454545454544	-2	158.1818181818182																																																																
7	au	Au	0.6666666666666666	22.400000000000002	0	1.4666666666666668			-2	221.94545454545457	-2	278.12727272727267	-2	336.30909090909086							0.6666666666666666	334.6424242424243																													-2	99.27272727272728	-2	116.36363636363637													-2	114.36363636363637	-2	136.1818181818182													-2	133.45454545454544	-2	156.1818181818182																																																																
