trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		108.18181818181819		224.54545454545453		282.72727272727275		340.90909090909093		108.18181818181819		166.36363636363637		224.54545454545453		340.90909090909093		53.81818181818182		55.45454545454545		57.63636363636364		60.90909090909091		61.45454545454545		66.36363636363636		69.0909090909091		77.27272727272727		61.45454545454545		65.27272727272728		72.9090909090909		80.54545454545455		84.36363636363636		95.81818181818181		107.27272727272728		126.36363636363637		65.27272727272728		69.63636363636364		80.54545454545455		89.27272727272728		95.81818181818181		108.9090909090909		126.36363636363637		148.1818181818182		69.0909090909091		73.63636363636364		88.18181818181819		97.27272727272728		107.27272727272728		120.9090909090909		145.45454545454544		168.1818181818182		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364		57.63636363636364		60.90909090909091		72.9090909090909		80.54545454545455		80.54545454545455		89.27272727272728		88.18181818181819		97.27272727272728		61.45454545454545		66.36363636363636		84.36363636363636		95.81818181818181		95.81818181818181		108.9090909090909		107.27272727272728		120.9090909090909		69.0909090909091		77.27272727272727		107.27272727272728		126.36363636363637		126.36363636363637		148.1818181818182		145.45454545454544		168.1818181818182
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	IEI	iEi	0.3333333333333333	20.333333333333332	0	0							-2	338.90909090909093	0.3333333333333333	108.51515151515152	0.3333333333333333	166.69696969696972	0.3333333333333333	224.87878787878788	0.3333333333333333	341.24242424242425																																																					-2	86.18181818181819	-2	95.27272727272728	-2	105.27272727272728	-2	118.9090909090909	-2	143.45454545454544	-2	166.1818181818182																													-2	86.18181818181819	-2	95.27272727272728													-2	105.27272727272728	-2	118.9090909090909													-2	143.45454545454544	-2	166.1818181818182
2	yyi	uui	0.4	20.73333333333333	0	0			0.4	224.94545454545454	0.4	283.1272727272727	0.4	339.3090909090909							-2	339.24242424242425																																																																																																																													-2	141.45454545454544	-2	164.1818181818182
3	yye	uuE	0.4	21.13333333333333	0	0			0.4	225.34545454545454	0.4	283.5272727272727	0.4	339.7090909090909			-2	164.69696969696972	-2	222.87878787878788	-2	337.24242424242425																																																																																																																																
4	auI	aui			0.3333333333333333	0.3333333333333333							-2	337.7090909090909	0.3333333333333333	108.84848484848484	0.3333333333333333	165.03030303030306	0.3333333333333333	223.21212121212122	0.3333333333333333	337.57575757575756																																																																																																																													-2	139.45454545454544	-2	162.1818181818182
6	eey	EEu	0.4	21.533333333333328	0	0.3333333333333333			0.4	225.74545454545455	0.4	283.9272727272727	0.4	338.10909090909087			-2	163.03030303030306	-2	221.21212121212122	-2	335.57575757575756																																																																																																																																
10	Iua	iyA	0.3333333333333333	21.86666666666666	0	0.3333333333333333			-2	223.74545454545455	-2	281.9272727272727	-2	336.10909090909087	0.3333333333333333	109.18181818181817	0.3333333333333333	163.3636363636364	0.3333333333333333	221.54545454545456	0.3333333333333333	335.9090909090909																																																																																																																																
11	EaE	eAe	0.4	22.26666666666666	0	0.3333333333333333			-2	221.74545454545455	-2	279.9272727272727	-2	334.10909090909087			0.4	163.7636363636364	0.4	221.94545454545457	0.4	336.30909090909086																																																																																																																																
12	yeO	uEo	0.3333333333333333	22.59999999999999	0	0.3333333333333333	0.3333333333333333	108.51515151515152	0.3333333333333333	222.0787878787879	0.3333333333333333	280.260606060606	0.3333333333333333	334.4424242424242			-2	161.7636363636364	-2	219.94545454545457	-2	334.30909090909086																																																																																																																																
15	yyi	uui	0.4	22.99999999999999	0	0.3333333333333333			0.4	222.4787878787879	0.4	280.66060606060597	0.4	334.84242424242416							-2	332.30909090909086																																																																																																																													-2	137.45454545454544	-2	160.1818181818182
16	aIE	aiE			0.3333333333333333	0.6666666666666666							-2	332.84242424242416	0.3333333333333333	109.5151515151515	0.3333333333333333	162.09696969696975	0.3333333333333333	220.2787878787879	0.3333333333333333	332.64242424242417																																																					-2	84.18181818181819	-2	93.27272727272728	-2	103.27272727272728	-2	116.9090909090909	-2	141.45454545454544	-2	164.1818181818182																																																													-2	135.45454545454544	-2	158.1818181818182
18	IaI	Iai			0.3333333333333333	1.0							-2	330.84242424242416	0.3333333333333333	109.84848484848483	0.3333333333333333	162.4303030303031	0.3333333333333333	220.61212121212125	0.3333333333333333	332.9757575757575																																																																															-2	71.63636363636364															-2	93.27272727272728															-2	116.9090909090909													-2	133.45454545454544	-2	156.1818181818182
