trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		108.18181818181819		224.54545454545453		282.72727272727275		340.90909090909093		108.18181818181819		166.36363636363637		224.54545454545453		340.90909090909093		53.81818181818182		55.45454545454545		57.63636363636364		60.90909090909091		61.45454545454545		66.36363636363636		69.0909090909091		77.27272727272727		61.45454545454545		65.27272727272728		72.9090909090909		80.54545454545455		84.36363636363636		95.81818181818181		107.27272727272728		126.36363636363637		65.27272727272728		69.63636363636364		80.54545454545455		89.27272727272728		95.81818181818181		108.9090909090909		126.36363636363637		148.1818181818182		69.0909090909091		73.63636363636364		88.18181818181819		97.27272727272728		107.27272727272728		120.9090909090909		145.45454545454544		168.1818181818182		53.81818181818182		55.45454545454545		61.45454545454545		65.27272727272728		65.27272727272728		69.63636363636364		69.0909090909091		73.63636363636364		57.63636363636364		60.90909090909091		72.9090909090909		80.54545454545455		80.54545454545455		89.27272727272728		88.18181818181819		97.27272727272728		61.45454545454545		66.36363636363636		84.36363636363636		95.81818181818181		95.81818181818181		108.9090909090909		107.27272727272728		120.9090909090909		69.0909090909091		77.27272727272727		107.27272727272728		126.36363636363637		126.36363636363637		148.1818181818182		145.45454545454544		168.1818181818182
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
3	uIa	yiA	0.3333333333333333	20.333333333333332	0	0			-2	222.54545454545453	-2	280.72727272727275	-2	338.90909090909093	0.3333333333333333	108.51515151515152	0.3333333333333333	166.69696969696972	0.3333333333333333	224.87878787878788	0.3333333333333333	341.24242424242425																																																																																																																																
5	iey	ieu			0.4	0.4			0.4	222.94545454545454	0.4	281.1272727272727	0.4	339.3090909090909							-2	339.24242424242425																																													-2	124.36363636363637	-2	146.1818181818182													-2	143.45454545454544	-2	166.1818181818182																																																																
5	Apriori	Id(Bk)Syl1>>Id(Bk)	0.06666666666666643	20.4																																																																																																																																																			
6	uoa	yOA	0.5	20.9	0	0.4	-2	106.18181818181819	-2	220.94545454545454	-2	279.1272727272727	-2	337.3090909090909					0.5	225.37878787878788	0.5	339.74242424242425																																																																																																																																
8	eyi	eui			0.4	0.8			0.4	221.34545454545454	0.4	279.5272727272727	0.4	337.7090909090909							-2	337.74242424242425																																													-2	122.36363636363637	-2	144.1818181818182													-2	141.45454545454544	-2	164.1818181818182																																																													-2	143.45454545454544	-2	166.1818181818182
9	Oei	oei	0.3333333333333333	21.23333333333333	0	0.8	0.3333333333333333	106.51515151515152	0.3333333333333333	221.6787878787879	0.3333333333333333	279.860606060606	0.3333333333333333	338.0424242424242					-2	223.37878787878788	-2	335.74242424242425																																																																																																									-2	93.81818181818181	-2	106.9090909090909	-2	105.27272727272728	-2	118.9090909090909									-2	124.36363636363637	-2	146.1818181818182	-2	141.45454545454544	-2	164.1818181818182
11	oEa	OeA	0.4	21.63333333333333	0	0.8	-2	104.51515151515152	-2	219.6787878787879	-2	277.860606060606	-2	336.0424242424242			0.4	167.09696969696972	0.4	223.77878787878788	0.4	336.1424242424242																																																																																																																																
12	Aii	aii	0.4	22.033333333333328	0	0.8			0.4	220.0787878787879	0.4	278.260606060606	0.4	336.4424242424242							-2	334.1424242424242																																																																																																																													-2	139.45454545454544	-2	162.1818181818182
13	EI	ei	0.3333333333333333	22.36666666666666	0	0.8					-2	276.260606060606	-2	334.4424242424242	0.3333333333333333	108.84848484848484	0.3333333333333333	167.43030303030307	0.3333333333333333	224.11212121212122	0.3333333333333333	334.47575757575754																																																																																																																																
14	IEu	ieu	0.3333333333333333	22.699999999999992	0	0.8					-2	274.260606060606	-2	332.4424242424242	0.3333333333333333	109.18181818181817	0.3333333333333333	167.7636363636364	0.3333333333333333	224.44545454545457	0.3333333333333333	334.80909090909086																																													-2	120.36363636363637	-2	142.1818181818182													-2	139.45454545454544	-2	162.1818181818182																																																																
15	auo	AyO	0.5	23.199999999999992	0	0.8	-2	102.51515151515152	-2	218.0787878787879	-2	272.260606060606	-2	330.4424242424242					0.5	224.94545454545457	0.5	335.30909090909086																																																																																																																																
16	iOy	iou			0.3333333333333333	1.1333333333333333	0.3333333333333333	102.84848484848484	0.3333333333333333	218.41212121212124	0.3333333333333333	272.5939393939393	0.3333333333333333	330.7757575757575					-2	222.94545454545457	-2	333.30909090909086																																																									-2	105.27272727272728	-2	118.9090909090909	-2	137.45454545454544	-2	160.1818181818182																																																																
