trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
2	Iaa	iAA	2	2	0	0			-2	98	-2	98	-2	98	2	102	2	102	2	102	2	102																																																																																																																																
4	yOO	uoo	2	4	0	0	2	102	2	100	2	100	2	100					-2	100	-2	100																																																																																																																																
5	uaE	uae			2	2					-2	98	-2	98			2	104	2	102	2	102																																																																																																																									-2	98	-2	98	-2	98	-2	98
7	AiO	aio	2	6	0	2	2	104	2	102	2	100	2	100					-2	100	-2	100																																																									-2	98	-2	98	-2	98	-2	98																																																													-2	96	-2	96
8	ooe	OOe	2	8	0	2	-2	102	-2	100	-2	98	-2	98					2	102	2	102																																																																																																									2	102	2	102	2	102	2	102									2	100	2	100	2	98	2	98
9	ieA	iea			2	4			2	102	2	100	2	100							-2	100																																													-2	98	-2	98													-2	96	-2	96																																																																
12	uau	yAy	2	10	0	4			-2	100	-2	98	-2	98							2	102																																																																																																																																
13	ouy	ouu			2	6			2	102	2	100	2	100							-2	100																																																																																																							2	102			2	104			2	104					2	102	2	102	2	102	2	102	2	100	2	100
14	Eaa	eaa	2	12	0	6					-2	98	-2	98			2	106	2	104	2	102																																													-2	96	-2	96													-2	94	-2	94																																																																
