trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100		100
1	Eau	eAy	2	2	0	0			-2	98	-2	98	-2	98			2	102	2	102	2	102																																																																																																																																
4	OeA	oEa	2	4	0	0	2	102	2	100	2	100	2	100			-2	100	-2	100	-2	100																																																																																																																																
7	eOe	EoE	2	6	0	0	2	104	2	102	2	102	2	102			-2	98	-2	98	-2	98																																																																																																																																
8	EoI	eOi	2	8	0	0	-2	102	-2	100	-2	100	-2	100	2	102	2	100	2	100	2	100																																																																																																																																
9	ua	yA	2	10	0	0			-2	98	-2	98	-2	98							2	102																																																																																																																																
11	iAA	Iaa	2	12	0	0			2	100	2	100	2	100	-2	100	-2	98	-2	98	-2	100																																																																																																																																
12	Oye	ouE	2	14	0	0	2	104	2	102	2	102	2	102			-2	96	-2	96	-2	98																																																																																																																																
13	oaI	oai			2	2							-2	100	2	102	2	98	2	98	2	100																																																																																																															-2	98													-2	98	-2	98
14	IoE	iOe	2	16	0	2	-2	102	-2	100	-2	100	-2	98	2	104	2	100	2	100	2	102																																																																																																																																
16	iOe	ioE			2	4	2	104	2	102	2	102	2	100			-2	98	-2	98	-2	100																																																							-2	98	-2	98	-2	98	-2	98	-2	98																																																																
17	EEE	eee	2	18	0	4					-2	100	-2	98			2	100	2	100	2	102																																																																																																																																
19	uuO	uuo			2	6	2	106	2	104	2	102	2	100					-2	98	-2	100																																																																																																																	2	102	2	102	2	102	2	102	2	102	2	102	2	100	2	100
20	aia	AiA	2	20	0	6			-2	102	-2	100	-2	98							2	102																																																													2	100	2	100																																																													2	102	2	102
24	iiE	IiE	2	22	0	6							2	100	-2	102	-2	98	-2	96	-2	100																																																																													-2	98	-2	98													-2	98	-2	98													-2	98	-2	96													-2	100	-2	100
26	ooa	OOA	2	24	0	6	-2	104	-2	100	-2	98	-2	98					2	98	2	102																																																																																																																																
29	oo	OO	2	26	0	6	-2	102	-2	98	-2	96	-2	96					2	100	2	104																																																																																																																																
30	eAA	Eaa	2	28	0	6			2	100	2	98	2	98			-2	96	-2	98	-2	102																																																																																																																																
32	iey	iEu			2	8			2	102	2	100	2	100			-2	94	-2	96	-2	100																																																					-2	98	-2	96	-2	96	-2	96	-2	98	-2	98																																																																
33	uio	yiO	2	30	0	8	-2	100	-2	100	-2	98	-2	98					2	98	2	102																																																									2	98	2	98	2	100	2	100																																																													2	102	2	102
34	iEa	ieA			2	10			-2	98	-2	96	-2	96			2	96	2	100	2	104																																																					2	100	2	98	2	100	2	100	2	102	2	102																																																																
