trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		65.16		94.91		121.05		147.93		50.0		50.0		64.9		93.87		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		52.06		52.66		55.67		57.75		50.0		50.0		50.0		50.0		53.91		54.88		61.32		64.41		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		51.81		52.48		53.92		55.07		50.0		50.0		50.0		50.0		55.47		57.5		61.42		64.65
1	aaI	aai			1.0	1.0							-2	145.93	1.0	51.0	1.0	51.0	1.0	65.9	1.0	94.87																																																																																																																													-2	59.42	-2	62.650000000000006
2	EEa	eea	2.0	2.0	2.0	3.0					-2	119.05	-2	143.93			2.0	53.0	2.0	67.9	2.0	96.87																																													-2	53.67	-2	55.75													-2	59.32	-2	62.41																																																																
3	EEu	eeu	2.0	4.0	2.0	5.0					-2	117.05	-2	141.93			2.0	55.0	2.0	69.9	2.0	98.87																																													-2	51.67	-2	53.75													-2	57.32	-2	60.41																																																																
4	oIo	oio			3.0	8.0							-2	139.93	3.0	54.0	3.0	58.0	3.0	72.9	3.0	101.87																																																									-2	51.91	-2	52.88	-2	55.32	-2	58.41																																													-2	51.92	-2	53.07													-2	57.42	-2	60.650000000000006
5	uoE	uoe			4.0	12.0					-2	115.05	-2	137.93			4.0	62.0	4.0	76.9	4.0	105.87																																																																																																									-2	49.81	-2	50.48	-2	49.92	-2	51.07									-2	53.47	-2	55.5	-2	55.42	-2	58.650000000000006
6	EIu	eiu	1.4285714285714286	5.428571428571429	1.4285714285714286	13.428571428571429					-2	113.05	-2	135.93	1.4285714285714286	55.42857142857143	1.4285714285714286	63.42857142857143	1.4285714285714286	78.32857142857144	1.4285714285714286	107.29857142857144																																															-2	51.75													-2	53.32	-2	56.41																																																																
7	IoI	iOi	1.1428571428571428	6.571428571428571	1.1428571428571428	14.571428571428571	-2	63.16	-2	92.91	-2	111.05	-2	133.93	1.1428571428571428	56.57142857142858	1.1428571428571428	64.57142857142857	1.1428571428571428	79.47142857142858	1.1428571428571428	108.44142857142857																																																																																																																																
8	aoE	aoe			4.0	18.57142857142857					-2	109.05	-2	131.93			4.0	68.57142857142857	4.0	83.47142857142858	4.0	112.44142857142857																																																																																																									-2	47.81	-2	48.48	-2	47.92	-2	49.07									-2	51.47	-2	53.5	-2	53.42	-2	56.650000000000006
10	Ia	iA	0.8571428571428571	7.428571428571428	0.8571428571428571	19.428571428571427			-2	90.91	-2	107.05	-2	129.93	0.8571428571428571	57.42857142857143	0.8571428571428571	69.42857142857143	0.8571428571428571	84.32857142857144	0.8571428571428571	113.29857142857144																																																																																																																																
