trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		63.53		89.13		101.94999999999999		129.0		54.7		69.19		83.87		112.69		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		52.03		52.7		53.73		55.03		57.35		59.89		50.0		50.0		50.0		50.0		50.0		50.0		50.83		51.52		50.0		50.0		50.0		50.0		50.0		50.0		52.48		53.769999999999996		50.0		50.0		50.0		50.0		50.0		50.0		54.5		56.48		50.0		50.0		50.0		50.0		50.0		50.0		58.08		61.2
1	EE	ee	0.6666666666666666	0.6666666666666666	0	0					-2	99.94999999999999	-2	127.0			0.6666666666666666	69.85666666666667	0.6666666666666666	84.53666666666668	0.6666666666666666	113.35666666666667																																																																																																																																
3	uIa	yiA	0.75	1.4166666666666665	0	0			-2	87.13	-2	97.94999999999999	-2	125.0	0.75	55.45	0.75	70.60666666666667	0.75	85.28666666666668	0.75	114.10666666666667																																																																																																																																
4	uaa	yAA	1.2	2.6166666666666663	0	0			-2	85.13	-2	95.94999999999999	-2	123.0							1.2	115.30666666666667																																																																																																																																
5	IIa	iiA	0.75	3.3666666666666663	0	0			-2	83.13	-2	93.94999999999999	-2	121.0	0.75	56.2	0.75	71.35666666666667	0.75	86.03666666666668	0.75	116.05666666666667																																																																																																																																
6	IEa	iEa	1.1666666666666667	4.533333333333333	0	0							-2	119.0	1.1666666666666667	57.36666666666667	1.1666666666666667	72.52333333333334	1.1666666666666667	87.20333333333335	1.1666666666666667	117.22333333333334																																																					-2	50.03	-2	50.7	-2	51.73	-2	53.03	-2	55.35	-2	57.89																																																																
7	EaE	eAe	0.8571428571428571	5.39047619047619	0	0			-2	81.13	-2	91.94999999999999	-2	117.0			0.8571428571428571	73.3804761904762	0.8571428571428571	88.06047619047621	0.8571428571428571	118.0804761904762																																																																																																																																
9	uaa	yAA	1.2	6.59047619047619	0	0			-2	79.13	-2	89.94999999999999	-2	115.0							1.2	119.28047619047621																																																																																																																																
11	OAe	oaE	0.75	7.34047619047619	0	0	0.75	64.28	0.75	79.88	0.75	90.69999999999999	0.75	115.75			-2	71.3804761904762	-2	86.06047619047621	-2	117.28047619047621																																																																																																																																
12	iyA	iua			0.8571428571428571	0.8571428571428571			0.8571428571428571	80.73714285714286	0.8571428571428571	91.55714285714285	0.8571428571428571	116.60714285714286							-2	115.28047619047621																																																													-2	53.35	-2	55.89																																																																
13	yOe	uoE	0.75	8.09047619047619	0	0.8571428571428571	0.75	65.03	0.75	81.48714285714286	0.75	92.30714285714285	0.75	117.35714285714286			-2	69.3804761904762	-2	84.06047619047621	-2	113.28047619047621																																																																																																																																
15	Iua	iua	0.75	8.84047619047619	0	0.8571428571428571							-2	115.35714285714286	0.75	58.11666666666667	0.75	70.1304761904762	0.75	84.81047619047621	0.75	114.03047619047621																																																													-2	51.35	-2	53.89																																																																
16	IuE	iye	0.75	9.59047619047619	0	0.8571428571428571			-2	79.48714285714286	-2	90.30714285714285	-2	113.35714285714286	0.75	58.86666666666667	0.75	70.8804761904762	0.75	85.56047619047621	0.75	114.78047619047621																																																																																																																																
19	Oei	oEi	1.2857142857142858	10.876190476190477	0	0.8571428571428571	1.2857142857142858	66.3157142857143	1.2857142857142858	80.77285714285715	1.2857142857142858	91.59285714285714	1.2857142857142858	114.64285714285715			-2	68.8804761904762	-2	83.56047619047621	-2	112.78047619047621																																																																																													-2	50.48	-2	51.769999999999996													-2	52.5	-2	54.48													-2	56.08	-2	59.2
22	Ioo	iOO	0.8888888888888888	11.765079365079366	0	0.8571428571428571	-2	64.3157142857143	-2	78.77285714285715	-2	89.59285714285714	-2	112.64285714285715	0.8888888888888888	59.75555555555555	0.8888888888888888	69.76936507936509	0.8888888888888888	84.4493650793651	0.8888888888888888	113.6693650793651																																																																																																																																
25	iiA	Iia	1.5555555555555556	13.320634920634921	0	0.8571428571428571			1.5555555555555556	80.3284126984127	1.5555555555555556	91.1484126984127	1.5555555555555556	114.19841269841271	-2	57.75555555555555	-2	67.76936507936509	-2	82.4493650793651	-2	111.6693650793651																																																													-2	49.35	-2	51.89													-2	48.83	-2	49.52													-2	48.48	-2	49.769999999999996													-2	50.5	-2	52.48													-2	54.08	-2	57.2
27	IaE	iaE	1.0	14.320634920634921	0	0.8571428571428571							-2	112.19841269841271	1.0	58.75555555555555	1.0	68.76936507936509	1.0	83.4493650793651	1.0	112.6693650793651																																																							-2	48.7			-2	51.03	-2	47.35	-2	49.89																																																																
28	Oee	oEE	0.75	15.070634920634921	0	0.8571428571428571	0.75	65.0657142857143	0.75	81.0784126984127	0.75	91.8984126984127	0.75	112.94841269841271			-2	66.76936507936509	-2	81.4493650793651	-2	110.6693650793651																																																																																																																																
29	IIa	Iia			1.375	2.232142857142857							-2	110.94841269841271	1.375	60.13055555555555	1.375	68.14436507936509	1.375	82.8243650793651	1.375	112.0443650793651																																																													-2	45.35	-2	47.89													-2	46.83	-2	47.52													-2	46.48	-2	47.769999999999996													-2	48.5	-2	50.48													-2	52.08	-2	55.2
30	Eoo	eOO	1.0	16.070634920634923	0	2.232142857142857	-2	63.06571428571429	-2	79.0784126984127	-2	89.8984126984127	-2	108.94841269841271			1.0	69.14436507936509	1.0	83.8243650793651	1.0	113.0443650793651																																																																																																																																
33	iiA	Iia	1.5555555555555556	17.62619047619048	0	2.232142857142857			1.5555555555555556	80.63396825396826	1.5555555555555556	91.45396825396826	1.5555555555555556	110.50396825396827	-2	58.13055555555555	-2	67.14436507936509	-2	81.8243650793651	-2	111.0443650793651																																																													-2	43.35	-2	45.89													-2	44.83	-2	45.52													-2	44.48	-2	45.769999999999996													-2	46.5	-2	48.48													-2	50.08	-2	53.2
36	uuo	yyO	1.1428571428571428	18.769047619047623	0	2.232142857142857	-2	61.06571428571429	-2	78.63396825396826	-2	89.45396825396826	-2	108.50396825396827					1.1428571428571428	82.96722222222223	1.1428571428571428	112.18722222222223																																																																																																																																
