trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		78.1		137.94		191.72		245.22		50.0		50.0		79.74		138.86		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.66		54.96		60.78		64.94		50.0		50.0		50.0		50.0		57.58		59.54		72.53999999999999		78.48		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		50.0		53.6		55.08		57.8		59.980000000000004		50.0		50.0		50.0		50.0		60.96		65.02		73.0		79.24
0	Apriori	Id(Bk)Syl1>>Id(Bk)	20	20																																																																																																																																																		
1	uIa	uia			2	2							-2	243.22	2	52.0	2	52.0	2	81.74	2	140.86																																																													-2	70.53999999999999	-2	76.48																																																													-2	71.0	-2	77.24
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	22																																																																																																																																																			
3	IEI	iei	2	24	0	2					-2	189.72	-2	241.22	2	54.0	2	54.0	2	83.74	2	142.86																																																																																																																																
6	uEI	yei	2	26	0	2			-2	135.94	-2	187.72	-2	239.22	2	56.0	2	56.0	2	85.74	2	144.86																																																																																																																																
7	Eua	eyA	2	28	0	2			-2	133.94	-2	185.72	-2	237.22			2	58.0	2	87.74	2	146.86																																																																																																																																
8	Euu	eyy	2	30	0	2			-2	131.94	-2	183.72	-2	235.22			2	60.0	2	89.74	2	148.86																																																																																																																																
9	aEI	aei			2	4					-2	181.72	-2	233.22	2	58.0	2	62.0	2	91.74	2	150.86																																																																																																																									-2	58.96	-2	63.019999999999996	-2	69.0	-2	75.24
11	oo	OO	2	32	0	4	-2	76.1	-2	129.94	-2	179.72	-2	231.22					2	93.74	2	152.86																																																																																																																																
12	ao	AO	2	34	0	4	-2	74.1	-2	127.94	-2	177.72	-2	229.22					2	95.74	2	154.86																																																																																																																																
13	uao	yAO	2	36	0	4	-2	72.1	-2	125.94	-2	175.72	-2	227.22					2	97.74	2	156.86																																																																																																																																
14	uuI	uui			2	6							-2	225.22	2	60.0	2	64.0	2	99.74	2	158.86																																																																																																																													-2	67.0	-2	73.24
15	EIu	eiy	2	38	0	6			-2	123.94	-2	173.72	-2	223.22	2	62.0	2	66.0	2	101.74	2	160.86																																																																																																																																
16	IIu	iiu	2	40	0	6							-2	221.22	2	64.0	2	68.0	2	103.74	2	162.86																																																													-2	68.53999999999999	-2	74.48																																																																
17	oEE	Oee	2	42	0	6	-2	70.1	-2	121.94	-2	171.72	-2	219.22			2	70.0	2	105.74	2	164.86																																																																																																																																
19	aIo	AiO	2	44	0	6	-2	68.1	-2	119.94	-2	169.72	-2	217.22	2	66.0	2	72.0	2	107.74	2	166.86																																																																																																																																
20	oa	OA	2	46	0	6	-2	66.1	-2	117.94	-2	167.72	-2	215.22					2	109.74	2	168.86																																																																																																																																
21	Iu	iy	2	48	0	6			-2	115.94	-2	165.72	-2	213.22	2	68.0	2	74.0	2	111.74	2	170.86																																																																																																																																
22	auE	Aye	2	50	0	6			-2	113.94	-2	163.72	-2	211.22			2	76.0	2	113.74	2	172.86																																																																																																																																
24	Ia	ia	2	52	0	6							-2	209.22	2	70.0	2	78.0	2	115.74	2	174.86																																																													-2	66.53999999999999	-2	72.48																																																																
26	aoI	AOi	2	54	0	6	-2	64.1	-2	111.94	-2	161.72	-2	207.22	2	72.0	2	80.0	2	117.74	2	176.86																																																																																																																																
28	aEE	Aee	2	56	0	6			-2	109.94	-2	159.72	-2	205.22			2	82.0	2	119.74	2	178.86																																																																																																																																
29	oEo	OeO	2	58	0	6	-2	62.099999999999994	-2	107.94	-2	157.72	-2	203.22			2	84.0	2	121.74	2	180.86																																																																																																																																
30	IaE	iae	2	60	0	6					-2	155.72	-2	201.22	2	74.0	2	86.0	2	123.74	2	182.86																																																													-2	64.53999999999999	-2	70.48																																																									-2	56.96	-2	61.019999999999996	-2	65.0	-2	71.24
31	auI	aui			2	8							-2	199.22	2	76.0	2	88.0	2	125.74	2	184.86																																																																																																																													-2	63.0	-2	69.24
32	aao	AAO	2	62	0	8	-2	60.099999999999994	-2	105.94	-2	153.72	-2	197.22					2	127.74	2	186.86																																																																																																																																
33	aI	Ai	2	64	0	8			-2	103.94	-2	151.72	-2	195.22	2	78.0	2	90.0	2	129.74	2	188.86																																																																																																																																
34	EoI	eoi	2	66	0	8					-2	149.72	-2	193.22	2	80.0	2	92.0	2	131.74	2	190.86																																									-2	51.66	-2	52.96	-2	58.78	-2	62.94									-2	55.58	-2	57.54	-2	62.53999999999999	-2	68.48																																													-2	55.8	-2	57.980000000000004													-2	61.0	-2	67.24
35	oE	Oe	2	68	0	8	-2	58.099999999999994	-2	101.94	-2	147.72	-2	191.22			2	94.0	2	133.74	2	192.86																																																																																																																																
36	EEo	eeo	2	70	0	8					-2	145.72	-2	189.22			2	96.0	2	135.74	2	194.86																																									-2	49.66	-2	50.96	-2	56.78	-2	60.94									-2	53.58	-2	55.54	-2	60.53999999999999	-2	66.48																																																																
38	AiA	aia	2	72	0	8			2	103.94	2	147.72	2	191.22							-2	192.86																																																													-2	58.53999999999999	-2	64.48																																																													-2	59.0	-2	65.24
