trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		112.97		138.16		150.91		177.51999999999998		104.89		119.94		134.6		164.41		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.78		102.5		103.88		105.15		107.43		109.88		100.0		100.0		100.0		100.0		100.0		100.0		101.13		101.82		100.0		100.0		100.0		100.0		100.0		100.0		103.13		104.5		100.0		100.0		100.0		100.0		100.0		100.0		105.06		107.12		100.0		100.0		100.0		100.0		100.0		100.0		108.62		111.84
1	oaI	OAi	1.1428571428571428	1.1428571428571428	1.1428571428571428	1.1428571428571428	-2	110.97	-2	136.16	-2	148.91	-2	175.51999999999998	1.1428571428571428	106.03285714285714	1.1428571428571428	121.08285714285714	1.1428571428571428	135.74285714285713	1.1428571428571428	165.55285714285714																																																																																																																																
4	IuI	iui	1.4285714285714286	2.571428571428571	1.4285714285714286	2.571428571428571							-2	173.51999999999998	1.4285714285714286	107.46142857142857	1.4285714285714286	122.51142857142857	1.4285714285714286	137.17142857142855	1.4285714285714286	166.98142857142855																																																													-2	105.43	-2	107.88																																																													-2	106.62	-2	109.84
5	uuI	uui			1.0	3.571428571428571							-2	171.51999999999998	1.0	108.46142857142857	1.0	123.51142857142857	1.0	138.17142857142855	1.0	167.98142857142855																																																																																																																													-2	104.62	-2	107.84
7	yie	uiE	3.6666666666666665	6.238095238095237	3.6666666666666665	7.238095238095237			3.6666666666666665	139.82666666666665	3.6666666666666665	152.57666666666665	3.6666666666666665	175.18666666666664			-2	121.51142857142857	-2	136.17142857142855	-2	165.98142857142855																																																					-2	99.78	-2	100.5	-2	101.88	-2	103.15	-2	103.43	-2	105.88																																																													-2	102.62	-2	105.84
9	oIa	oia			2.3333333333333335	9.571428571428571							-2	173.18666666666664	2.3333333333333335	110.7947619047619	2.3333333333333335	123.8447619047619	2.3333333333333335	138.5047619047619	2.3333333333333335	168.3147619047619																																																													-2	101.43	-2	103.88																																													-2	103.06	-2	105.12													-2	100.62	-2	103.84
10	Ea	eA	1.0	7.238095238095237	1.0	10.571428571428571			-2	137.82666666666665	-2	150.57666666666665	-2	171.18666666666664			1.0	124.8447619047619	1.0	139.5047619047619	1.0	169.3147619047619																																																																																																																																
13	Oyi	oui	1.4285714285714286	8.666666666666666	1.4285714285714286	12.0	1.4285714285714286	112.39857142857143	1.4285714285714286	139.25523809523807	1.4285714285714286	152.00523809523807	1.4285714285714286	172.61523809523806					-2	137.5047619047619	-2	167.3147619047619																																																																																																															-2	103.12													-2	98.62	-2	101.84
15	Iou	iou	1.4285714285714286	10.095238095238095	1.4285714285714286	13.428571428571429							-2	170.61523809523806	1.4285714285714286	112.22333333333333	1.4285714285714286	126.27333333333333	1.4285714285714286	138.9333333333333	1.4285714285714286	168.7433333333333																																																									-2	99.88	-2	101.15	-2	99.43	-2	101.88																																																																
16	Eau	eAy	1.0	11.095238095238095	1.0	14.428571428571429			-2	137.25523809523807	-2	150.00523809523807	-2	168.61523809523806			1.0	127.27333333333333	1.0	139.9333333333333	1.0	169.7433333333333																																																																																																																																
17	yiA	uia	1.6666666666666667	12.761904761904761	1.6666666666666667	16.095238095238095			1.6666666666666667	138.92190476190473	1.6666666666666667	151.67190476190473	1.6666666666666667	170.2819047619047							-2	167.7433333333333																																																													-2	97.43	-2	99.88																																																													-2	96.62	-2	99.84
19	iOe	IoE	1.1428571428571428	13.904761904761903	1.1428571428571428	17.238095238095237	1.1428571428571428	113.54142857142857	1.1428571428571428	140.06476190476187	1.1428571428571428	152.81476190476187	1.1428571428571428	171.42476190476185	-2	110.22333333333333	-2	125.27333333333333	-2	137.9333333333333	-2	165.7433333333333																																																																																																																																
20	oo	OO	1.6	15.504761904761903	1.6	18.83809523809524	-2	111.54142857142857	-2	138.06476190476187	-2	150.81476190476187	-2	169.42476190476185					1.6	139.5333333333333	1.6	167.3433333333333																																																																																																																																
23	IuE	iuE	1.4285714285714286	16.93333333333333	1.4285714285714286	20.266666666666666							-2	167.42476190476185	1.4285714285714286	111.65190476190476	1.4285714285714286	126.70190476190476	1.4285714285714286	140.96190476190472	1.4285714285714286	168.77190476190472																																																							-2	98.5			-2	99.15	-2	95.43	-2	97.88																																																																
