trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		114.45		143.17		170.05		196.65		100.0		100.0		115.28		145.07		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.97		102.68		105.82		107.87		100.0		100.0		100.0		100.0		103.93		104.94		111.62		114.85		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		101.94		102.6		103.95		105.1		100.0		100.0		100.0		100.0		105.94		107.99		111.86		114.94
1	auo	AyO	0.6666666666666666	0.6666666666666666	0	0	-2	112.45	-2	141.17	-2	168.05	-2	194.65					0.6666666666666666	115.94666666666667	0.6666666666666666	145.73666666666665																																																																																																																																
2	Iao	iAO	0.4	1.0666666666666667	0	0	-2	110.45	-2	139.17	-2	166.05	-2	192.65	0.4	100.4	0.4	100.4	0.4	116.34666666666668	0.4	146.13666666666666																																																																																																																																
3	ao	AO	0.6666666666666666	1.7333333333333334	0	0	-2	108.45	-2	137.17	-2	164.05	-2	190.65					0.6666666666666666	117.01333333333335	0.6666666666666666	146.8033333333333																																																																																																																																
4	aa	AA	1.0	2.7333333333333334	0	0			-2	135.17	-2	162.05	-2	188.65							1.0	147.8033333333333																																																																																																																																
5	Eu	ey	0.5	3.2333333333333334	0	0			-2	133.17	-2	160.05	-2	186.65			0.5	100.9	0.5	117.51333333333335	0.5	148.3033333333333																																																																																																																																
6	uII	uii			0.4	0.4							-2	184.65	0.4	100.80000000000001	0.4	101.30000000000001	0.4	117.91333333333336	0.4	148.70333333333332																																																																																																																													-2	109.86	-2	112.94
7	uIE	yie	0.4	3.6333333333333333	0	0.4			-2	131.17	-2	158.05	-2	182.65	0.4	101.20000000000002	0.4	101.70000000000002	0.4	118.31333333333336	0.4	149.10333333333332																																																																																																																																
10	uI	yi	0.4	4.033333333333333	0	0.4			-2	129.17	-2	156.05	-2	180.65	0.4	101.60000000000002	0.4	102.10000000000002	0.4	118.71333333333337	0.4	149.50333333333333																																																																																																																																
11	uI	yi	0.4	4.433333333333334	0	0.4			-2	127.16999999999999	-2	154.05	-2	178.65	0.4	102.00000000000003	0.4	102.50000000000003	0.4	119.11333333333337	0.4	149.90333333333334																																																																																																																																
