trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		130.78		189.68		241.68		294.72		100.0		100.0		129.78		189.44		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.72		105.1		111.36		115.74000000000001		100.0		100.0		100.0		100.0		107.7		109.96		122.78		129.22		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		100.0		103.54		104.92		107.28		109.52		100.0		100.0		100.0		100.0		111.68		116.08		122.86		129.5
1	uoI	yOi	0.4	0.4	0	0	-2	128.78	-2	187.68	-2	239.68	-2	292.72	0.4	100.4	0.4	100.4	0.4	130.18	0.4	189.84																																																																																																																																
2	Euo	eyO	0.5	0.9	0	0	-2	126.78	-2	185.68	-2	237.68	-2	290.72			0.5	100.9	0.5	130.68	0.5	190.34																																																																																																																																
3	auE	aue			0.5	0.5					-2	235.68	-2	288.72			0.5	101.4	0.5	131.18	0.5	190.84																																																																																																																									-2	109.68	-2	114.08	-2	120.86	-2	127.5
4	oE	oe			0.5	1.0					-2	233.68	-2	286.72			0.5	101.9	0.5	131.68	0.5	191.34																																																																																																									-2	101.54	-2	102.92	-2	105.28	-2	107.52									-2	107.68	-2	112.08	-2	118.86	-2	125.5
5	Ioa	ioa	0.4	1.3	0	1.0							-2	284.72	0.4	100.80000000000001	0.4	102.30000000000001	0.4	132.08	0.4	191.74																																																									-2	105.7	-2	107.96	-2	120.78	-2	127.22																																																																
6	Io	iO	0.4	1.7000000000000002	0	1.0	-2	124.78	-2	183.68	-2	231.68	-2	282.72	0.4	101.20000000000002	0.4	102.70000000000002	0.4	132.48000000000002	0.4	192.14000000000001																																																																																																																																
7	uaa	yAA	1.0	2.7	0	1.0			-2	181.68	-2	229.68	-2	280.72							1.0	193.14000000000001																																																																																																																																
8	EuE	eye	0.5	3.2	0	1.0			-2	179.68	-2	227.68	-2	278.72			0.5	103.20000000000002	0.5	132.98000000000002	0.5	193.64000000000001																																																																																																																																
9	uoE	uoe			0.5	1.5					-2	225.68	-2	276.72			0.5	103.70000000000002	0.5	133.48000000000002	0.5	194.14000000000001																																																																																																									-2	99.54	-2	100.92	-2	103.28	-2	105.52									-2	105.68	-2	110.08	-2	116.86	-2	123.5
