trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		162.83		187.82		200.66		227.98000000000002		154.66		169.06		183.75		213.54		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.56		152.21		153.65		154.85		157.59		160.11		150.0		150.0		150.0		150.0		150.0		150.0		151.01		151.63		150.0		150.0		150.0		150.0		150.0		150.0		152.91		154.11		150.0		150.0		150.0		150.0		150.0		150.0		154.71		156.51		150.0		150.0		150.0		150.0		150.0		150.0		158.29		161.29
3	oI	oi			2	2							-2	225.98000000000002	2	156.66	2	171.06	2	185.75	2	215.54																																																																																																													-2	152.71	-2	154.51													-2	156.29	-2	159.29
4	oEo	OeO	2	2	2	4	-2	160.83	-2	185.82	-2	198.66	-2	223.98000000000002			2	173.06	2	187.75	2	217.54																																																																																																																																
6	Iu	iy	2	4	2	6			-2	183.82	-2	196.66	-2	221.98000000000002	2	158.66	2	175.06	2	189.75	2	219.54																																																																																																																																
7	EoE	eOe	2	6	2	8	-2	158.83	-2	181.82	-2	194.66	-2	219.98000000000002			2	177.06	2	191.75	2	221.54																																																																																																																																
8	eye	EuE	2	8	2	10			2	183.82	2	196.66	2	221.98000000000002			-2	175.06	-2	189.75	-2	219.54																																																																																																																																
10	iii	Iii	2	10	2	12							2	223.98000000000002	-2	156.66	-2	173.06	-2	187.75	-2	217.54																																																																													-2	149.01	-2	149.63													-2	150.91	-2	152.11													-2	150.71	-2	152.51													-2	154.29	-2	157.29
12	II	Ii			2	14							-2	221.98000000000002	2	158.66	2	175.06	2	189.75	2	219.54																																																																													-2	147.01	-2	147.63													-2	148.91	-2	150.11													-2	148.71	-2	150.51													-2	152.29	-2	155.29
14	aoa	AOA	2	12	2	16	-2	156.83	-2	181.82	-2	194.66	-2	219.98000000000002					2	191.75	2	221.54																																																																																																																																
15	eOO	Eoo	2	14	2	18	2	158.83	2	183.82	2	196.66	2	221.98000000000002			-2	173.06	-2	189.75	-2	219.54																																																																																																																																
