trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.65		167.02		191.01		214.72		150.0		155.24		178.56		227.01999999999998		150.0		150.0		150.0		150.0		151.21		152.11		153.5		156.24		150.0		150.0		150.0		150.0		153.3		156.26		160.65		169.09		150.0		150.0		150.0		150.0		155.93		159.02		169.14		178.34		150.0		150.0		150.0		150.0		158.36		161.28		177.42000000000002		186.04		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.06		151.66		152.09		153.23		150.0		150.0		150.0		150.0		153.52		154.93		157.49		159.8		150.0		150.0		150.0		150.0		159.45		162.18		169.15		173.63
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	eyO	euo			2	2	2	157.65	2	169.02	2	193.01	2	216.72					-2	176.56	-2	225.01999999999998																																											-2	157.02	-2	167.14	-2	176.34											-2	159.28	-2	175.42000000000002	-2	184.04																																																																
1	Apriori	Id(Bk)Syl1>>Id(Bk)	2	32																																																																																																																																																			
2	iyA	iua			2	4			2	171.02	2	195.01	2	218.72							-2	223.01999999999998																																																													-2	173.42000000000002	-2	182.04																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	2	34																																																																																																																																																			
3	yyi	yui			2	6			2	173.02	2	197.01	2	220.72							-2	221.01999999999998																													-2	158.65	-2	167.09													-2	165.14	-2	174.34													-2	171.42000000000002	-2	180.04																																																													-2	167.15	-2	171.63
3	Apriori	Id(Bk)Syl1>>Id(Bk)	2	36																																																																																																																																																			
4	eyA	eua			2	8			2	175.02	2	199.01	2	222.72							-2	219.01999999999998																																													-2	163.14	-2	172.34													-2	169.42000000000002	-2	178.04																																																																
4	Apriori	Id(Bk)Syl1>>Id(Bk)	2	38																																																																																																																																																			
5	Oy	Ou			2	10			2	177.02	2	201.01	2	224.72							-2	217.01999999999998													-2	151.5	-2	154.24													-2	156.65	-2	165.09													-2	161.14	-2	170.34													-2	167.42000000000002	-2	176.04																																																																
5	Apriori	Id(Bk)Syl1>>Id(Bk)	2	40																																																																																																																																																			
6	aou	Aou	2	42	0	10			-2	175.02	-2	199.01	-2	222.72							2	219.01999999999998																									-2	151.3	-2	154.26	-2	154.65	-2	163.09									-2	153.93	-2	155.02	-2	159.14	-2	168.34									-2	156.36	-2	157.28	-2	165.42000000000002	-2	174.04																																																																
7	Ia	ia	2	44	0	10							-2	220.72	2	152.0	2	157.24	2	178.56	2	221.01999999999998																																																													-2	163.42000000000002	-2	172.04																																																																
8	aEa	Aea	2	46	0	10			-2	173.02	-2	197.01	-2	218.72			2	159.24	2	180.56	2	223.01999999999998																															-2	161.09													-2	157.14	-2	166.34													-2	161.42000000000002	-2	170.04																																																																
9	AAe	aae	2	48	0	10			2	175.02	2	199.01	2	220.72							-2	221.01999999999998																																																																																																																									-2	157.45	-2	160.18	-2	165.15	-2	169.63
10	uIE	uie			2	12					-2	197.01	-2	218.72	2	154.0	2	161.24	2	182.56	2	223.01999999999998																																																																																																																											-2	158.18	-2	163.15	-2	167.63
12	Iuu	iuu	2	50	0	12							-2	216.72	2	156.0	2	163.24	2	184.56	2	225.01999999999998																																																													-2	159.42000000000002	-2	168.04																																																																
13	eOy	eou			2	14	2	159.65	2	177.02	2	199.01	2	218.72					-2	182.56	-2	223.01999999999998																																									-2	151.93	-2	153.02	-2	155.14	-2	164.34									-2	154.36	-2	155.28	-2	157.42000000000002	-2	166.04																																																																
14	Aei	aei	2	52	0	14			2	179.02	2	201.01	2	220.72							-2	221.01999999999998																																																																																																																									-2	155.45	-2	156.18	-2	161.15	-2	165.63
16	yAy	yau			2	16			2	181.02	2	203.01	2	222.72							-2	219.01999999999998																													-2	152.65	-2	159.09													-2	153.14	-2	162.34													-2	155.42000000000002	-2	164.04																																																																
17	EEa	eea	2	54	0	16					-2	201.01	-2	220.72			2	165.24	2	184.56	2	221.01999999999998																																													-2	151.14	-2	160.34													-2	153.42000000000002	-2	162.04																																																																
18	Eo	eo	2	56	0	16					-2	199.01	-2	218.72			2	167.24	2	186.56	2	223.01999999999998																																									-2	149.93	-2	151.02	-2	149.14	-2	158.34									-2	152.36	-2	153.28	-2	151.42000000000002	-2	160.04																																																																
19	iO	io			2	18	2	161.65	2	183.02	2	201.01	2	220.72					-2	184.56	-2	221.01999999999998																																																									-2	150.36	-2	151.28	-2	149.42000000000002	-2	158.04																																																																
20	aau	Aau	2	58	0	18			-2	181.02	-2	199.01	-2	218.72							2	223.01999999999998																													-2	150.65	-2	157.09													-2	147.14	-2	156.34													-2	147.42000000000002	-2	156.04																																																																
21	OAy	Oau			2	20			2	183.02	2	201.01	2	220.72							-2	221.01999999999998													-2	149.5	-2	152.24													-2	148.65	-2	155.09													-2	145.14	-2	154.34													-2	145.42000000000002	-2	154.04																																																																
22	EoE	Eoe			2	22					-2	199.01	-2	218.72			2	169.24	2	186.56	2	223.01999999999998																																																																																											-2	149.66			-2	151.23									-2	151.52	-2	152.93	-2	155.49	-2	157.8									-2	153.45	-2	154.18	-2	159.15	-2	163.63
23	EaI	Eai			2	24							-2	216.72	2	158.0	2	171.24	2	188.56	2	225.01999999999998																																																																																															-2	149.23															-2	155.8													-2	157.15	-2	161.63
24	OAi	Oai			2	26			2	185.02	2	201.01	2	218.72							-2	223.01999999999998													-2	147.5	-2	150.24													-2	146.65	-2	153.09													-2	143.14	-2	152.34													-2	143.42000000000002	-2	152.04																																																													-2	155.15	-2	159.63
25	eyA	eua			2	28			2	187.02	2	203.01	2	220.72							-2	221.01999999999998																																													-2	141.14	-2	150.34													-2	141.42000000000002	-2	150.04																																																																
27	yyi	uui	2	60	0	28			2	189.02	2	205.01	2	222.72							-2	219.01999999999998																																																																																																																													-2	153.15	-2	157.63
28	EIa	eia	2	62	0	28					-2	203.01	-2	220.72	2	160.0	2	173.24	2	190.56	2	221.01999999999998																																															-2	148.34													-2	139.42000000000002	-2	148.04																																																																
29	uI	ui			2	30							-2	218.72	2	162.0	2	175.24	2	192.56	2	223.01999999999998																																																																																																																													-2	151.15	-2	155.63
30	ooE	Ooe	2	64	0	30	-2	159.65	-2	187.02	-2	201.01	-2	216.72			2	177.24	2	194.56	2	225.01999999999998									-2	149.21	-2	150.11	-2	145.5	-2	148.24									-2	149.3	-2	152.26	-2	144.65	-2	151.09									-2	147.93	-2	149.02	-2	139.14	-2	146.34									-2	148.36	-2	149.28	-2	137.42000000000002	-2	146.04																																									-2	149.52	-2	150.93	-2	153.49	-2	153.8									-2	151.45	-2	152.18	-2	149.15	-2	153.63
31	eiO	Eio	2	66	0	30	2	161.65	2	189.02	2	203.01	2	218.72			-2	175.24	-2	192.56	-2	223.01999999999998																																																									-2	146.36	-2	147.28	-2	135.42000000000002	-2	144.04																													-2	150.09	-2	147.23													-2	151.49	-2	151.8													-2	147.15	-2	151.63
32	OOA	ooa	2	68	0	30	2	163.65	2	191.02	2	205.01	2	220.72					-2	190.56	-2	221.01999999999998																																																																																																																																
33	eAA	Eaa	2	70	0	30			2	193.02	2	207.01	2	222.72			-2	173.24	-2	188.56	-2	219.01999999999998																																																																																																																																
34	Eoa	eoa	2	72	0	30					-2	205.01	-2	220.72			2	175.24	2	190.56	2	221.01999999999998																																									-2	145.93	-2	147.02	-2	137.14	-2	144.34									-2	144.36	-2	145.28	-2	133.42000000000002	-2	142.04																																																																
35	yAi	yai			2	32			2	195.02	2	207.01	2	222.72							-2	219.01999999999998																													-2	142.65	-2	149.09													-2	135.14	-2	142.34													-2	131.42000000000002	-2	140.04																																																													-2	145.15	-2	149.63
36	aE	ae			2	34					-2	205.01	-2	220.72			2	177.24	2	192.56	2	221.01999999999998																																																																																																																									-2	149.45	-2	150.18	-2	143.15	-2	147.63
37	eeA	eea			2	36			2	197.02	2	207.01	2	222.72							-2	219.01999999999998																																													-2	133.14	-2	140.34													-2	129.42000000000002	-2	138.04																																																																
