trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.67		166.63		190.86		214.13		150.0		155.46		179.14		227.82999999999998		150.0		150.0		150.0		150.0		150.98		151.91		153.34		156.23		150.0		150.0		150.0		150.0		153.03		155.74		159.85		168.38		150.0		150.0		150.0		150.0		156.11		158.98		168.56		177.8		150.0		150.0		150.0		150.0		158.93		161.53		176.7		185.3		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.09		151.92		152.18		153.29		150.0		150.0		150.0		150.0		154.04		155.58		157.68		159.83		150.0		150.0		150.0		150.0		159.76		162.91		168.91		173.24
1	AOO	Aoo			4.666666666666667	4.666666666666667	4.666666666666667	160.33666666666664	4.666666666666667	171.29666666666665	4.666666666666667	195.52666666666667	4.666666666666667	218.79666666666665					-2	177.14	-2	225.82999999999998																									-2	151.03	-2	153.74	-2	157.85	-2	166.38									-2	154.11	-2	156.98	-2	166.56	-2	175.8									-2	156.93	-2	159.53	-2	174.7	-2	183.3																																																																
2	eiA	eia			1.6	6.2666666666666675			1.6	172.89666666666665	1.6	197.12666666666667	1.6	220.39666666666665							-2	223.82999999999998																																															-2	173.8													-2	172.7	-2	181.3																																																																
4	yyA	uua	0.4	0.4	0	6.2666666666666675			0.4	173.29666666666665	0.4	197.52666666666667	0.4	220.79666666666665							-2	221.82999999999998																																																																																																																																
5	eOO	eoo			3.3333333333333335	9.600000000000001	3.3333333333333335	163.67	3.3333333333333335	176.63	3.3333333333333335	200.86	3.3333333333333335	224.13					-2	175.14	-2	219.82999999999998																																									-2	152.11	-2	154.98	-2	164.56	-2	171.8									-2	154.93	-2	157.53	-2	170.7	-2	179.3																																																																
6	uao	yao	8.0	8.4	0	9.600000000000001			-2	174.63	-2	198.86	-2	222.13							8.0	227.82999999999998																											-2	151.74	-2	155.85	-2	164.38											-2	152.98	-2	162.56	-2	169.8											-2	155.53	-2	168.7	-2	177.3																																																																
7	Oye	Oue			5.2	14.8			5.2	179.82999999999998	5.2	204.06	5.2	227.32999999999998							-2	225.82999999999998													-2	151.34	-2	154.23													-2	153.85	-2	162.38													-2	160.56	-2	167.8													-2	166.7	-2	175.3																																																									-2	157.76	-2	160.91	-2	166.91	-2	171.24
8	aII	aii			1.0	15.8							-2	225.32999999999998	1.0	151.0	1.0	156.46	1.0	176.14	1.0	226.82999999999998																																																																																																																													-2	164.91	-2	169.24
9	OAi	oai	1.6666666666666667	10.066666666666666	0	15.8	1.6666666666666667	165.33666666666664	1.6666666666666667	181.49666666666664	1.6666666666666667	205.72666666666666	1.6666666666666667	226.99666666666664					-2	174.14	-2	224.82999999999998																																																																																																															-2	157.83													-2	162.91	-2	167.24
10	Oii	oii	2.0	12.066666666666666	0	15.8	2.0	167.33666666666664	2.0	183.49666666666664	2.0	207.72666666666666	2.0	228.99666666666664					-2	172.14	-2	222.82999999999998																																																																																																													-2	155.68	-2	155.83													-2	160.91	-2	165.24
12	uE	ue			2.4	18.2					-2	205.72666666666666	-2	226.99666666666664			2.4	158.86	2.4	174.54	2.4	225.23																																																																																																																									-2	155.76	-2	158.91	-2	158.91	-2	163.24
14	IIa	iia	1.0	13.066666666666666	0	18.2							-2	224.99666666666664	1.0	152.0	1.0	159.86	1.0	175.54	1.0	226.23																																																													-2	164.7	-2	173.3																																																																
15	auu	Auu	6.0	19.066666666666666	0	18.2			-2	181.49666666666664	-2	203.72666666666666	-2	222.99666666666664							6.0	232.23																													-2	151.85	-2	160.38													-2	158.56	-2	165.8													-2	162.7	-2	171.3																																																																
