trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.29		166.81		190.49		214.31		150.0		155.46		179.11		227.63		150.0		150.0		150.0		150.0		151.02		151.81		153.21		155.8		150.0		150.0		150.0		150.0		153.35		156.09		160.36		168.96		150.0		150.0		150.0		150.0		155.96		159.01		168.41		177.73		150.0		150.0		150.0		150.0		158.59		161.57		176.52		185.25		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.09		151.8		152.2		153.32		150.0		150.0		150.0		150.0		153.8		155.2		157.52		159.84		150.0		150.0		150.0		150.0		159.35		162.11		168.72		173.16
1	yie	uie	0.8888888888888888	0.8888888888888888	0.8888888888888888	0.8888888888888888			0.8888888888888888	167.6988888888889	0.8888888888888888	191.3788888888889	0.8888888888888888	215.1988888888889							-2	225.63																																																																																																																											-2	160.11	-2	166.72	-2	171.16
2	eAO	Eao	0.6666666666666666	1.5555555555555554	0.6666666666666666	1.5555555555555554	0.6666666666666666	155.95666666666665	0.6666666666666666	168.36555555555555	0.6666666666666666	192.04555555555555	0.6666666666666666	215.86555555555555			-2	153.46	-2	177.11	-2	223.63																																																																																																																																
3	eAA	Eaa	0.75	2.3055555555555554	0.75	2.3055555555555554			0.75	169.11555555555555	0.75	192.79555555555555	0.75	216.61555555555555			-2	151.46	-2	175.11	-2	221.63																																																																																																																																
4	Aey	aeu	1.2857142857142858	3.591269841269841	1.2857142857142858	3.591269841269841			1.2857142857142858	170.40126984126982	1.2857142857142858	194.08126984126983	1.2857142857142858	217.90126984126982							-2	219.63																																													-2	166.41	-2	175.73													-2	174.52	-2	183.25																																																									-2	157.35	-2	158.11	-2	164.72	-2	169.16
5	eye	Eue	1.375	4.966269841269841	1.375	4.966269841269841			1.375	171.77626984126982	1.375	195.45626984126983	1.375	219.27626984126982			-2	149.46	-2	173.11	-2	217.63																																																																																											-2	149.8			-2	151.32											-2	153.2			-2	157.84									-2	155.35	-2	156.11	-2	162.72	-2	167.16
6	Iuu	iuu	0.6666666666666666	5.632936507936508	0.6666666666666666	5.632936507936508							-2	217.27626984126982	0.6666666666666666	150.66666666666666	0.6666666666666666	150.12666666666667	0.6666666666666666	173.77666666666667	0.6666666666666666	218.29666666666665																																																													-2	172.52	-2	181.25																																																																
7	oaI	Oai	1.4	7.032936507936508	1.4	7.032936507936508	-2	153.95666666666665	-2	169.77626984126982	-2	193.45626984126983	-2	215.27626984126982	1.4	152.06666666666666	1.4	151.52666666666667	1.4	175.17666666666668	1.4	219.69666666666666													-2	151.21	-2	153.8													-2	158.36	-2	166.96													-2	164.41	-2	173.73													-2	170.52	-2	179.25																																																													-2	160.72	-2	165.16
8	AyO	Auo			1.375	8.407936507936508	1.375	155.33166666666665	1.375	171.15126984126982	1.375	194.83126984126983	1.375	216.65126984126982					-2	173.17666666666668	-2	217.69666666666666																											-2	154.09	-2	156.36	-2	164.96											-2	157.01	-2	162.41	-2	171.73											-2	159.57	-2	168.52	-2	177.25																																																																
10	oao	Oao	1.6	8.632936507936508	1.6	10.007936507936508	-2	153.33166666666665	-2	169.15126984126982	-2	192.83126984126983	-2	214.65126984126982					1.6	174.77666666666667	1.6	219.29666666666665											-2	149.81	-2	149.21	-2	151.8											-2	152.09	-2	154.36	-2	162.96											-2	155.01	-2	160.41	-2	169.73											-2	157.57	-2	166.52	-2	175.25																																																																
11	OAA	Oaa			1.3846153846153846	11.392551892551893			1.3846153846153846	170.5358852258852	1.3846153846153846	194.21588522588522	1.3846153846153846	216.0358852258852							-2	217.29666666666665													-2	147.21	-2	149.8													-2	152.36	-2	160.96													-2	158.41	-2	167.73													-2	164.52	-2	173.25																																																																
12	AAy	Aau			1.2727272727272727	12.665279165279166			1.2727272727272727	171.8086124986125	1.2727272727272727	195.4886124986125	1.2727272727272727	217.3086124986125							-2	215.29666666666665																													-2	150.36	-2	158.96													-2	156.41	-2	165.73													-2	162.52	-2	171.25																																																																
13	ooE	ooe			1.4285714285714286	14.093850593850595					-2	193.4886124986125	-2	215.3086124986125			1.4285714285714286	152.9552380952381	1.4285714285714286	176.2052380952381	1.4285714285714286	216.72523809523807																																																																																																									-2	151.8	-2	151.2	-2	155.52	-2	155.84									-2	153.35	-2	154.11	-2	158.72	-2	163.16
14	yOe	yoe			1.6296296296296295	15.723480223480225	1.6296296296296295	154.96129629629627	1.6296296296296295	173.4382421282421	1.6296296296296295	195.11824212824212	1.6296296296296295	216.9382421282421					-2	174.2052380952381	-2	214.72523809523807																									-2	151.35	-2	150.09	-2	148.36	-2	156.96									-2	153.96	-2	153.01	-2	154.41	-2	163.73									-2	156.59	-2	155.57	-2	160.52	-2	169.25																																									-2	149.8	-2	149.2	-2	153.52	-2	153.84									-2	151.35	-2	152.11	-2	156.72	-2	161.16
16	oua	Oua	1.5	10.132936507936508	1.5	17.223480223480223	-2	152.96129629629627	-2	171.4382421282421	-2	193.11824212824212	-2	214.9382421282421					1.5	175.7052380952381	1.5	216.22523809523807													-2	145.21	-2	147.8													-2	146.36	-2	154.96													-2	152.41	-2	161.73													-2	158.52	-2	167.25																																																																
17	AAe	aae	1.0	11.132936507936508	1.0	18.223480223480223			1.0	172.4382421282421	1.0	194.11824212824212	1.0	215.9382421282421							-2	214.22523809523807																																																																																																																									-2	149.35	-2	150.11	-2	154.72	-2	159.16
18	EaI	eai	1.1428571428571428	12.27579365079365	1.1428571428571428	19.366337366337365					-2	192.11824212824212	-2	213.9382421282421	1.1428571428571428	153.2095238095238	1.1428571428571428	154.09809523809523	1.1428571428571428	176.84809523809523	1.1428571428571428	215.3680952380952																																													-2	150.41	-2	159.73													-2	156.52	-2	165.25																																																													-2	152.72	-2	157.16
19	OeO	oeo	1.5	13.77579365079365	1.5	20.866337366337365	1.5	154.46129629629627	1.5	173.9382421282421	1.5	193.61824212824212	1.5	215.4382421282421					-2	174.84809523809523	-2	213.3680952380952																																									-2	151.96	-2	151.01	-2	148.41	-2	157.73									-2	154.59	-2	153.57	-2	154.52	-2	163.25																																									-2	147.8	-2	147.2	-2	151.52	-2	151.84									-2	147.35	-2	148.11	-2	150.72	-2	155.16
20	eAA	eaa			1.1111111111111112	21.977448477448476			1.1111111111111112	175.04935323935322	1.1111111111111112	194.72935323935323	1.1111111111111112	216.54935323935322							-2	211.3680952380952																																													-2	146.41	-2	155.73													-2	152.52	-2	161.25																																																																
22	auu	Auu	1.5	15.27579365079365	1.5	23.477448477448476			-2	173.04935323935322	-2	192.72935323935323	-2	214.54935323935322							1.5	212.8680952380952																													-2	144.36	-2	152.96													-2	144.41	-2	153.73													-2	150.52	-2	159.25																																																																
23	EII	eii	0.5	15.77579365079365	0.5	23.977448477448476					-2	190.72935323935323	-2	212.54935323935322	0.5	153.7095238095238	0.5	154.59809523809523	0.5	175.34809523809523	0.5	213.3680952380952																																																																																																																																
24	eAA	Eaa	0.75	16.525793650793652	0.75	24.727448477448476			0.75	173.79935323935322	0.75	191.47935323935323	0.75	213.29935323935322			-2	152.59809523809523	-2	173.34809523809523	-2	211.3680952380952																																																																																																																																
25	oEo	oeo			1.6363636363636365	26.363812113812113					-2	189.47935323935323	-2	211.29935323935322			1.6363636363636365	154.23445887445885	1.6363636363636365	174.98445887445885	1.6363636363636365	213.00445887445883																																									-2	149.96	-2	149.01	-2	142.41	-2	151.73									-2	152.59	-2	151.57	-2	148.52	-2	157.25																																									-2	145.8	-2	145.2	-2	149.52	-2	149.84									-2	145.35	-2	146.11	-2	148.72	-2	153.16
26	uoa	yoa	1.6666666666666667	18.19246031746032	1.6666666666666667	28.03047878047878			-2	171.79935323935322	-2	187.47935323935323	-2	209.29935323935322							1.6666666666666667	214.6711255411255																									-2	149.35	-2	148.09	-2	142.36	-2	150.96									-2	147.96	-2	147.01	-2	140.41	-2	149.73									-2	150.59	-2	149.57	-2	146.52	-2	155.25																																																																
27	iAi	iai			1.1111111111111112	29.14158989158989			1.1111111111111112	172.91046435046434	1.1111111111111112	188.59046435046434	1.1111111111111112	210.41046435046434							-2	212.6711255411255																																																													-2	144.52	-2	153.25																																																													-2	146.72	-2	151.16
28	yOi	yoi			1.565217391304348	30.70680728289424	1.565217391304348	156.0265136876006	1.565217391304348	174.47568174176868	1.565217391304348	190.1556817417687	1.565217391304348	211.97568174176868					-2	172.98445887445885	-2	210.6711255411255																									-2	147.35	-2	146.09	-2	140.36	-2	148.96									-2	145.96	-2	145.01	-2	138.41	-2	147.73									-2	148.59	-2	147.57	-2	142.52	-2	151.25																																													-2	147.52	-2	147.84													-2	144.72	-2	149.16
30	Ia	ia	0.6666666666666666	18.859126984126988	0.6666666666666666	31.373473949560907							-2	209.97568174176868	0.6666666666666666	154.37619047619046	0.6666666666666666	154.9011255411255	0.6666666666666666	173.6511255411255	0.6666666666666666	211.33779220779215																																																													-2	140.52	-2	149.25																																																																
31	OAA	Oaa			1.3846153846153846	32.75808933417629			1.3846153846153846	175.86029712638407	1.3846153846153846	191.54029712638408	1.3846153846153846	211.36029712638407							-2	209.33779220779215													-2	143.21	-2	145.8													-2	138.36	-2	146.96													-2	136.41	-2	145.73													-2	138.52	-2	147.25																																																																
32	EEo	Eeo			1.6923076923076923	34.450397026483984					-2	189.54029712638408	-2	209.36029712638407			1.6923076923076923	156.5934332334332	1.6923076923076923	175.3434332334332	1.6923076923076923	211.03009990009983																																									-2	143.96	-2	143.01	-2	134.41	-2	143.73									-2	146.59	-2	145.57	-2	136.52	-2	145.25																									-2	149.09	-2	147.8	-2	150.2	-2	149.32									-2	143.8	-2	143.2	-2	145.52	-2	145.84									-2	143.35	-2	144.11	-2	142.72	-2	147.16
33	yOe	uoe	1.25	20.109126984126988	1.25	35.700397026483984	1.25	157.2765136876006	1.25	177.11029712638407	1.25	190.79029712638408	1.25	210.61029712638407					-2	173.3434332334332	-2	209.03009990009983																																																																																																									-2	141.8	-2	141.2	-2	143.52	-2	143.84									-2	141.35	-2	142.11	-2	140.72	-2	145.16
34	aIa	aia			1.0	36.700397026483984							-2	208.61029712638407	1.0	155.37619047619046	1.0	157.5934332334332	1.0	174.3434332334332	1.0	210.03009990009983																																																													-2	134.52	-2	143.25																																																													-2	138.72	-2	143.16
35	AyO	auo	0.5	20.609126984126988	0.5	37.200397026483984	0.5	157.7765136876006	0.5	177.61029712638407	0.5	191.29029712638408	0.5	209.11029712638407					-2	172.3434332334332	-2	208.03009990009983																																																																																																																																
36	aaa	Aaa	1.5	22.109126984126988	1.5	38.700397026483984			-2	175.61029712638407	-2	189.29029712638408	-2	207.11029712638407							1.5	209.53009990009983																													-2	136.36	-2	144.96													-2	132.41	-2	141.73													-2	132.52	-2	141.25																																																																
37	eiO	Eio	1.368421052631579	23.477548036758566	1.368421052631579	40.068818079115566	1.368421052631579	159.1449347402322	1.368421052631579	176.97871817901566	1.368421052631579	190.65871817901566	1.368421052631579	208.47871817901566			-2	155.5934332334332	-2	170.3434332334332	-2	207.53009990009983																																																									-2	144.59	-2	143.57	-2	130.52	-2	139.25																													-2	148.2	-2	147.32													-2	141.52	-2	141.84													-2	136.72	-2	141.16
38	Oyy	Ouu			1.3846153846153846	41.45343346373095			1.3846153846153846	178.36333356363104	1.3846153846153846	192.04333356363105	1.3846153846153846	209.86333356363104							-2	205.53009990009983													-2	141.21	-2	143.8													-2	134.36	-2	142.96													-2	130.41	-2	139.73													-2	128.52	-2	137.25																																																																
39	EE	ee	0.5714285714285714	24.04897660818714	0.5714285714285714	42.02486203515952					-2	190.04333356363105	-2	207.86333356363104			0.5714285714285714	156.16486180486177	0.5714285714285714	170.91486180486177	0.5714285714285714	206.1015284715284																																																																																																																																
40	AiO	aio	1.1428571428571428	25.191833751044282	1.1428571428571428	43.16771917801667	1.1428571428571428	160.28779188308934	1.1428571428571428	179.50619070648818	1.1428571428571428	191.1861907064882	1.1428571428571428	209.00619070648818					-2	168.91486180486177	-2	204.1015284715284																																																									-2	142.59	-2	141.57	-2	126.52000000000001	-2	135.25																																																													-2	134.72	-2	139.16
41	EoI	eoi	1.4	26.59183375104428	1.4	44.56771917801667					-2	189.1861907064882	-2	207.00619070648818	1.4	156.77619047619046	1.4	157.56486180486178	1.4	170.31486180486178	1.4	205.50152847152842																																									-2	141.96	-2	141.01	-2	128.41	-2	137.73									-2	140.59	-2	139.57	-2	124.52000000000001	-2	133.25																																													-2	139.52	-2	139.84													-2	132.72	-2	137.16
