trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		155.84		166.46		190.4		214.38		150.0		155.59		179.67000000000002		227.35		150.0		150.0		150.0		150.0		151.04		152.03		153.48		156.38		150.0		150.0		150.0		150.0		153.04		155.78		159.66		168.1		150.0		150.0		150.0		150.0		155.73		158.63		168.19		177.04		150.0		150.0		150.0		150.0		158.48		161.2		176.57999999999998		184.57		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		151.16		151.83		152.31		153.3		150.0		150.0		150.0		150.0		153.94		155.39		158.0		160.17		150.0		150.0		150.0		150.0		159.57		162.44		169.16		173.59
1	eOA	Eoa	0.75	0.75	0	0	0.75	156.59	0.75	167.21	0.75	191.15	0.75	215.13			-2	153.59	-2	177.67000000000002	-2	225.35																																																																																																																																
2	yyy	yuu			1.2727272727272727	1.2727272727272727			1.2727272727272727	168.4827272727273	1.2727272727272727	192.4227272727273	1.2727272727272727	216.40272727272728							-2	223.35																													-2	157.66	-2	166.1													-2	166.19	-2	175.04													-2	174.57999999999998	-2	182.57																																																																
2	Apriori	Id(Bk)Syl1>>Id(Bk)	0.5227272727272727	1.2727272727272727																																																																																																																																																			
3	Oey	Oeu			1.2727272727272727	2.5454545454545454			1.2727272727272727	169.75545454545457	1.2727272727272727	193.69545454545457	1.2727272727272727	217.67545454545456							-2	221.35															-2	154.38															-2	164.1													-2	164.19	-2	173.04													-2	172.57999999999998	-2	180.57																																																																
3	Apriori	Id(Bk)Syl1>>Id(Bk)	1.2727272727272727	2.5454545454545454																																																																																																																																																			
4	eAA	eaa			1.1111111111111112	3.6565656565656566			1.1111111111111112	170.86656565656568	1.1111111111111112	194.80656565656568	1.1111111111111112	218.78656565656567							-2	219.35																																													-2	162.19	-2	171.04													-2	170.57999999999998	-2	178.57																																																																
4	Apriori	Id(Bk)Syl1>>Id(Bk)	1.1111111111111112	3.6565656565656566																																																																																																																																																			
5	OOy	Oou			1.565217391304348	5.221783047870004	1.565217391304348	158.15521739130435	1.565217391304348	172.43178304787003	1.565217391304348	196.37178304787003	1.565217391304348	220.35178304787001					-2	175.67000000000002	-2	217.35									-2	149.04	-2	150.03	-2	151.48	-2	152.38									-2	151.04	-2	153.78	-2	155.66	-2	162.1									-2	153.73	-2	156.63	-2	160.19	-2	169.04									-2	156.48	-2	159.2	-2	168.57999999999998	-2	176.57																																																																
5	Apriori	Id(Bk)Syl1>>Id(Bk)	1.5652173913043477	5.221783047870004																																																																																																																																																			
6	EuI	eui	1.2307692307692308	6.452552278639235	0	5.221783047870004					-2	194.37178304787003	-2	218.35178304787001	1.2307692307692308	151.23076923076923	1.2307692307692308	154.82076923076923	1.2307692307692308	176.90076923076924	1.2307692307692308	218.58076923076922																																													-2	158.19	-2	167.04													-2	166.57999999999998	-2	174.57																																																													-2	167.16	-2	171.59
7	iA	ia			0.8571428571428571	6.078925905012861			0.8571428571428571	173.2889259050129	0.8571428571428571	195.2289259050129	0.8571428571428571	219.20892590501288							-2	216.58076923076922																																																													-2	164.57999999999998	-2	172.57																																																																
10	oIa	oia			1.1666666666666667	7.245592571679528							-2	217.20892590501288	1.1666666666666667	152.39743589743588	1.1666666666666667	155.9874358974359	1.1666666666666667	178.0674358974359	1.1666666666666667	217.74743589743588																																																													-2	162.57999999999998	-2	170.57																																													-2	156.0	-2	158.17													-2	165.16	-2	169.59
10	Apriori	Id(Bk)Syl1>>Id(Bk)	0.7930402930402929	7.245592571679528																																																																																																																																																			
11	iyi	iui			1.1111111111111112	8.35670368279064			1.1111111111111112	174.400037016124	1.1111111111111112	196.340037016124	1.1111111111111112	218.320037016124							-2	215.74743589743588																																																													-2	160.57999999999998	-2	168.57																																																													-2	163.16	-2	167.59
11	Apriori	Id(Bk)Syl1>>Id(Bk)	1.1111111111111116	8.35670368279064																																																																																																																																																			
12	uoE	uoe			1.4285714285714286	9.785275111362068					-2	194.340037016124	-2	216.320037016124			1.4285714285714286	157.4160073260073	1.4285714285714286	179.49600732600732	1.4285714285714286	217.1760073260073																																																																																																									-2	151.94	-2	153.39	-2	154.0	-2	156.17									-2	157.57	-2	160.44	-2	161.16	-2	165.59
12	Apriori	Id(Bk)Syl1>>Id(Bk)	1.4285714285714288	9.785275111362068																																																																																																																																																			
13	EIE	Eie			1.375	11.160275111362068					-2	192.340037016124	-2	214.320037016124	1.375	153.77243589743588	1.375	158.7910073260073	1.375	180.87100732600732	1.375	218.5510073260073																																																																																											-2	149.83	-2	150.31	-2	151.3											-2	151.39	-2	152.0	-2	154.17											-2	158.44	-2	159.16	-2	163.59
13	Apriori	Id(Bk)Syl1>>Id(Bk)	1.375	11.160275111362068																																																																																																																																																			
14	eOe	Eoe	1.4444444444444444	12.604719555806513	0	11.160275111362068	1.4444444444444444	159.5996618357488	1.4444444444444444	175.84448146056846	1.4444444444444444	193.78448146056846	1.4444444444444444	215.76448146056845			-2	156.7910073260073	-2	178.87100732600732	-2	216.5510073260073																																																																																											-2	147.83			-2	149.3									-2	149.94	-2	149.39	-2	150.0	-2	152.17									-2	155.57	-2	156.44	-2	157.16	-2	161.59
15	Aey	Aeu			1.2	12.360275111362068			1.2	177.04448146056845	1.2	194.98448146056845	1.2	216.96448146056844							-2	214.5510073260073																															-2	160.1													-2	156.19	-2	165.04													-2	158.57999999999998	-2	166.57																																																																
16	EIo	eio	1.2307692307692308	13.835488786575745	0	12.360275111362068					-2	192.98448146056845	-2	214.96448146056844	1.2307692307692308	155.0032051282051	1.2307692307692308	158.02177655677653	1.2307692307692308	180.10177655677654	1.2307692307692308	215.78177655677652																																											-2	154.63			-2	163.04									-2	154.48	-2	157.2	-2	156.57999999999998	-2	164.57																																																																
19	OiO	Oio			1.411764705882353	13.772039817244421	1.411764705882353	161.01142654163115	1.411764705882353	178.4562461664508	1.411764705882353	194.3962461664508	1.411764705882353	216.37624616645078					-2	178.10177655677654	-2	213.78177655677652											-2	148.03			-2	150.38											-2	151.78			-2	158.1											-2	152.63			-2	161.04									-2	152.48	-2	155.2	-2	154.57999999999998	-2	162.57																																																																
20	aIE	aie			1.0	14.772039817244421					-2	192.3962461664508	-2	214.37624616645078	1.0	156.0032051282051	1.0	159.02177655677653	1.0	179.10177655677654	1.0	214.78177655677652																																																																																																																											-2	154.44	-2	155.16	-2	159.59
20	Apriori	Id(Bk)Syl1>>Id(Bk)	0.9365510306686762	14.772039817244421																																																																																																																																																			
21	IEu	ieu	1.0909090909090908	15.862948908153513	0	14.772039817244421					-2	190.3962461664508	-2	212.37624616645078	1.0909090909090908	157.0941142191142	1.0909090909090908	160.11268564768562	1.0909090909090908	180.19268564768564	1.0909090909090908	215.8726856476856																																													-2	154.19	-2	159.04													-2	152.57999999999998	-2	160.57																																																																
22	yy	yu			1.2727272727272727	16.044767089971693			1.2727272727272727	179.72897343917808	1.2727272727272727	191.66897343917807	1.2727272727272727	213.64897343917806							-2	213.8726856476856																													-2	153.66	-2	156.1													-2	152.19	-2	157.04													-2	150.57999999999998	-2	158.57																																																																
22	Apriori	Id(Bk)Syl1>>Id(Bk)	0.18181818181817988	16.044767089971693																																																																																																																																																			
23	oIu	Oiu	1.2857142857142858	17.330481375685977	0	16.044767089971693	-2	159.01142654163115	-2	177.72897343917808	-2	189.66897343917807	-2	211.64897343917806	1.2857142857142858	158.37982850482848	1.2857142857142858	161.3983999333999	1.2857142857142858	181.4783999333999	1.2857142857142858	215.1583999333999															-2	148.38															-2	154.1															-2	155.04													-2	148.57999999999998	-2	156.57																																																																
24	eAy	eau			1.1111111111111112	17.155878201082803			1.1111111111111112	178.8400845502892	1.1111111111111112	190.7800845502892	1.1111111111111112	212.76008455028918							-2	213.1583999333999																																													-2	150.19	-2	153.04													-2	146.57999999999998	-2	154.57																																																																
25	au	Au	1.6363636363636365	18.966845012049614	0	17.155878201082803			-2	176.8400845502892	-2	188.7800845502892	-2	210.76008455028918							1.6363636363636365	214.79476356976352																													-2	151.66	-2	152.1													-2	148.19	-2	151.04													-2	144.57999999999998	-2	152.57																																																																
26	eyA	Eua	0.8571428571428571	19.82398786919247	0	17.155878201082803			0.8571428571428571	177.69722740743205	0.8571428571428571	189.63722740743205	0.8571428571428571	211.61722740743204			-2	159.3983999333999	-2	179.4783999333999	-2	212.79476356976352																																																																																																																																
