trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		179.38		237.88		290.72		344.44		150.0		150.0		179.38		240.24		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.66		154.86		161.78		165.5		150.0		150.0		150.0		150.0		157.06		158.92		173.16		178.78		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		154.0		155.48		157.66		159.62		150.0		150.0		150.0		150.0		161.74		166.26		173.16		179.52
2	IoI	iOi	2	2	2	2	-2	177.38	-2	235.88	-2	288.72	-2	342.44	2	152.0	2	152.0	2	181.38	2	242.24																																																																																																																																
3	IEo	ieo	2	4	2	4					-2	286.72	-2	340.44	2	154.0	2	154.0	2	183.38	2	244.24																																									-2	151.66	-2	152.86	-2	159.78	-2	163.5									-2	155.06	-2	156.92	-2	171.16	-2	176.78																																																																
4	IaI	iai	2	6	2	6							-2	338.44	2	156.0	2	156.0	2	185.38	2	246.24																																																													-2	169.16	-2	174.78																																																													-2	171.16	-2	177.52
5	IuI	iyi	2	8	2	8			-2	233.88	-2	284.72	-2	336.44	2	158.0	2	158.0	2	187.38	2	248.24																																																																																																																																
6	oEa	oea			2	10					-2	282.72	-2	334.44			2	160.0	2	189.38	2	250.24																																													-2	157.78	-2	161.5													-2	167.16	-2	172.78																																									-2	152.0	-2	153.48	-2	155.66	-2	157.62									-2	159.74	-2	164.26	-2	169.16	-2	175.52
7	IoI	iOi	2	10	2	12	-2	175.38	-2	231.88	-2	280.72	-2	332.44	2	160.0	2	162.0	2	191.38	2	252.24																																																																																																																																
8	aEa	aea			2	14					-2	278.72	-2	330.44			2	164.0	2	193.38	2	254.24																																													-2	155.78	-2	159.5													-2	165.16	-2	170.78																																																									-2	157.74	-2	162.26	-2	167.16	-2	173.52
9	aoE	AOe	2	12	2	16	-2	173.38	-2	229.88	-2	276.72	-2	328.44			2	166.0	2	195.38	2	256.24																																																																																																																																
10	ooa	OOA	2	14	2	18	-2	171.38	-2	227.88	-2	274.72	-2	326.44					2	197.38	2	258.24																																																																																																																																
