trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		161.12		183.98		231.36		279.6		150.0		161.38		209.4		304.44		150.0		150.0		150.0		150.0		151.86		153.52		156.2		161.5		150.0		150.0		150.0		150.0		156.1		161.7		169.54		186.62		150.0		150.0		150.0		150.0		161.68		167.42		185.92000000000002		204.02		150.0		150.0		150.0		150.0		167.56		172.78		202.54		218.89999999999998		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		152.62		154.22		154.4		156.78		150.0		150.0		150.0		150.0		158.14		161.04		165.28		169.9		150.0		150.0		150.0		150.0		168.9		174.5		187.56		196.54
1	yOe	yoe			2	2	2	163.12	2	185.98	2	233.36	2	281.6					-2	207.4	-2	302.44																									-2	154.1	-2	159.7	-2	167.54	-2	184.62									-2	159.68	-2	165.42	-2	183.92000000000002	-2	202.02									-2	165.56	-2	170.78	-2	200.54	-2	216.89999999999998																																									-2	156.14	-2	159.04	-2	163.28	-2	167.9									-2	166.9	-2	172.5	-2	185.56	-2	194.54
2	Ae	ae	2	2	0	2			2	187.98	2	235.36	2	283.6							-2	300.44																																																																																																																									-2	164.9	-2	170.5	-2	183.56	-2	192.54
3	OAA	Oaa			2	4			2	189.98	2	237.36	2	285.6							-2	298.44													-2	154.2	-2	159.5													-2	165.54	-2	182.62													-2	181.92000000000002	-2	200.02													-2	198.54	-2	214.89999999999998																																																																
5	eA	Ea	2	4	0	4			2	191.98	2	239.36	2	287.6			-2	159.38	-2	205.4	-2	296.44																																																																																																																																
6	OOi	ooi	2	6	0	4	2	165.12	2	193.98	2	241.36	2	289.6					-2	203.4	-2	294.44																																																																																																													-2	161.28	-2	165.9													-2	181.56	-2	190.54
7	OyA	Oua			2	6			2	195.98	2	243.36	2	291.6							-2	292.44													-2	152.2	-2	157.5													-2	163.54	-2	180.62													-2	179.92000000000002	-2	198.02													-2	196.54	-2	212.89999999999998																																																																
8	Oyi	Oui			2	8			2	197.98	2	245.36	2	293.6							-2	290.44													-2	150.2	-2	155.5													-2	161.54	-2	178.62													-2	177.92000000000002	-2	196.02													-2	194.54	-2	210.89999999999998																																																													-2	179.56	-2	188.54
9	oI	Oi	2	8	0	8	-2	163.12	-2	195.98	-2	243.36	-2	291.6	2	152.0	2	161.38	2	205.4	2	292.44																																																																																																																																
10	eAO	Eao	2	10	0	8	2	165.12	2	197.98	2	245.36	2	293.6			-2	159.38	-2	203.4	-2	290.44																																																																																																																																
