trialnum	Generated	Heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
				0		0		176.57999999999998		227.88		254.51999999999998		308.24		158.82		188.16		215.98000000000002		275.52		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		150.0		153.5		155.1		157.0		159.88		164.44		169.9		150.0		150.0		150.0		150.0		150.0		150.0		151.74		153.0		150.0		150.0		150.0		150.0		150.0		150.0		155.02		157.6		150.0		150.0		150.0		150.0		150.0		150.0		158.6		162.36		150.0		150.0		150.0		150.0		150.0		150.0		166.18		172.48
0	Apriori	Id(Bk)Syl1>>Id(Bk)	30	30																																																																																																																																																		
1	Iau	iau	2	32	0	0							-2	306.24	2	160.82	2	190.16	2	217.98000000000002	2	277.52																																																													-2	162.44	-2	167.9																																																																
2	IEI	iEi	2	34	0	0							-2	304.24	2	162.82	2	192.16	2	219.98000000000002	2	279.52																																																					-2	151.5	-2	153.1	-2	155.0	-2	157.88	-2	160.44	-2	165.9																													-2	153.02	-2	155.6													-2	156.6	-2	160.36													-2	164.18	-2	170.48
5	oaI	oai			2	2							-2	302.24	2	164.82	2	194.16	2	221.98000000000002	2	281.52																																																																																																															-2	158.36													-2	162.18	-2	168.48
6	aIa	aia			2	4							-2	300.24	2	166.82	2	196.16	2	223.98000000000002	2	283.52																																																													-2	158.44	-2	163.9																																																													-2	160.18	-2	166.48
9	aau	AAy	2	36	0	4			-2	225.88	-2	252.51999999999998	-2	298.24							2	285.52																																																																																																																																
11	IuI	Iui			2	6							-2	296.24	2	168.82	2	198.16	2	225.98000000000002	2	287.52																																																																															-2	151.0															-2	153.6															-2	156.36													-2	158.18	-2	164.48
12	oIu	Oiy	2	38	0	6	-2	174.57999999999998	-2	223.88	-2	250.51999999999998	-2	294.24	2	170.82	2	200.16	2	227.98000000000002	2	289.52																																																																																																																																
16	oE	Oe	2	40	0	6	-2	172.57999999999998	-2	221.88	-2	248.51999999999998	-2	292.24			2	202.16	2	229.98000000000002	2	291.52																																																																																																																																
17	II	ii	2	42	0	6							-2	290.24	2	172.82	2	204.16	2	231.98000000000002	2	293.52																																																																																																																																
18	eAy	Eau	2	44	0	6			2	223.88	2	250.51999999999998	2	292.24			-2	202.16	-2	229.98000000000002	-2	291.52																																																																																																																																
19	EaE	eAe	2	46	0	6			-2	221.88	-2	248.51999999999998	-2	290.24			2	204.16	2	231.98000000000002	2	293.52																																																																																																																																
20	yAA	uaa	2	48	0	6			2	223.88	2	250.51999999999998	2	292.24							-2	291.52																																																																																																																																
21	Iuo	iuo	2	50	0	6							-2	290.24	2	174.82	2	206.16	2	233.98000000000002	2	293.52																																																											-2	155.88	-2	156.44	-2	161.9																																																																
24	iiA	iia			2	8			2	225.88	2	252.51999999999998	2	292.24							-2	291.52																																																													-2	154.44	-2	159.9																																																																
26	aoa	AOA	2	52	0	8	-2	170.57999999999998	-2	223.88	-2	250.51999999999998	-2	290.24					2	235.98000000000002	2	293.52																																																																																																																																
28	IoE	iOe	2	54	0	8	-2	168.57999999999998	-2	221.88	-2	248.51999999999998	-2	288.24	2	176.82	2	208.16	2	237.98000000000002	2	295.52																																																																																																																																
29	iyi	iui			2	10			2	223.88	2	250.51999999999998	2	290.24							-2	293.52																																																													-2	152.44	-2	157.9																																																													-2	156.18	-2	162.48
31	OyA	oua	2	56	0	10	2	170.57999999999998	2	225.88	2	252.51999999999998	2	292.24					-2	235.98000000000002	-2	291.52																																																																																																																																
35	eAe	EaE	2	58	0	10			2	227.88	2	254.51999999999998	2	294.24			-2	206.16	-2	233.98000000000002	-2	289.52																																																																																																																																
38	uoo	yOO	2	60	0	10	-2	168.57999999999998	-2	225.88	-2	252.51999999999998	-2	292.24					2	235.98000000000002	2	291.52																																																																																																																																
40	Aiy	aiu	2	62	0	10			2	227.88	2	254.51999999999998	2	294.24							-2	289.52																																																													-2	150.44	-2	155.9																																																													-2	154.18	-2	160.48
42	ooE	OOe	2	64	0	10	-2	166.57999999999998	-2	225.88	-2	252.51999999999998	-2	292.24			2	208.16	2	237.98000000000002	2	291.52																																																																																																																																
45	Iuu	iuu	2	66	0	10							-2	290.24	2	178.82	2	210.16	2	239.98000000000002	2	293.52																																																													-2	148.44	-2	153.9																																																																
46	eyO	Euo	2	68	0	10	2	168.57999999999998	2	227.88	2	254.51999999999998	2	292.24			-2	208.16	-2	237.98000000000002	-2	291.52																																																																																																																																
47	aI	Ai	2	70	0	10			-2	225.88	-2	252.51999999999998	-2	290.24	2	180.82	2	210.16	2	239.98000000000002	2	293.52																																																																																																																																
51	OAi	oai	2	72	0	10	2	170.57999999999998	2	227.88	2	254.51999999999998	2	292.24					-2	237.98000000000002	-2	291.52																																																																																																															-2	154.36													-2	152.18	-2	158.48
52	aaI	aai			2	12							-2	290.24	2	182.82	2	212.16	2	239.98000000000002	2	293.52																																																																																																																													-2	150.18	-2	156.48
53	Oiy	oiu	2	74	0	12	2	172.57999999999998	2	229.88	2	256.52	2	292.24					-2	237.98000000000002	-2	291.52																																																													-2	146.44	-2	151.9																																													-2	154.6	-2	152.36													-2	148.18	-2	154.48
